	cohenD	fc_case_control	coeff	pval	drug_adj_pval	pred_pval	bdmard_pval	csdmard_pval	drug_effect
aa_A1BG	-0.635859296521616	-0.0977836134105608	-67.8127728180953	0.104479172568882	0.0770317212254462	0.932509606318111	0.024326670763262	0.601365173290538	1
aa_AAK1	-0.627091427373283	-0.249828175476554	-426.22088293497	0.109106519942095	0.109106519942095	0.864365891440388	0.689300298309211	0.823317468039845	0
aa_AARS	-0.515847643604315	-0.0704981243791535	-55.1194444430065	0.184010145959667	0.184010145959667	0.090618653658553	0.922005791161819	0.593223143369927	0
aa_ABCF1	-0.710277146121003	-0.140726494725025	-104.61750992006	0.0714685895610488	0.053540692107303	0.0401161395655467	0.757367523619634	0.642030184679555	1
aa_ABCF3	-0.536657412587404	-0.243411570018557	-256.224826389195	0.167527978185025	0.167527978185025	0.198322074245899	0.534723908811823	0.0609382394794686	0
aa_ABI1	0.100741713944007	0.0141413884133883	7.98812003952398	0.791927798734187	0.791927798734187	0.449800033039589	0.289643509484844	0.192115171839835	0
aa_ABL2	-0.760913016435728	-0.200050130703059	-272.753968254047	0.0545562542774209	0.0545562542774209	0.134534921492064	0.862662604401826	0.648835609482959	0
aa_ABT1	0.155778156909695	0.0362422243319423	39.6881944442549	0.683607743024423	0.683607743024423	0.283368394155733	0.469285983111835	0.475436817661196	0
aa_ACAT2	0.353452039838201	0.163910492173463	150.748958333542	0.358317824563447	0.30131274615134	0.00857892303461106	0.77156340168714	0.603788684657198	1
aa_ACPP	0.841649235181926	0.230099510484226	107.373635912351	0.0348345085716542	0.0211869158867804	0.0254345626940865	0.876550494680307	0.722757095506101	1
aa_ACRBP	0.626880431261966	0.140078067754351	126.541021826815	0.109219957016672	0.109219957016672	0.11486047162667	0.858422548744063	0.375965952333634	0
aa_ACSL6	-0.422935743733834	-0.0340448865174957	-24.4546874994042	0.273379316509363	0.273379316509363	0.0530008447786491	0.10865462951847	0.528862055366637	0
aa_ACTA1	-0.388418280368556	-0.0507430179938207	-29.8080357144943	0.313576860620108	0.313576860620108	0.700969076518356	0.914315673816153	0.311434914166607	0
aa_ACTB	0.95932236731083	0.162087275996705	147.968154761785	0.0174771842458837	0.0174771842458837	0.574062056977454	0.750751838027456	0.11333184295163	0
aa_ACTL7B	0.0143709508498627	0.00214052766921805	2.21688988139923	0.969960613981243	0.969960613981243	0.857874122211984	0.873702264578358	0.91085276097124	0
aa_ACTL8	-0.3787229887245	-0.0778369276047321	-54.7974206354473	0.325575164209097	0.325575164209097	0.975388687318213	0.544986247535661	0.0957223906988709	0
aa_ACTR2	-0.595114783285573	-0.117371658548087	-123.255530753154	0.127457175297697	0.127457175297697	0.357755655257867	0.921030970148505	0.596818890742745	0
aa_ACVR1	0.948471724290122	0.127311772940592	105.010615077142	0.0186551805985088	0.0186551805985088	0.675691911465771	0.947840922127855	0.187456259721154	0
aa_ACVR1C	-0.301978809943793	-0.0391647837063158	-31.6014384935703	0.431551593534351	0.397225802080487	0.0299792963972003	0.501954089149028	0.0693038585959624	1
aa_ACVR2A	0.381896775563374	0.219825120094501	148.250595237471	0.321613125158117	0.321613125158117	0.166601712408025	0.232137987183931	0.305176351216297	0
aa_ADAM2	-0.455526948414821	-0.0547919715836664	-61.7511408725894	0.238977008683107	0.238977008683107	0.270569169057123	0.590916176127488	0.749334670762312	0
aa_ADAM29	0.0138093510311737	0.00196804972382139	1.27068452318502	0.971133964432272	0.969396609739807	0.343523157127477	0.0454060847177759	0.590658457624332	1
aa_ADCK1	-0.194723396798524	-0.0172421011972803	-11.1656746028274	0.610773247141991	0.572616512186946	0.0124795706975705	0.348297009742561	0.466903789528467	1
aa_ADD1	-0.550387043150781	-0.0808376889512899	-90.6142609124708	0.157311474020653	0.111285169547797	0.00930669811147207	0.612433889531774	0.786898765663911	1
aa_ADSL	0.661691458901448	0.141795280383669	116.776562499762	0.091795376651833	0.0489564594458171	0.00384874155201378	0.761225243834975	0.37355546616808	1
aa_AFF4	-0.180420677729943	-0.217625226339278	-476.634275791692	0.63710248159584	0.63710248159584	0.892709450193011	0.46143411190835	0.496726136008378	0
aa_AFP	0.772014453593138	0.125070861774593	113.206398810566	0.05135854846267	0.05135854846267	0.0675077601958372	0.123381053621691	0.994427193215355	0
aa_AGR2	-0.338124443989607	-0.0573285832730825	-60.6126488092266	0.379211746612868	0.379211746612868	0.990010064129314	0.0802626517168974	0.148134347119764	0
aa_AHSG	0.871573076872228	0.12583894565925	111.270957342769	0.0293428240825722	0.0293428240825722	0.0806275498453838	0.548331779575288	0.331461944306383	0
aa_AICDA	0.624210315111288	0.0827496390396253	67.5223462294957	0.110664027278703	0.110664027278703	0.335020394390774	0.523405926504478	0.613526999712053	0
aa_AIF1	0.029158797418409	0.0039599271873344	2.69315476237933	0.93909728400978	0.93909728400978	0.0693904226440021	0.0878775128657341	0.15858247712783	0
