	cohenD	fc_case_control	coeff	pval	drug_adj_pval	pred_pval	bdmard_pval	csdmard_pval	drug_effect
aa_A1BG	-0.407504972590989	-0.0657980743568977	-46.6624999999357	0.309187951692757	0.309187951692757	0.307790079797583	0.452695366432188	0.647859367654745	0
aa_AAK1	-0.0888992624082394	-0.036203930929629	-61.943135685354	0.82261563329225	0.82261563329225	0.257679750520297	0.845416242777868	0.186388476218576	0
aa_AARS	-0.417550700246393	-0.052391596146751	-43.5647168808662	0.297673491187891	0.297673491187891	0.91823560975804	0.562441276912553	0.365550016684654	0
aa_ABCF1	-0.164052029631721	-0.0312867044172559	-24.4378205139412	0.67948157180819	0.4731056648893	0.0138564777079261	0.821201296343609	0.702288886212548	1
aa_ABCF3	0.423745849320961	0.149956843742353	171.14839743551	0.290726257694038	0.290726257694038	0.505699565566162	0.834731774533699	0.620627256183728	0
aa_ABI1	0.180714443562727	0.0283898314100078	15.6893696583015	0.649137768099873	0.649137768099873	0.171341239745847	0.161834609526173	0.126698513931973	0
aa_ABL2	0.0370130363000393	0.00768706366064286	10.8009615393567	0.925602568366845	0.925602568366845	0.432947996083565	0.524871146536069	0.643309043721184	0
aa_ABT1	0.154916791653475	0.0227346804458066	25.2350961547763	0.696359428006589	0.696359428006589	0.742024018455408	0.976902251261366	0.705816670787691	0
aa_ACAT2	0.127851952865567	0.0520385336041532	43.5170673074701	0.747279921163981	0.747279921163981	0.839168893763838	0.614298790169548	0.755388052753806	0
aa_ACPP	-0.132620301468224	-0.0308871581584031	-12.82625534125	0.738215106166168	0.738215106166168	0.601944685163001	0.24741844395962	0.741476731201742	0
aa_ACRBP	-0.0742255794981341	-0.0184474318531082	-16.35675747891	0.851496895547839	0.851496895547839	0.515707456397509	0.354807531443116	0.602444284100289	0
aa_ACSL6	-0.276483992643921	-0.0606171911737397	-45.5299946579799	0.487658362687585	0.487658362687585	0.454745242715388	0.196736582715156	0.54096922857041	0
aa_ACTA1	-0.409994428987873	-0.071296015557929	-42.8501869658339	0.306305729616318	0.306305729616318	0.966186220447311	0.659695223337953	0.821784796330424	0
aa_ACTB	-0.110779943362547	-0.0142904495345154	-12.7131410262517	0.780031782642987	0.780031782642987	0.430358595673918	0.324723309979102	0.470708160917966	0
aa_ACTL7B	-0.612223891728787	-0.0843720919534414	-90.0559829055756	0.131645021310279	0.131645021310279	0.472453740520553	0.246711386321895	0.585341332111209	0
aa_ACTL8	0.0194583448946965	0.00427112840419394	2.9841079057055	0.960844342732948	0.960844342732948	0.924132934763076	0.315271554970421	0.33058674145142	0
aa_ACTR2	-1.01809857800488	-0.188761925180237	-212.477884615481	0.0158594781706568	0.0158594781706568	0.839323789919289	0.0969264855333983	0.451207688749097	0
aa_ACVR1	-0.490091220371748	-0.0555189403381742	-43.2879006392321	0.22353374901867	0.22353374901867	0.974121432818871	0.995812462038421	0.0773033018446245	0
aa_ACVR1C	-0.124709609285175	-0.0187724168752315	-15.9702457246155	0.75327411960308	0.75327411960308	0.659927302017704	0.561742522532202	0.747226954319421	0
aa_ACVR2A	0.357570301258865	0.367903450411081	307.757638888654	0.371030472497484	0.371030472497484	0.836899447252351	0.592154967857287	0.24875976329062	0
aa_ADAM2	-0.052984928943182	-0.00809591075856771	-9.34788995631468	0.893670767600714	0.893670767600714	0.542665478199521	0.406801509151541	0.321106154969209	0
aa_ADAM29	-0.156612882871992	-0.0210760101347301	-13.8837072646151	0.69321336719342	0.69321336719342	0.877535293058403	0.391678301408884	0.469055612627061	0
aa_ADCK1	-0.453338471939466	-0.040293103770797	-27.8521367519225	0.259143573779052	0.259143573779052	0.685641138295433	0.12077820584695	0.948112000187817	0
aa_ADD1	-0.331596592515504	-0.133773150741526	-162.038301282051	0.406232474083553	0.406232474083553	0.746688634579799	0.967782089233219	0.514148877480285	0
aa_ADSL	0.0946633640780038	0.0161621784915013	12.6048344006095	0.811337666358442	0.811337666358442	0.562818263112314	0.813308391767539	0.552481844681993	0
aa_AFF4	0.532152302144993	0.448225694157371	960.70208332917	0.187493154563856	0.187493154563856	0.560184820511988	0.666049468070051	0.465664660250317	0
aa_AFP	0.208859377882592	0.0362772877859758	31.6880608988146	0.599283245330571	0.599283245330571	0.126761516435847	0.40737046791303	0.577506615763983	0
aa_AGR2	-0.144260311105181	-0.0163577268037869	-17.5039262825008	0.716251309388266	0.716251309388266	0.656642665761425	0.89002152583338	0.77908163927892	0
aa_AHSG	0.154637941343943	0.0297479141040051	25.779353634103	0.696877198448266	0.696877198448266	0.183569532134736	0.425212418165851	0.809273530331953	0
aa_AICDA	0.011185869377939	0.00123776692852835	0.998904915928257	0.977484449431917	0.861748971354561	0.0416214260588286	0.954464434510485	0.347065914119607	1
aa_AIF1	0.859632889714255	0.0944693978172818	64.2057425202251	0.0383461757930645	0.0383461757930645	0.207866099322626	0.526851793810575	0.0863668737341684	0
aa_AIFM2	0.393026554880203	0.0545871957694447	28.9720619668589	0.326327920660282	0.504372522895047	0.359640831084312	0.653297884404346	0.00637012523292249	1
aa_AIFM3	0.0691020493680504	0.00839479085665976	6.30427350359021	0.861633552220808	0.861633552220808	0.18721585368545	0.195037408391471	0.74871555831636	0
aa_AIM2	0.473802468773224	0.0644630007184705	46.4009348298395	0.238830117539494	0.238830117539494	0.923924866754366	0.916803430929282	0.546775557398864	0
aa_AK1	0.613989328592851	0.341805354398269	231.149172008141	0.130587201151345	0.130587201151345	0.663710214618092	0.603686137733147	0.372969642140104	0
aa_AK2	0.372547614355668	0.0580381083294484	58.2189903822124	0.351674277510199	0.351674277510199	0.553675750639623	0.634544471288399	0.277347575888059	0
aa_AK3	-0.00163371792879711	-0.000259500319456414	-0.268509615642299	0.996711105729186	0.996711105729186	0.74365273536951	0.816125854970521	0.766949041500488	0
aa_AK4	0.187350168601376	0.0252975576650226	18.7249198716992	0.637220118493484	0.637220118493484	0.597922255782017	0.114500598367914	0.360512343730058	0
aa_AK7	0.18321985488637	0.0417749976987827	31.8707264943907	0.644626630976114	0.644626630976114	0.687699941790372	0.375934231430186	0.718847240049675	0
aa_AK9	-0.566707378688729	-0.0767989402848232	-76.7778311976907	0.161437399835624	0.161437399835624	0.756161159726862	0.540181888332029	0.849357929224629	0
aa_AKAP3	-0.512268391454796	-0.0926999461982804	-97.6250534171801	0.203921080738953	0.203921080738953	0.582689717668566	0.292122284207017	0.698421789782983	0
aa_AKAP4	0.347848919608211	0.0547221135862813	45.549332266764	0.383963711933487	0.383963711933487	0.653058543840777	0.826953389389676	0.110136653863364	0
aa_AKT1	-0.411957233942587	-0.0933159075313522	-18.2494658117948	0.304046638189249	0.304046638189249	0.952419802917043	0.773229825617677	0.858188078502251	0
aa_AKT3	0.404536418265447	0.0441583964831473	21.8746794875001	0.31264970797872	0.31264970797872	0.977807590957526	0.461443783523714	0.329866093251411	0
aa_ALDOA	0.0135264654995707	0.0136006210825419	11.2667467950957	0.972774941989419	0.972774941989419	0.251150893081971	0.590488796459064	0.847011611400923	0
aa_ALOX15	-0.874293569764958	-0.0955147826859379	-96.4028846143278	0.0354338754917546	0.0354338754917546	0.731361387164178	0.846823817380686	0.460984094699533	0
aa_ALOX15B	-0.060037195550814	-0.01293012873692	-12.7175480768584	0.879626352723462	0.879626352723462	0.916771046459852	0.440219240104115	0.230942028829416	0
aa_ALPK1	0.0493378393310596	0.00525916686697383	3.63103632535222	0.900948095415017	0.900948095415017	0.511571879415781	0.516984839499132	0.255178826063509	0
aa_ALX1	-0.89478608441122	-0.324559279345521	-370.619524572724	0.031698970643394	0.031698970643394	0.459236849829505	0.225080014560149	0.543589258340599	0
aa_AMD1	-0.852494297963919	-0.228520714772056	-52.4055555561155	0.0398411208431211	0.0398411208431211	0.622137764813905	0.999647565582815	0.856679329915028	0
aa_AMOTL2	0.230761284266052	0.168635892020722	358.66672008782	0.561808322380734	0.561808322380734	0.810829989361189	0.738377225783053	0.385158201907767	0
aa_AMT	0.116899490962226	0.0206466165915558	19.1676282046138	0.768240290265635	0.768240290265635	0.427933100876619	0.931751428396658	0.645084249545582	0
aa_ANKRD13A	-0.164753912598711	-0.0206886201167362	-12.1638621806413	0.678191705647237	0.678191705647237	0.586985630143714	0.291311477834215	0.0548925054351549	0
aa_ANKRD45	0.492084600342774	0.881955870354439	877.101789530867	0.221714118838405	0.221714118838405	0.515465841515149	0.734995107783839	0.628430833816353	0
aa_ANXA1	0.406625656999363	0.0484801049273545	33.2539529912819	0.310210540011756	0.310210540011756	0.537550072738827	0.668761772062551	0.277825862695249	0
aa_ANXA11	0.131187994756689	0.0452656548044273	38.4688034183969	0.740933981413517	0.740933981413517	0.357159985455632	0.870105160449383	0.462782500172025	0
aa_ANXA2	0.49894415086586	0.0368244265732505	27.6078258536851	0.215538674407597	0.215538674407597	0.426735731655393	0.74756458606552	0.815779128220141	0
aa_AP2M1	0.147268348551214	0.021936022815085	21.5337072638147	0.710614843820374	0.710614843820374	0.310467552108521	0.738061506765659	0.0623685433160588	0
aa_APCS	0.0714933189881177	0.0108295003024922	12.472168802243	0.856899411553868	0.856899411553868	0.762160992269294	0.711320928973952	0.74014226000807	0
