seed	omics_type_classification_type	classifier	cutoff	ACCURACY_average	ACCURACY_stdev	PRECISION_average	PRECISION_stdev	TPR_average	TPR_stdev	TNR_average	TNR_stdev	FPR_average	FPR_stdev	FNR_average	FNR_stdev	NPV_average	NPV_stdev	MCC_average	MCC_stdev	F1_average	F1_stdev
seed_0	3omics_PAM_cVSpos	RF	top30	0.825	0.1202211503854459	0.8403679653679653	0.1309870352343563	0.825	0.1425219281373922	0.825	0.1895718861012887	0.175	0.1895718861012887	0.175	0.1425219281373922	0.8305555555555556	0.11341364256996446	0.6601716970641959	0.22939871354550187	0.8252255639097744	0.1159517281784425
seed_0	1omics_P_cVSpos	RF	top200	0.7	0.1843485150469078	0.7003535353535353	0.1727202210740851	0.75	0.1767766952966369	0.65	0.25617376914899	0.35	0.25617376914899	0.25	0.1767766952966369	0.7116666666666667	0.22512342293851956	0.4059745380368386	0.3767347547087363	0.7169111504250822	0.1571470841733558
seed_0	1omics_AA_cVSpos	RF	top800	0.65	0.0559016994374947	0.653968253968254	0.058751604835942	0.65	0.1045825033167594	0.65	0.1045825033167594	0.35	0.1045825033167594	0.35	0.1045825033167594	0.6533333333333333	0.06549999567256916	0.30361609328891703	0.11202393783360459	0.6476190476190476	0.0641939563501679
seed_0	1omics_M_cVSpos	RF	top60	0.825	0.1118033988749894	0.8171717171717172	0.1410710122849166	0.875	0.1530931089239486	0.775	0.2053959590644373	0.225	0.2053959590644373	0.125	0.1530931089239486	0.8777777777777778	0.13005222123021806	0.6717903533623807	0.21441352921998594	0.8335485773256671	0.1062894045182104
seed_0	3omics_PAM_cVSneg	RF	1p	0.875	0.0765465544619743	0.8611111111111112	0.0916035135991174	0.9	0.0559016994374947	0.85	0.1045825033167594	0.15	0.1045825033167594	0.1	0.0559016994374947	0.8928571428571428	0.060556517706475625	0.7519763153394848	0.15108681237375757	0.8794117647058823	0.0721562966196887
seed_0	1omics_P_cVSneg	RF	top50	0.8375	0.0838525491562421	0.8777777777777778	0.125154225845209	0.8	0.1118033988749894	0.875	0.125	0.125	0.125	0.2	0.1118033988749894	0.8200000000000001	0.1036822067666386	0.6862220884342327	0.1755519898082746	0.8310924369747898	0.0815899961813524
seed_0	1omics_AA_cVSneg	RF	top1000	0.6	0.1045825033167594	0.6066666666666667	0.0983192080250174	0.55	0.1895718861012887	0.65	0.1045825033167594	0.35	0.1045825033167594	0.45	0.1895718861012887	0.6066666666666667	0.136218778278017	0.20655911179772887	0.21602468994692864	0.5698412698412698	0.1304584238473456
seed_0	1omics_M_cVSneg	RF	5p	0.8375	0.1045825033167594	0.8380952380952381	0.124681504042257	0.85	0.1045825033167594	0.825	0.1425219281373922	0.175	0.1425219281373922	0.15	0.1045825033167594	0.8476190476190476	0.10916665945428189	0.680336051416609	0.21081851067789198	0.8407843137254902	0.0984930671432194
seed_0	3omics_PAM_cVSra	RF	top20	0.8333333333333334	0.0658807845868412	0.8632959850606909	0.0673171403760639	0.9	0.0838525491562421	0.7	0.1895718861012887	0.3	0.1895718861012887	0.1	0.0838525491562421	0.7947619047619048	0.13546761208090477	0.6259807353990474	0.16140281882637675	0.8777954114196999	0.0464354034807927
seed_0	1omics_P_cVSra	RF	top50	0.75	0.0779511955577904	0.7639553429027113	0.0806117943289926	0.925	0.0684653196881457	0.4	0.270993542358485	0.6	0.270993542358485	0.075	0.0684653196881457	0.6933333333333334	0.2126551721031544	0.38024243619429215	0.25382102855876937	0.8327377583744308	0.0433813967834921
seed_0	1omics_AA_cVSra	RF	top600	0.6666666666666666	0.0294627825494394	0.6826392067124333	0.0156799838588956	0.9375	0.0883883476483184	0.125	0.125	0.875	0.125	0.0625	0.0883883476483184	['nan', 0.5, 0.4, 1.0, 'nan']	['nan', 0.5, 0.4, 1.0, 'nan']	['nan', 0.15811388300841897, 0.07254762501100116, 0.29488391230979427, 'nan']	['nan', 0.15811388300841897, 0.07254762501100116, 0.29488391230979427, 'nan']	0.7882295482295483	0.0295262231496483
seed_0	1omics_M_cVSra	RF	top50	0.8333333333333334	0.0883883476483184	0.8233230134158926	0.0792069210525001	0.9625	0.0342326598440728	0.575	0.2091650066335189	0.425	0.2091650066335189	0.0375	0.0342326598440728	0.8666666666666667	0.12638125740085918	0.6071806627641863	0.2202290938231186	0.8866004583651642	0.0578020722195253
seed_1	3omics_PAM_cVSpos	RF	top70	0.8375	0.0342326598440728	0.8373376623376624	0.114562552100301	0.875	0.125	0.8	0.1677050983124842	0.2	0.1677050983124842	0.125	0.125	0.8905555555555555	0.1062041476951551	0.7005874365033359	0.05979658222826627	0.8432706766917293	0.0277229831856137
seed_1	1omics_P_cVSpos	RF	top60	0.725	0.1629800601300662	0.7152958152958153	0.1503542414801566	0.75	0.2338535866733713	0.7	0.1677050983124842	0.3	0.1677050983124842	0.25	0.2338535866733713	0.7653968253968254	0.2213656962561317	0.4648982121970492	0.3354415717438239	0.723827215096565	0.1702898439262323
seed_1	1omics_AA_cVSpos	RF	top600	0.6625	0.1045825033167594	0.6603174603174603	0.0902112523071925	0.65	0.1629800601300662	0.675	0.0684653196881457	0.325	0.0684653196881457	0.35	0.1629800601300662	0.6698412698412698	0.12568782790367714	0.32756920994133026	0.21081851067789195	0.6525490196078432	0.123189697837158
seed_1	1omics_M_cVSpos	RF	top80	0.825	0.1026979795322186	0.8068831168831169	0.1233061999968603	0.875	0.125	0.775	0.1629800601300662	0.225	0.1629800601300662	0.125	0.125	0.8722222222222222	0.12044157438154889	0.6641076860612553	0.20176869467867412	0.8339766081871345	0.0987352910900898
seed_1	3omics_PAM_cVSneg	RF	top60	0.8875	0.128086884574495	0.8683333333333333	0.14147045235274	0.925	0.1118033988749894	0.85	0.1629800601300662	0.15	0.1629800601300662	0.075	0.1118033988749894	0.9178571428571428	0.12601627688840963	0.7805122284501421	0.25463721696568076	0.8939542483660131	0.1206724514187871
seed_1	1omics_P_cVSneg	RF	top50	0.8375	0.1045825033167594	0.8380952380952381	0.124681504042257	0.85	0.1045825033167594	0.825	0.1425219281373922	0.175	0.1425219281373922	0.15	0.1045825033167594	0.8476190476190476	0.10916665945428189	0.680336051416609	0.21081851067789198	0.8407843137254902	0.0984930671432194
seed_1	1omics_AA_cVSneg	RF	40p	0.6	0.1296027584582982	0.6444444444444445	0.2100852266798782	0.6	0.0559016994374947	0.6	0.270993542358485	0.4	0.270993542358485	0.4	0.0559016994374947	0.5797402597402598	0.09349116035900074	0.21167738197602912	0.27975371618801076	0.6080011491776198	0.0911376890104834
seed_1	1omics_M_cVSneg	RF	50p	0.8375	0.1135368882786559	0.8527777777777777	0.1209211047759939	0.825	0.1425219281373922	0.85	0.1369306393762915	0.15	0.1369306393762915	0.175	0.1425219281373922	0.8356349206349206	0.12700781029146002	0.6816392919759886	0.22606345527955732	0.8339355742296919	0.1159531455992392
seed_1	3omics_PAM_cVSra	RF	top100	0.85	0.0864018389721988	0.8458957219251337	0.0923956828116783	0.9625	0.0559016994374947	0.625	0.2651650429449553	0.375	0.2651650429449553	0.0375	0.0559016994374947	0.9178571428571428	0.12601627688840963	0.6594810313119317	0.19989700679778372	0.8973351940457204	0.0555821010102163
seed_1	1omics_P_cVSra	RF	top40	0.75	0.0510310363079828	0.7891316526610644	0.0776419985537901	0.875	0.125	0.5	0.2338535866733713	0.5	0.2338535866733713	0.125	0.125	0.7142857142857143	0.17516594011383527	0.4298866858266281	0.14996480835539705	0.8213252213252213	0.0424452571039792
seed_1	1omics_AA_cVSra	RF	top50	0.6666666666666666	0.0294627825494394	0.6893962178172705	0.0182542991682191	0.9125	0.0712609640686961	0.175	0.1118033988749894	0.825	0.1118033988749894	0.0875	0.0712609640686961	[0.4, 0.5, 0.5, 0.6666666666666666, 'nan']	[0.4, 0.5, 0.5, 0.6666666666666666, 'nan']	[0.07254762501100116, 0.15811388300841897, 0.10660035817780521, 0.2672612419124244, 'nan']	[0.07254762501100116, 0.15811388300841897, 0.10660035817780521, 0.2672612419124244, 'nan']	0.7841838831312515	0.026153692250809
seed_1	1omics_M_cVSra	RF	top50	0.8583333333333334	0.0959238702768444	0.8520074696545284	0.0859479533254793	0.9625	0.0342326598440728	0.65	0.2404423007708918	0.35	0.2404423007708918	0.0375	0.0342326598440728	0.8714285714285714	0.13842325574998698	0.6633279134832711	0.24749161964303523	0.9026256202726792	0.0609661272499079
seed_2	3omics_PAM_cVSpos	RF	top100	0.8125	0.0625	0.8247619047619048	0.120392404518556	0.85	0.2236067977499789	0.775	0.1854049621773915	0.225	0.1854049621773915	0.15	0.2236067977499789	0.8888888888888888	0.15713484026367724	0.6667669330421861	0.10074888150700272	0.8088888888888889	0.0910840068085298
seed_2	1omics_P_cVSpos	RF	top500	0.7125	0.0947859430506443	0.7151515151515152	0.1255840350612249	0.775	0.1629800601300662	0.65	0.2236067977499789	0.35	0.2236067977499789	0.225	0.1629800601300662	0.76	0.15165750888103102	0.44927106228449604	0.20029636333803716	0.7278195488721805	0.0754506688980577
seed_2	1omics_AA_cVSpos	RF	top1000	0.65	0.0712609640686961	0.6642857142857143	0.0632186573683416	0.6	0.1369306393762915	0.7	0.0684653196881457	0.3	0.0684653196881457	0.4	0.1369306393762915	0.643968253968254	0.08347229532408766	0.30407008203465835	0.14121828681218368	0.6264145658263306	0.095262169473329
seed_2	1omics_M_cVSpos	RF	top80	0.8375	0.0947859430506443	0.8123376623376624	0.1178799484214261	0.9	0.1369306393762915	0.775	0.1629800601300662	0.225	0.1629800601300662	0.1	0.1369306393762915	0.9055555555555556	0.1296957503325417	0.6956681026550392	0.1844896749536372	0.846842105263158	0.0936413266722649
seed_2	3omics_PAM_cVSneg	RF	top100	0.8625	0.1026979795322186	0.861111111111111	0.1206815777568247	0.875	0.0883883476483184	0.85	0.1369306393762915	0.15	0.1369306393762915	0.125	0.0883883476483184	0.8706349206349207	0.10192118680370602	0.7283597360771242	0.20668404190999387	0.866078431372549	0.0948484444391875
seed_2	1omics_P_cVSneg	RF	top60	0.8125	0.0765465544619743	0.8392063492063492	0.1183013647426554	0.8	0.1425219281373922	0.825	0.1425219281373922	0.175	0.1425219281373922	0.2	0.1425219281373922	0.8176767676767677	0.10935247355736855	0.6404911067988946	0.1538432695740461	0.8076370035193564	0.0767784954538078
seed_2	1omics_AA_cVSneg	RF	30p	0.5875	0.1045825033167594	0.5901298701298701	0.1050006224431189	0.55	0.2091650066335189	0.625	0.125	0.375	0.125	0.45	0.2091650066335189	0.6024242424242424	0.1356125969494815	0.18346487259596417	0.21686664049484972	0.5596761133603239	0.1402285359032095
seed_2	1omics_M_cVSneg	RF	top60	0.8625	0.1492167048289165	0.8692063492063492	0.1637215218274574	0.875	0.125	0.85	0.2053959590644373	0.15	0.2053959590644373	0.125	0.125	0.8666666666666667	0.14487116456005886	0.7303947770944533	0.2965067313794654	0.868235294117647	0.1343559401242623
seed_2	3omics_PAM_cVSra	RF	top30	0.8333333333333334	0.0833333333333333	0.8357323232323233	0.0919751952272353	0.95	0.0522912516583797	0.6	0.270993542358485	0.4	0.270993542358485	0.05	0.0522912516583797	0.875	0.125	0.6151365442319988	0.20220735535361903	0.8858230134158926	0.0512788016278049
seed_2	1omics_P_cVSra	RF	top60	0.7416666666666667	0.0903311807861616	0.7654196096301359	0.0830685624645374	0.9	0.0838525491562421	0.425	0.2592055169165965	0.575	0.2592055169165965	0.1	0.0838525491562421	0.6666666666666666	0.2041241452319315	0.3702369105874678	0.25758387669155247	0.8235971538158695	0.0575519047678456
seed_2	1omics_AA_cVSra	RF	top200	0.6583333333333333	0.0348608344389198	0.6725955204216073	0.0166133336138583	0.95	0.0522912516583797	0.075	0.0684653196881457	0.925	0.0684653196881457	0.05	0.0522912516583797	[1.0, 0.5, 0.3333333333333333, 0.0, 'nan']	[1.0, 0.5, 0.3333333333333333, 0.0, 'nan']	[0.29488391230979427, 0.10660035817780521, 0.0, -0.14744195615489714, 'nan']	[0.29488391230979427, 0.10660035817780521, 0.0, -0.14744195615489714, 'nan']	0.7871948061421745	0.0251417870741766
seed_2	1omics_M_cVSra	RF	top50	0.8416666666666667	0.0950146187582615	0.8203154946189002	0.0869066906974547	0.9875	0.0279508497187473	0.55	0.2436698586202241	0.45	0.2436698586202241	0.0125	0.0279508497187473	0.9333333333333333	0.14907119849998599	0.6320442877860654	0.2428497165120636	0.8947888147888148	0.0598315088037006
seed_3	3omics_PAM_cVSpos	RF	top90	0.825	0.1026979795322186	0.8206349206349206	0.1256176476409306	0.85	0.1629800601300662	0.8	0.1425219281373922	0.2	0.1425219281373922	0.15	0.1629800601300662	0.86	0.1422048600513436	0.6650945389349426	0.20949215897985765	0.8263305322128851	0.1071242932804037
seed_3	1omics_P_cVSpos	RF	30p	0.7125	0.0838525491562421	0.7021212121212121	0.0368901279843229	0.725	0.2236067977499789	0.7	0.0684653196881457	0.3	0.0684653196881457	0.275	0.2236067977499789	0.7566666666666667	0.16898389140848769	0.4413990842903773	0.1805406439583179	0.7025480367585631	0.1242699184903619
seed_3	1omics_AA_cVSpos	RF	top800	0.6375	0.0684653196881457	0.6507575757575758	0.0743428510627096	0.625	0.125	0.65	0.1629800601300662	0.35	0.1629800601300662	0.375	0.125	0.635	0.0651920240520265	0.28024755039739413	0.1335306182083829	0.6298872180451128	0.0729531595712985
seed_3	1omics_M_cVSpos	RF	5p	0.85	0.1296027584582982	0.830050505050505	0.1398999015395305	0.9	0.1045825033167594	0.8	0.1895718861012887	0.2	0.1895718861012887	0.1	0.1045825033167594	0.885	0.11401754250991379	0.7072874042332284	0.2513149321465251	0.8606037151702787	0.1158454401920287
