	crp	esr	das28crp	rf_tit	acpa_tit
ABCF3	0.0	-0.6256089812232686	0.0	0.0	0
CARD8	0.0	0.5398796561931645	0.0	0.0	0
CKM	0.5445758269028265	0.0	0.0	0.0	0
CT83	0.0	0.501775971707312	0.0	0.0	0
DNMT3L	0.0	0.0	0.0	-0.4890213699322658	0
DTYMK	0.5304110461355376	0.0	0.0	0.0	0
DUSP18	0.0	0.0	0.0	0.5777308282062386	0
ELK1	0.0	0.0	0.7118939068050878	0.0	0
FGFR1OP	0.0	0.0	-0.5573913043478261	0.0	0
FUS	0.0	0.0	-0.5330434782608696	0.0	0
MEIS2	0.0	0.0	0.0	-0.527319083196277	0
MLLT3	0.0	-0.522444807211841	0.0	0.0	0
MPP1	0.0	0.0	0.0	0.499803942291343	0
NME8	0.0	0.0	0.0	0.492117588021999	0
PDGFRB	0.0	0.4904834778294695	0.0	0.0	0
PDGFRB_ext	0.0	0.0	0.0	0.5126458785354808	0
PHF11	0.0	0.0	-0.5363201899269531	0.0	0
S100A7	0.0	0.0	0.568695652173913	0.0	0
SH2B1	0.0	0.0	-0.5252173913043479	0.0	0
SMAD4	0.0	0.0	0.5914329341813802	0.0	0
SUFU	0.0	0.5272814399701026	0.0	0.0	0
TBCB	0.0	0.4904086120001654	0.0	0.0	0
TOM1	0.0	0.0	0.5513043478260871	0.0	0
TPM1	0.0	0.0	0.5314198864482695	0.0	0
ZNF444	0.0	0.0	0.0	-0.5016301702646924	0
