	crp	esr	das28crp	rf_tit	acpa_tit
A1BG	-0.012303139965700004	0.08941660782709782	0.17217391304347826	0.2485954826090511	-0.251789873349222
AAK1	0.005829582895282278	0.06285663426821285	0.3113720447601972	-0.04630870481885159	0.22668009074518913
AARS	-0.05309776195723159	-0.33585000809284504	0.035652173913043476	-0.1566405209296827	0.20143189867937758
ABCF1	0.17094889215498954	-0.058381977619067306	0.26260869565217393	-0.07229562504446893	-0.20143189867937758
ABCF3	-0.366504064241379	-0.6256089812232686	-0.16260869565217392	-0.35640474802624156	0.3021478480190664
ABI1	0.03270544301568334	-0.1333770860764347	-0.017391304347826087	-0.024419355048498355	0.1636884025512223
ABL2	-0.050507627227610534	-0.1696150086617113	-0.04173913043478261	0.28030409008469537	-0.125894936674611
ABT1	0.21044844678171057	0.026732800278204502	0.26956521739130435	0.20737429289071352	-0.3273268353539886
ACAT2	-0.19526120929165397	0.020590471813643145	0.09262883454458382	-0.18488940251005898	-0.025182831161726506
ACPP	-0.06800141617122277	0.2014485712513893	0.32833225390216325	0.05327859283308733	-0.20146264929381205
ACRBP	0.02719641466102106	0.17268774432587275	0.11043478260869566	0.06785641999787874	0.025178987334922198
ACSL6	0.050507627227610534	-0.12045123803512833	-0.31043478260869567	0.15283548803260538	0.1762529113444554
ACTA1	0.0058278031416473695	-0.1272112564962835	-0.22782608695652173	-0.04375787831638909	-0.1510739240095332
ACTB	-0.027843948343426322	0.14749131187974898	-0.10869565217391304	0.2003983992460718	-0.10071594933968879
ACTL7B	-0.10295785550243687	0.0	-0.2643478260869565	0.08561324018423953	-0.1762529113444554
ACTL8	0.04339137984258977	0.01690262611567721	-0.15612089953758493	0.1515902819893794	0.2770111427789916
ACTR2	0.06738465390766932	-0.07010118302963954	-0.1053090042005059	-0.2849172904393843	0.05038874642625702
ACVR1	0.2732592139750211	0.45445760472947655	-0.11304347826086958	0.22513111307707434	0.0755369620047666
ACVR1C	0.21627624992335795	0.10877484251131486	-0.12260869565217392	-0.013951787289283478	-0.125894936674611
ACVR2A	-0.3399551832627632	-0.026732800278204502	-0.017391304347826087	-0.031074435326131387	0.0755369620047666
ADAM2	0.23250008005208547	0.2135877300071938	-0.00434877157486309	0.32094009492312126	-0.10073132464690603
ADAM29	0.0828843113478737	0.15425133034090413	0.22608695652173916	0.08941827308131685	-0.251789873349222
ADCK1	-0.07252377242938948	-0.12413852083212205	-0.22173913043478263	0.1388837007433219	-0.050357974669844395
ADD1	0.23375965934830006	0.006760018461155161	-0.06260869565217392	0.07990569083862356	-0.025178987334922198
ADSL	-0.11914619756256845	0.19235325257650596	0.05130434782608696	-0.1737631689665306	0.10071594933968879
AFF4	-0.28815248867034216	-0.2989771801229078	-0.16869565217391305	-0.10717509326767764	0.27696886068414417
AFP	-0.06151569982850002	-0.008910933426068168	-0.008695652173913044	0.11415098691231938	0.251789873349222
AGR2	0.06411562096143861	-0.015519683978939982	0.19569472086883904	0.20169753001097346	-0.3273768051024446
AHSG	0.09842511972560003	0.17115137649379203	0.3443478260869565	0.24225376111392224	-0.20143189867937758
AICDA	0.22145651938260005	0.026118253145372215	0.43043478260869567	0.02726940242905407	-0.3273268353539886
AIF1	0.07317130611179476	0.10723847467923414	0.08956521739130435	0.4153827579309399	-0.3273268353539886
AIFM2	0.09618811777215758	0.08606287332567039	0.28490650803094425	-0.0792957274295404	-0.27705344424412004
AIFM3	0.046622425133178956	0.11799304950379917	0.1582608695652174	0.18517826765776255	-0.2266108860142998
AIM2	0.19166996999195796	0.10662392754640186	0.21130434782608698	0.21815521943243257	-0.251789873349222
AK1	0.3496681884988422	0.31065357564672125	0.3382608695652174	0.44138381606096827	-0.20143189867937758
AK2	0.2965704265416106	0.28914442599759127	0.15391304347826087	0.18264157905971098	-0.3021478480190664
AK3	0.29592289285920537	0.21754968502262972	0.24347826086956523	0.10337006037060033	-0.20143189867937758
AK4	0.13015427016345793	0.39761199494248994	0.3417391304347826	0.13127363494916727	-0.1762529113444554
AK7	0.16287958254345264	0.10172307716889374	0.1556860223800986	0.39705237039896035	-0.07554849348517952
AK9	0.18748961887208562	0.24770030271337873	0.08393129139485762	0.29556933643117494	-0.2770111427789916
AKAP3	-0.24480509821640198	0.08758633532669098	-0.001304631472458927	-0.1515902819893794	-0.22664548045553856
AKAP4	-0.12082036511937447	-0.05979209227014106	-0.06088280204808325	0.19319389853224495	-0.15114314459690398
AKT1	0.284702693289405	0.28323256599186747	0.07289397336635803	-0.00492049404618373	-0.10419299753488813
AKT3	0.06735378363625874	0.035802835317752635	0.33529028842194425	0.18774361284040297	0.05036566232345301
ALDOA	-0.2687264781981843	0.006452744894739018	0.03130434782608696	-0.07039310859593027	0.0
ALOX15	-0.10490045654965266	0.06729291104513546	-0.34347826086956523	0.28537746728079844	0.27696886068414417
ALOX15B	0.058278031416473704	0.10877484251131486	-0.04347826086956522	0.05770966560567257	0.3021478480190664
ALPK1	0.23606205899438762	0.12415747183151986	0.03000652386655532	0.1978919162371815	-0.05036566232345301
ALX1	-0.007770404188863159	-0.13304945425819023	-0.23130434782608697	-0.15029879943455385	-0.050357974669844395
AMD1	0.1459451588016267	0.13664707637870893	-0.16773595736466174	-0.24260263630128945	0.012724207135174442
AMOTL2	0.03043872914330924	0.0015366023741524733	0.09045444875715226	-0.053912861795385986	-0.3273768051024446
AMT	0.06928610401736317	0.06422017538097403	-0.036521739130434785	0.24225376111392224	0.025178987334922198
ANKRD13A	0.12238386597459476	0.13089853929327722	0.2643478260869565	0.20610594859168774	0.27696886068414417
ANKRD45	-0.011655606283294739	-0.05223650629074443	-0.1773913043478261	0.10083337177254878	0.125894936674611
ANXA1	0.23181705830108426	0.2814625868371876	0.04347826086956522	-0.11224847046378071	-0.27696886068414417
ANXA11	0.18648970053271582	0.14872040614541357	-0.04782608695652174	0.31898859120498135	0.10071594933968879
ANXA2	0.028491482025831585	-0.055616515521322005	0.3234782608695652	-0.07166145289495605	-0.10071594933968879
AP2M1	-0.19296503735676845	-0.250120683062741	0.024347826086956525	-0.01902516448538656	-0.1510739240095332
APCS	0.18295619112733746	0.101876737406309	0.232224402097689	0.1871093438781043	-0.30219397394071806
APEX1	0.15446035958892032	-0.006761050446270883	-0.20260869565217393	-0.2207255988799332	0.17627981813208554
API5	0.3015189819726556	0.10896174497839342	0.06002610398209207	0.2784865947325459	-0.11334004537259457
APOBEC3G	-0.3238162674820132	-0.04486878932525223	-0.24048706808992887	-0.26005027454245006	0.20146264929381205
APP	-0.07640897452382107	-0.16930773509529518	0.11304347826086958	0.20230091569461045	-0.1762529113444554
APPL1	-0.3386601158979527	-0.2783898511730262	-0.08782608695652173	-0.10083337177254878	0.27696886068414417
AR	-0.015540808377726319	-0.13304945425819023	0.1373913043478261	-0.1433229057899121	-0.3273268353539886
ARAF	0.016838445909064685	-0.18577522703503405	-0.18090889751430453	-0.2923979916196816	0.25182831161726504
AREG	-0.2256999384349632	-0.0379540786415661	-0.24570559397976457	-0.1620557198673073	0.025182831161726506
ARHGDIA	-0.19922174911182375	-0.014126145845129586	0.31534327260369016	0.07913365242252277	-0.27984530979796957
ARHGDIB	0.06928610401736317	-0.12751853006269964	-0.009565217391304347	0.3462579936340354	-0.2266108860142998
ARHGDIG	-0.150296647226246	0.26145590990105383	0.10482819608466803	0.08184569100380819	0.0
