	crp	esr	das28crp	rf_tit	acpa_tit
A1BG	0	0	0	0	0
AAK1	0	0	0	0	0
AARS	0	0	0	0	0
ABCF1	0	0	0	0	0
ABCF3	0	0	0	0	0
ABI1	0	0	0	0	0
ABL2	0	0	0	0	0
ABT1	0	0	0	0	0
ACAT2	0	0	0	0	0
ACPP	0	0	0	0	0
ACRBP	0	0	0	0	0
ACSL6	0	0	0.42107758950147184	0	0
ACTA1	0	0	0	0	0
ACTB	0	0	0	0	0
ACTL7B	0	0	0	0	0
ACTL8	0	0	0	0	0
ACTR2	0	0	0	0	0
ACVR1	0	0	0	0	0
ACVR1C	0	0	0	0	0
ACVR2A	0	0	0	0	0
ADAM2	0	0	0	0.4723515938290038	0
ADAM29	0	0	0	0.48971746124918775	0
ADCK1	0	0	0	0	0
ADD1	0	0	0	0	0
ADSL	0	0	0	0	0
AFF4	0	0	0	0	0
AFP	0	0	0	0	0
AGR2	0	0	0	0	0
AHSG	0	0	0	0	0
AICDA	0	0	0	0	0
AIF1	0	0	0	0	0
AIFM2	0	0	-0.475964673943809	0	0
AIFM3	0	0	0	0	0
AIM2	0	0	0	0	0
AK1	0	0	0	0	0
AK2	0	0	0	0	0
AK3	0	0	0	0	0
AK4	0	0	0	0	0
AK7	0	0	0	0	0
AK9	0	0	0	0	0
AKAP3	0	0	0	0	0
AKAP4	0	0	0	0	0
AKT1	0	0	0	0	0
AKT3	0	0	0	0	0
ALDOA	0	0	0	0	0
ALOX15	0	0	0	0	0
ALOX15B	0	0	0	0	0
ALPK1	0	0	0	0	0
ALX1	0	0	0	0	0
AMD1	0	0	0	0	0
AMOTL2	0	0	0	0	0
AMT	0	0	0	0	0
ANKRD13A	0	0	0	0	0
ANKRD45	0	0	0	0	0
ANXA1	0	0	0	0	0
ANXA11	0	0	0	0	0
ANXA2	0	0	0	0	0
AP2M1	0	0	0	0	0
APCS	0	0	0	0	0
APEX1	0	0	0	0	0
API5	0	0	0	0	0
APOBEC3G	0	0	0	0	0
APP	0	0	0	0	0
APPL1	0	0	0	0	0
AR	0	0	0	0.5070833286693717	0
ARAF	0	0	0	0	0
AREG	0	0	0	0	0
ARHGDIA	0	0	0	0	0
ARHGDIB	0	0	0	0	0
ARHGDIG	0	0	0	0	0
ARIH2	0	0	0	0	0
ARL1	0	0	0	0	0
ARMC3	0	0	0	0	0
ARNT	0	0	0	0	0
ARRB1	0	0	0	0	0
ARX	0	0	0	0	0
ASB1	0	0	0	0	0
ASCL1	0	0	0	0	0
ASNA1	0	0	0	0	0
ASPSCR1	0	0	0	0	0
ATF1	0	0	0	0	0
ATF2	0	0	0	0	0
ATF3	0	0	0	0	0
ATF4	0	0	0	0	0
ATF5	0	0	0	0	0
ATG12	0	0	0	0	0
ATG7	0	0	0	0	0
ATIC	0	0	0	0	0
ATP5B	0	0	0	0	0
ATXN3	0	0	0	0	0
AURKA	0	0	0	0	0
AURKB	0	0	0	0	0
AXIN1	0	0	0	0	0
AXL_int	0	0	0	0	0
BACH1	0	0	0	0	0
BAD	0	0	0	0	0
BAG3	0	0	0	0	0
BAG4	0	0	0	0	0
BAGE2	0	0	0	0	0
BANK1	0.4129307675446823	0	0	0	0
BASP1	0	0	0	0	0
BATF	0	0	0	0	0
BCKDK	0	0	0	0	0
BCL10	0	0	0	0	0
BCL2A1	0	0	0	0	0
BCL2L14	0	0	0	0	0
BDNF	0	0	0	0	0
BID	0	0	0	0	0
BIRC2	0	0	0	0	0
BIRC3	0	0	0	0	0
BIRC5	0	0	0	0	0
BIRC7	0	0	0	0	0
BLK	0	0	0	0	0
BLZF1	0	0	0	0	0
BMP7	0	0	0	0	0
BMPR1A	0	0	0	0	0
BMPR1B	0	0	0	0	0
BMPR2	0	0	0	0	0
BMX	0	0	0	0	0
BOLA3	0	0	0	0	0
BOP1	0	0	0	0	0
BPI	0	0	0	0	0
BPIFA1	0	0	0	0	0
BRAF	0	0	0	0	0
BRD2	0	0	0	0	0
BRD3	0	0.45252281121074284	0	0	0
BRD8	0	0	0	0	0
BRDT	0	0	0	0.4929425509129362	0
BRSK1	0	0	0	0	0
BRSK2	0	0	0	0	0
BTF3	0	0	0	0	0
BTG1	0	0	0	0	0
BTG3	0	0	0	0	0
BTRC	0	0	0	0	0
BUB1	0	0	0	0	0
BUB1B	0	0	0	0	0
BUD31	0	0	0	0	0
C1D	0	0	0	0	0
C1orf174	0	0	0	0	0
C1orf216	-0.4887445328705461	0	0	0	0
C21orf2	0	0	0	0	0
C21orf33	0	0	0	0	0
C4BPA	0	0	0	0	0
C6	0	0	0	0	0
C6orf106	0	0	0	0	0
CA1	0	0	0	0	0
CA4	0	0	0	0	0
CA9	0	0	0	0	0
CAB39L	0	0	0	0	0
CABYR	0	0	0	0	0
CAGE1	0	0	0	0	0
CALM2	0	0	0	0	0
CALM3	0	0	0	0	0
CALML4	0	0	0	0	0
CALR	0	0	0	0	0
CALR3	0	0	0	0	0
CALU	0	0	0	0	0
CAMK1	0	0	-0.5141366851542464	0	0
CAMK1G	0	0	0	0	0
CAMK2A	0	0	0	0	0
CAMK2B	0	0	0	0	0
CAMK2D	0	0	0	0	0
CAMK2G	0	0	0	0	0
CAMK4	0	0	0	-0.47470128411289586	0
CAMKK1	0	0	0	0	0
CAMKK2	0	0	0	0	0
CAMKV	0	0	0	0	0
CAPG	0	0	0	0	0
CARD8	0	0	0	0	0
CARD9	0	0	0	0	0
CARHSP1	0	0	0	0	0
CASP1	0	0	0	0	0
CASP10	0	0	0	0	0
CASP3	0	0	0	0	0
CASP4	0	0	0	0	0
CASP6	0	0	0	0	0
CASP9	0	0	0	0	0
CASS4	0	0	0	0	0
CBFA2T3	0	0	0	0	0
CBFB	0	0	0	0	0
CBLC	0	0	0	0	0
CBX5	0	0	0	0	0
CCDC110	0	0	0	0	0
CCDC183	0	0	0	0	0
CCDC33	0	0	0	0	0
CCDC36	0	0	0	0	0
CCM2	0	0	0	0	0
CCNA1	0	0	0	0	0
CCNA2	0	0	0	0	0
CCNB1	0	0	0	0	0
CCNB1IP1	0	0	0	0	0
CCND1	0	0	0	0	0
CCND2	0	0	0	0	0
CCNH	0	0	0	0	0
CCNI	0	0	0	0	0
CCR5	0	0	0	0	0
CCT3	0	0	0	0	0
CCT5	0	0	0	0	0
CD276	0	0	0	0	0
CD5L	0	0	0	0	0
CD96	0	0	0	0.5165105138403286	0
CDC20	0	0	0	0	0
CDC25A	0	0	0	0	0
CDC25C	0	0	0	0	0
CDC42	0	0	0	0	0
CDH19	0	0	0	0	0
CDK1	0	0	0	0	0
CDK10	0	0	0	0	0
CDK11B	0	0	0	0	0
CDK14	0	0	0	0	0
CDK16	0	0	0	0	0
CDK17	0	0	0	0	0
CDK18	0	0	0	0	0
CDK19	0	0	0	0	0
CDK2	0	0	0	0	0
CDK20	0	0	0	0	0
CDK3	0	0	0	0	0
CDK4	0	0	0	0	0
CDK5	0	0	0	0	0
CDK5R1	0	0	0	0	0
CDK7	0	0	0	0	0
CDK8	0	0	0	0	0
CDK9	0	0	0	0	0
CDKN1A	0	0	0	0	0
CDKN2A	0	0	0	0	0
