pathway	pvalue	number_of_metabolites_in_pathway(m)	number_of_hits(x)	metabolite_list
[Cofactors and Vitamins] Tocopherol Metabolism	0.335926167096	9	1	gamma-CEHC glucuronide*
[Lipid] Sphingomyelins	1.000000000000	29	1	sphingomyelin (d18:2/18:1)*
[Xenobiotics] Food Component/Plant	0.364950238897	72	1	homostachydrine*
[Lipid] Secondary Bile Acid Metabolism	0.617407521642	21	1	deoxycholate
[Carbohydrate] Disaccharides and Oligosaccharides	0.086673305710	2	1	sucrose
[Nucleotide] Pyrimidine Metabolism, Uracil containing	0.393965027987	11	1	5-methyluridine (ribothymidine)
[Xenobiotics] Chemical	0.338227149417	27	2	4-chlorobenzoic acid@perfluorooctanesulfonate (PFOS)
[Lipid] Carnitine Metabolism	0.086673305710	2	1	carnitine
[Amino Acid] Methionine, Cysteine, SAM and Taurine Metabolism	1.000000000000	24	1	S-adenosylhomocysteine (SAH)
[Cofactors and Vitamins] Hemoglobin and Porphyrin Metabolism	0.017640259749	5	2	bilirubin (Z,Z)@heme
[Amino Acid] Tryptophan Metabolism	1.000000000000	25	1	N-acetylkynurenine (2)
[Lipid] Androgenic Steroids	1.000000000000	22	1	11beta-hydroxyandrosterone glucuronide
[Amino Acid] Glycine, Serine and Threonine Metabolism	0.081893234629	11	2	N-acetylthreonine@betaine
[Nucleotide] Pyrimidine Metabolism, Cytidine containing	0.203065592246	5	1	2'-O-methylcytidine
[Partially Characterized Molecules] Partially Characterized Molecules	1.000000000000	28	1	carnitine of C10H14O2 (5)*
[Lipid] Fatty Acid, Branched	0.165980525746	4	1	cis-3,4-methyleneheptanoate
[Lipid] Fatty Acid, Dicarboxylate	1.000000000000	29	1	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**
[Amino Acid] Histidine Metabolism	0.539875115566	17	1	N-acetylhistidine
[Peptide] Gamma-glutamyl Amino Acid	0.171498579831	17	2	gamma-glutamylthreonine@gamma-glutamylcitrulline*
[Lipid] Fatty Acid, Dihydroxy	0.203065592246	5	1	2R,3R-dihydroxybutyrate
[Lipid] Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)	0.272458286691	7	1	cis-3,4-methyleneheptanoylcarnitine
[Lipid] Corticosteroids	0.017640259749	5	2	tetrahydrocortisone glucuronide (5)@cortolone glucuronide (1)
[Energy] TCA Cycle	0.304900848859	8	1	succinylcarnitine (C4-DC)
[Lipid] Fatty Acid, Amino	0.127208107062	3	1	N-acetyl-2-aminooctanoate*
[Lipid] Phosphatidylcholine (PC)	0.617407521642	21	1	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*
