linoleate (18:2n6)
palmitate (16:0)
arachidate (20:0)
erucate (22:1n9)
citrate
oleoyl ethanolamide
dihomo-linoleate (20:2n6)
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)
acetylcarnitine (C2)
3-hydroxylaurate
3-hydroxy-2-ethylpropionate
docosadienoate (22:2n6)
nervonate (24:1n9)*
eicosenoate (20:1)
gamma-glutamyl-2-aminobutyrate
2-palmitoyl-GPC (16:0)*
2-hydroxypalmitate
dihomo-linolenate (20:3n3 or n6)
1-linoleoyl-GPI (18:2)*
(16 or 17)-methylstearate (a19:0 or i19:0)
3-methylglutaconate
beta-citrylglutamate
O-sulfo-tyrosine
methyl-4-hydroxybenzoate sulfate
N-acetylglucosamine/N-acetylgalactosamine
linoleoyl ethanolamide
oleate/vaccenate (18:1)
hexadecadienoate (16:2n6)
tetradecadienoate (14:2)*
dodecadienoate (12:2)*
tetradecadienedioate (C14:2-DC)*
branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid*
