pathway	pvalue	number_of_metabolites_in_pathway(m)	number_of_hits(x)	metabolite_list
[Lipid] Medium Chain Fatty Acid	0.0004	8	3	laurate (12:0)@caprate (10:0)@5-dodecenoate (12:1n7)
[Amino Acid] Polyamine Metabolism	0.1548	8	1	5-methylthioadenosine (MTA)
[Carbohydrate] Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	0.1184	6	1	pyruvate
[Lipid] Long Chain Saturated Fatty Acid	0.0996	5	1	arachidate (20:0)
[Lipid] Ceramides	0.1725	9	1	N-stearoyl-sphingosine (d18:1/18:0)*
[Amino Acid] Leucine, Isoleucine and Valine Metabolism	0.1473	33	2	3-methyl-2-oxovalerate@3-methyl-2-oxobutyrate
[Lipid] Sphingosines	0.0610	3	1	sphingosine 1-phosphate
[Lipid] Fatty Acid, Dicarboxylate	0.1190	29	2	tetradecanedioate (C14-DC)@octadecanedioate (C18-DC)
[Amino Acid] Lysine Metabolism	0.3449	20	1	N6-methyllysine
[Peptide] Dipeptide	0.1368	7	1	valylglycine
[Lipid] Fatty Acid, Monohydroxy	0.2712	15	1	2-hydroxynervonate*
[Xenobiotics] Food Component/Plant	1.0000	72	1	N-acetyltheanine
[Xenobiotics] Chemical	0.1054	27	2	3,5-dichloro-2,6-dihydroxybenzoic acid@3-bromo-5-chloro-2,6-dihydroxybenzoic acid*
