Annotation Cluster 1	Enrichment Score: 4.755024590167936
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0044421~extracellular region part	16	64.0	5.81035594350212E-6	WNT5B, GPX3, PGAM1, CFI, PGAM2, CXCL13, MPO, CD1B, ERMN, C9, MAN1C1, PRR27, RAC2, S100A12, HMOX1, LCP1	23	3948	17627	3.105942469494736	8.943972030176495E-4	8.275118704052632E-4	8.060180555895421E-4
GOTERM_CC_FAT	GO:0005576~extracellular region	17	68.0	1.0746907407860562E-5	WNT5B, GPX3, PGAM1, CFI, PGAM2, CXCL13, MPO, CD1B, ERMN, C9, MAN1C1, PRR27, RAC2, S100A12, HMOX1, LCP1, ENPP5	23	4778	17627	2.7268003712668567	0.00165366382280685	8.275118704052632E-4	8.060180555895421E-4
GOTERM_CC_FAT	GO:0070062~extracellular exosome	12	48.0	2.273307484779712E-5	WNT5B, GPX3, PGAM1, C9, CFI, PGAM2, PRR27, RAC2, MAN1C1, LCP1, MPO, ERMN	23	2218	17627	4.146391186733054	0.003494812198440611	0.0010634203496450408	0.0010357990418620527
GOTERM_CC_FAT	GO:1903561~extracellular vesicle	12	48.0	3.4243517711670616E-5	WNT5B, GPX3, PGAM1, C9, CFI, PGAM2, PRR27, RAC2, MAN1C1, LCP1, MPO, ERMN	23	2315	17627	3.9726547093623816	0.0052597110464610575	0.0010634203496450408	0.0010357990418620527
GOTERM_CC_FAT	GO:0043230~extracellular organelle	12	48.0	3.452663472873509E-5	WNT5B, GPX3, PGAM1, C9, CFI, PGAM2, PRR27, RAC2, MAN1C1, LCP1, MPO, ERMN	23	2317	17627	3.9692255727984085	0.0053030822894001295	0.0010634203496450408	0.0010357990418620527

Annotation Cluster 2	Enrichment Score: 1.8245881376009663
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0002252~immune effector process	7	28.000000000000004	4.0628844670774944E-4	C9, CFI, RAC2, HMOX1, LCP1, MPO, CD1B	22	946	19176	6.44974053430713	0.3513001302149361	0.41715637100255676	0.41715637100255676
GOTERM_CC_FAT	GO:0005615~extracellular space	10	40.0	4.864557971389677E-4	WNT5B, GPX3, C9, CFI, HMOX1, S100A12, LCP1, CXCL13, MPO, CD1B	23	2065	17627	3.711338035582693	0.072193814548285	0.012485698793233505	0.012161394928474192
