Annotation Cluster 1	Enrichment Score: 7.0799810730670885
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0005576~extracellular region	59	54.629629629629626	1.2957613517779945E-10	H2AW, B4GALT3, RPL30, BMP10, CLIC3, REG1A, HMGB2, IHH, SECTM1, METRNL, H2AC11, ALAD, CA1, NETO1, H2BC21, CFL2, NPPA, NAMPT, BSG, CCN5, CTSG, B2M, EDN1, RNASE4, H2AC1, SUB1, PLA2G10, BLVRB, MET, VCL, HDGFL3, PPIC, CFD, CCL14, COL15A1, GCNT1, RPL11, RFNG, PRKCZ, GNS, THBS4, FSTL3, IFNL2, TKFC, SVBP, A2M, S100A10, H2AZ1, ATP5PF, CNTN5, CCL20, GZMA, DLK1, EFNA1, PROC, MNDA, VIM, IL7R, FGF12	102	4778	17627	2.133949310155205	4.353757787622925E-8	4.353758141974062E-8	4.2112243932784824E-8
GOTERM_CC_FAT	GO:0044421~extracellular region part	50	46.2962962962963	6.607063359987676E-9	H2AW, B4GALT3, RPL30, BMP10, CLIC3, REG1A, HMGB2, IHH, SECTM1, METRNL, H2AC11, ALAD, CA1, H2BC21, CFL2, NPPA, NAMPT, BSG, CCN5, CTSG, B2M, EDN1, RNASE4, H2AC1, SUB1, PLA2G10, BLVRB, VCL, PPIC, CFD, CCL14, COL15A1, GCNT1, RPL11, PRKCZ, GNS, THBS4, FSTL3, IFNL2, TKFC, A2M, S100A10, H2AZ1, ATP5PF, CCL20, DLK1, PROC, MNDA, VIM, FGF12	102	3948	17627	2.188623676420923	2.2199708257231165E-6	1.1099866444779297E-6	1.0736477959979973E-6
GOTERM_CC_FAT	GO:0070062~extracellular exosome	33	30.555555555555557	3.938423245767219E-7	CFD, H2AW, B4GALT3, RPL30, COL15A1, CLIC3, REG1A, RPL11, SECTM1, METRNL, PRKCZ, GNS, THBS4, H2AC11, ALAD, CA1, TKFC, H2BC21, CFL2, NAMPT, BSG, CTSG, A2M, B2M, S100A10, H2AZ1, H2AC1, SUB1, BLVRB, MNDA, VIM, VCL, PPIC	102	2218	17627	2.5711690447143694	1.3232229173432142E-4	4.411034035259285E-5	4.266625182914487E-5
GOTERM_CC_FAT	GO:0005615~extracellular space	31	28.703703703703702	9.04810995138516E-7	CFD, CCL14, COL15A1, BMP10, REG1A, GCNT1, HMGB2, IHH, SECTM1, METRNL, THBS4, FSTL3, ALAD, IFNL2, H2BC21, CFL2, NPPA, NAMPT, CCN5, CTSG, A2M, B2M, S100A10, ATP5PF, EDN1, CCL20, RNASE4, DLK1, PROC, PLA2G10, FGF12	102	2065	17627	2.594298058206333	3.039704235284768E-4	5.8913139914582466E-5	5.698443592928363E-5
GOTERM_CC_FAT	GO:1903561~extracellular vesicle	33	30.555555555555557	1.031990428001086E-6	CFD, H2AW, B4GALT3, RPL30, COL15A1, CLIC3, REG1A, RPL11, SECTM1, METRNL, PRKCZ, GNS, THBS4, H2AC11, ALAD, CA1, TKFC, H2BC21, CFL2, NAMPT, BSG, CTSG, A2M, B2M, S100A10, H2AZ1, H2AC1, SUB1, BLVRB, MNDA, VIM, VCL, PPIC	102	2315	17627	2.463435395756575	3.466888522558609E-4	5.8913139914582466E-5	5.698443592928363E-5
GOTERM_CC_FAT	GO:0043230~extracellular organelle	33	30.555555555555557	1.052020355617544E-6	CFD, H2AW, B4GALT3, RPL30, COL15A1, CLIC3, REG1A, RPL11, SECTM1, METRNL, PRKCZ, GNS, THBS4, H2AC11, ALAD, CA1, TKFC, H2BC21, CFL2, NAMPT, BSG, CTSG, A2M, B2M, S100A10, H2AZ1, H2AC1, SUB1, BLVRB, MNDA, VIM, VCL, PPIC	102	2317	17627	2.4613089948970526	3.5341655906739877E-4	5.8913139914582466E-5	5.698443592928363E-5

Annotation Cluster 2	Enrichment Score: 4.331109518157569
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009605~response to external stimulus	39	36.11111111111111	8.446667809544211E-9	CFD, CCL14, RPL30, SPI1, REG1A, HMGB2, IHH, HMGCR, METRNL, PTGS2, THBS4, ALAD, IFNL2, TKFC, CLEC7A, H2BC21, NPPA, NAMPT, BSG, ABL1, CTSG, A2M, B2M, SH3GLB1, EDN1, ZNF580, CNTN5, CCL20, GZMA, TNFRSF10B, RNASE4, GFRA3, EFNA1, IL22RA1, PROC, PLA2G10, VIM, IL7R, MET	103	2757	19176	2.633592866877252	2.8709811871641122E-5	2.870177721683123E-5	2.7662837076257292E-5
