Annotation Cluster 1	Enrichment Score: 4.698668727712744
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_FAT	GO:0070062~extracellular exosome	12	48.0	6.892546083500086E-6	SDCBP, FCN2, C5, WNT5B, LAMA4, PGAM1, CFI, SERPINA10, PGAM2, PRR27, LCP1, ALDH7A1	21	2218	17627	4.541285585469535	0.001005809030903304	5.153077659646357E-4	5.011897449793032E-4
GOTERM_CC_FAT	GO:1903561~extracellular vesicle	12	48.0	1.0499262667271775E-5	SDCBP, FCN2, C5, WNT5B, LAMA4, PGAM1, CFI, SERPINA10, PGAM2, PRR27, LCP1, ALDH7A1	21	2315	17627	4.351002776920703	0.0015317261048858333	5.153077659646357E-4	5.011897449793032E-4
GOTERM_CC_FAT	GO:0043230~extracellular organelle	12	48.0	1.0588515738999363E-5	SDCBP, FCN2, C5, WNT5B, LAMA4, PGAM1, CFI, SERPINA10, PGAM2, PRR27, LCP1, ALDH7A1	21	2317	17627	4.347247055922066	0.0015447371459254011	5.153077659646357E-4	5.011897449793032E-4
GOTERM_CC_FAT	GO:0044421~extracellular region part	14	56.00000000000001	5.39238238902477E-5	FCN2, WNT5B, C1S, LAMA4, PGAM1, CFI, PGAM2, SERPINA10, CXCL13, SDCBP, C5, PRR27, LCP1, ALDH7A1	21	3948	17627	2.976528199932455	0.007842178962422341	0.001968219571994041	0.0019142957481037932
GOTERM_CC_FAT	GO:0005576~extracellular region	15	60.0	7.771451014845903E-5	FCN2, WNT5B, C1S, LAMA4, PGAM1, CFI, PGAM2, SERPINA10, CXCL13, SDCBP, C5, BIN2, PRR27, LCP1, ALDH7A1	21	4778	17627	2.635143215930156	0.011282627708414372	0.0022692636963350036	0.0022070920882162363

Annotation Cluster 2	Enrichment Score: 1.613896152047142
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006897~endocytosis	5	20.0	0.010160951130496336	SDCBP, FCN2, PLPP4, BIN2, CFI	22	799	19176	5.454545454545455	0.9999966027277273	0.357665479793471	0.35650422823570005
GOTERM_BP_FAT	GO:0016192~vesicle-mediated transport	6	24.0	0.027734250733690246	SDCBP, FCN2, PLPP4, BIN2, RAB26, CFI	22	1620	19176	3.2282828282828278	0.9999999999999991	0.6900117008514087	0.6877714031213717
GOTERM_BP_FAT	GO:0006909~phagocytosis	3	12.0	0.0510929223623154	FCN2, PLPP4, BIN2	22	334	19176	7.829069134458355	1.0	0.9088376904719013	0.90588691874959

Annotation Cluster 3	Enrichment Score: 1.350125708017445
Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0006096~glycolytic process	3	12.0	0.00386052612485545	PGAM1, STAT3, PGAM2	22	85	19176	30.76363636363636	0.9915131768461691	0.32735760543091674	0.3262947560626345
GOTERM_BP_FAT	GO:0006757~ATP generation from ADP	3	12.0	0.003949842002629069	PGAM1, STAT3, PGAM2	22	86	19176	30.405919661733613	0.9924014570191054	0.32735760543091674	0.3262947560626345
GOTERM_BP_FAT	GO:0046031~ADP metabolic process	3	12.0	0.004995291866162536	PGAM1, STAT3, PGAM2	22	97	19176	26.957825679475164	0.9979184235875234	0.32735760543091674	0.3262947560626345
