Names	total	elements
UP in ACPA+ UP in ACPA– RA	4	PGAM2_15524-30
		CFI_2567-5
		PGAM1_3896-5
		CD1B_20541-73
DOWN in ACPA+ RA DOWN in ACPA– RA	14	ALAD_15523-9
		CNTN5_3299-29
		GIMAP4_24684-7
		H2AW_14144-3
		UBTD2_12875-28
		S100A10_15318-75
		GNS_3616-3
		COL15A1_8974-172
		H1-2_2987-37
		SECTM1_13093-6
		H1-10_12709-63
		HDGFL3_18899-82
		NAMPT_5011-11
		H2AZ1_4163-5
UP in ACPA+	21	MAN1C1_13427-66
		S100A12_5852-6
		GPX3_21796-43
		MGAT3_21771-47
		ERMN_23425-19
		RAB26_6997-32
		HMOX1_17398-55
		MAP1LC3B_11608-5
		AS3MT_18417-3
		CXCL13_3487-32
		DLL3_9974-8
		SEC14L4_25497-35
		PRR27_9607-39
		RAC2_18950-13
		WNT5B_21945-4
		CPOX_18241-18
		GABBR2_9930-48
		LCP1_17231-1
		MPO_2580-83
		ENPP5_6556-5
		C9_13722-105
DOWN in ACPA+ RA	18	EDN1_6495-14
		SEPTIN3_18316-75
		ADSS2_12644-63
		SH3GLB1_16859-100
		STX1A_3766-51
		CHST6_4429-51
		IL15RA_3445-53
		ST8SIA1_21508-7
		MPP6_13490-1
		WNT5A_13268-45
		RARRES2_3079-62
		ANKRD46_7851-30
		ZW10_25262-6
		FGF12_4392-54
		SVBP_20379-59
		IGKV1-5_6561-77
		SENP1_21715-40
		SPACA1_6228-58
UP in ACPA– RA	19	DIAPH1_25083-26
		C5_2381-52
		CXorf38_24707-6
		HP_7905-30
		SERPINA1_3580-25
		CRYBB1_17751-68
		STAT3_10346-5
		ALDH7A1_21498-3
		FGL1_5581-28
		LAMA4_6577-64
		HP_3054-3
		GLIPR1_9265-10
		CDH11_7763-25
		CCL7_22969-12
		SIRT3_17495-141
		F9_4876-32
		EVA1B_8062-15
		NEK7_12703-6
		SERPINA10_6583-67
DOWN in ACPA– RA	35	DLK1_6373-54
		DDI2_25446-34
		BLVRB_17148-7
		IL1RAPL2_5082-51
		METRNL_21705-33
		IHH_19606-28
		CD93_14136-234
		H2BC12_22403-13
		H2AC1_22402-12
		MNDA_20076-7
		CLIC3_24693-5
		H2BC21_14143-8
		FSTL3_3438-10
		HBA1|HBB_4915-64
		CELF2_7245-2
		CA1_4969-2
		CTRB2_5648-28
		DLK1_6496-60
		GZMM_5704-74
		H2BU1_18823-52
		PGLYRP2_5601-2
		CFD_13678-169
		PPIC_18819-21
		H2BC21_22974-25
		MYOC_16558-2
		TGFBI_3283-21
		PLEKHM2_25291-27
		TNFRSF17_2665-26
		SGSH_21766-50
		A2M_3708-62
		CHRDL1_3362-61
		ASPN_6451-64
		RGMB_3331-8
		GZMA_3440-7
		H2AC11_22468-54
