	cohenD	fc_case_control	pval	padj
A1BG	-0.0700149856457984	-0.015706222686961785	0.755027843758332	0.9988377854874904
AAK1	-0.304753776491634	-0.49963204405103356	0.176835681629746	0.9988377854874904
AARS	0.0615020121252664	0.008553754120057091	0.784008642602767	0.9988377854874904
ABCF1	-0.0007815436862376	-0.00012102273061125418	0.997220187577822	0.9988377854874904
ABCF3	-0.192260145743212	-0.16030063698880614	0.392526835627042	0.9988377854874904
ABI1	-0.158154781404039	-0.03710718772143716	0.481494362370434	0.9988377854874904
ABL2	-0.0357979566419009	-0.010585951282705758	0.873221425949845	0.9988377854874904
ABT1	-0.0764451532117556	-0.015569510572796083	0.733365775442908	0.9988377854874904
ACAT2	-0.175781084487817	-0.1175388495282862	0.434180719478892	0.9988377854874904
ACPP	0.116813867798914	0.0322022865865667	0.602867250135918	0.9988377854874904
ACRBP	0.296946068285458	0.10897684486736268	0.188056696007081	0.9988377854874904
ACSL6	0.11343872979116	0.012231162232567538	0.613366320426141	0.9988377854874904
ACTA1	-0.290438368705523	-0.04910534963611338	0.197811824137284	0.9988377854874904
ACTB	0.19314840770546	0.033605072672988096	0.390353963024095	0.9988377854874904
ACTL7B	0.167836072368129	0.024613892518509404	0.455160367635457	0.9988377854874904
ACTL8	-0.201380400038342	-0.05284315628686598	0.37057303170704	0.9988377854874904
ACTR2	-0.231974192779379	-0.045324980614432284	0.302745526891443	0.9988377854874904
ACVR1	0.168760515644768	0.02431197059581128	0.452689750190424	0.9988377854874904
ACVR1C	-0.0956741266871863	-0.01581827278110963	0.669926491984055	0.9988377854874904
ACVR2A	0.363728343285781	0.3525814998897494	0.107846548080939	0.9988377854874904
ADAM2	-0.247947109007099	-0.061456383521342015	0.270900789450499	0.9988377854874904
ADAM29	-0.146249861831755	-0.027075316000035623	0.515003832738719	0.9988377854874904
ADCK1	-0.195640485542602	-0.019575367120013048	0.384297711643847	0.9988377854874904
ADD1	-0.162525941275573	-0.027350784567244626	0.469500935302211	0.9988377854874904
ADSL	-0.0867018312547689	-0.0251451977894778	0.699262810698304	0.9988377854874904
AFF4	0.278424607919474	0.2594425851031973	0.216803443090002	0.9988377854874904
AFP	0.25193821749112	0.041788025259196775	0.263322905374232	0.9988377854874904
AGR2	-0.205015544804613	-0.04845559575912231	0.36204355924236	0.9988377854874904
AHSG	0.481839953670095	0.08078040515492228	0.034258554419926	0.9988377854874904
AICDA	0.0736171206212605	0.01107701351851594	0.742867446731351	0.9988377854874904
AIF1	-0.10120368568629	-0.012930122120010365	0.652095564596976	0.9988377854874904
AIFM2	0.0206025051159927	0.003370505937402697	0.926825260636773	0.9988377854874904
AIFM3	-0.102370877984154	-0.014335654121322953	0.648357102571339	0.9988377854874904
AIM2	0.116621347985442	0.01971098386806987	0.603463901331196	0.9988377854874904
AK1	-0.0992974425120465	-0.05954123841284865	0.658220341870819	0.9988377854874904
AK2	-0.122754657286938	-0.019452201671811144	0.584590397712633	0.9988377854874904
AK3	-0.253011229910998	-0.18612903174360343	0.26131126150737	0.9988377854874904
AK4	0.105855694107154	0.02978417750562488	0.637249342933382	0.9988377854874904
AK7	-0.230748719335101	-0.07321350426761868	0.305289533172666	0.9988377854874904
AK9	0.131609058804422	0.02799822924552338	0.557847916031286	0.9988377854874904
AKAP3	-0.271238984660875	-0.11347123624525536	0.228783939450557	0.9988377854874904
AKAP4	0.0504409444189984	0.011445959268009365	0.822119066432661	0.9988377854874904
AKT1	0.0147343283308961	0.0024547669598670016	0.947630882505105	0.9988377854874904
AKT3	-0.212809722997918	-0.023472661800273534	0.344181902376405	0.9988377854874904
ALDOA	-0.0514315657432555	-0.06339936775155926	0.818686949969101	0.9988377854874904
ALOX15	0.145648624261027	0.02253115491996969	0.516728352732327	0.9988377854874904
ALOX15B	-0.0441773682852432	-0.010695314258952765	0.843897658529385	0.9988377854874904
ALPK1	-0.185353263119359	-0.02567718576865437	0.409676312103803	0.9988377854874904
ALX1	-0.424090916795716	-0.15591278531606667	0.0615841263363232	0.9988377854874904
AMD1	-0.258451137501801	-0.05610350762025251	0.251279426571993	0.9988377854874904
AMOTL2	0.159642292306744	0.11335190961503325	0.477394010452971	0.9988377854874904
AMT	0.178281516208316	0.02534370020329831	0.42769773413089	0.9988377854874904
ANKRD13A	-0.176540853920712	-0.024378136289736462	0.432204732983113	0.9988377854874904
ANKRD45	-0.0899778073954128	-0.17121659749317764	0.688495472797696	0.9988377854874904
ANXA1	-0.001400831900963	-0.0001849803415685827	0.995017511854431	0.9988377854874904
ANXA11	0.13887906988757	0.03863539060566689	0.536353816623143	0.9988377854874904
ANXA2	-0.354450130653121	-0.054975381208715486	0.116978630788929	0.9988377854874904
AP2M1	0.137387339116852	0.018721061633124227	0.540729325312777	0.9988377854874904
APCS	0.365462698548069	0.07871687898678016	0.106205057546797	0.9988377854874904
APEX1	-0.159752027759251	-0.04288219607733456	0.477092295818563	0.9988377854874904
API5	0.0470069318807496	0.028953651915253453	0.834043057570481	0.9988377854874904
APOBEC3G	0.0167865177026019	0.007721963103919097	0.940349958754664	0.9988377854874904
APP	-0.302957014885227	-0.060779851651441084	0.179371806649559	0.9988377854874904
APPL1	0.0094763457044461	0.004906526005554112	0.966304463666988	0.9988377854874904
AR	-0.173733478789141	-0.03680856339276248	0.439532492647271	0.9988377854874904
ARAF	-0.0340609346028552	-0.00557669771799083	0.879323839089326	0.9988377854874904
AREG	-0.0699969192509586	-0.05018081060062834	0.755088993022747	0.9988377854874904
ARHGDIA	0.37634008639449	0.08217989524216857	0.0963653988989771	0.9988377854874904
ARHGDIB	0.0028725506203554	0.0006670277255442219	0.989783109938078	0.9988377854874904
ARHGDIG	0.059234936305116	0.01717188341693195	0.79178014136801	0.9988377854874904
ARIH2	-0.186384180516461	-0.09464121333777091	0.407088123397629	0.9988377854874904
ARL1	0.289099740891944	0.07472452380833403	0.199864440692515	0.9988377854874904
ARMC3	-0.330352928817999	-0.05585875087484072	0.143599433076402	0.9988377854874904
ARNT	0.0803578982229574	0.009972021213414813	0.720288309009823	0.9988377854874904
ARRB1	-0.394427996121023	-0.06804820607263391	0.0816583995116746	0.9988377854874904
ARX	-0.0971075354464349	-0.03234624457018495	0.665285479657177	0.9988377854874904
ASB1	0.157823752604457	0.025777007362911265	0.482409500010035	0.9988377854874904
ASCL1	0.183721077901552	0.09928179172008669	0.413794364634773	0.9988377854874904
ASNA1	0.347228387916462	0.6133870261358012	0.1245066755393	0.9988377854874904
ASPSCR1	0.0731821032990223	0.019765809079713474	0.74433261792722	0.9988377854874904
ATF1	-0.0039176227713485	-0.0005356933101768339	0.986066403145339	0.9988377854874904
ATF2	-0.0819660104367274	-0.02011494856005209	0.714937392016531	0.9988377854874904
ATF3	-0.0416738439739252	-0.00841877757536429	0.852637623843577	0.9988377854874904
ATF4	0.0262400330223283	0.005090432340181438	0.906885148494384	0.9988377854874904
ATF5	-0.230057796984028	-0.04568410342934285	0.306730199680753	0.9988377854874904
ATG12	-0.124943580662283	-0.03328658385429886	0.577923004391975	0.9988377854874904
ATG7	-0.0678764384521207	-0.014883033256265311	0.762276946965264	0.9988377854874904
ATIC	-0.228916563759874	-0.025752173138008268	0.309119864437604	0.9988377854874904
ATP5B	-0.0553058801832723	-0.018955175109584783	0.805298535687351	0.9988377854874904
ATXN3	-0.0178399931796282	-0.013714746942118978	0.936614286880206	0.9988377854874904
AURKA	0.109691430940185	0.01440841240989067	0.625118439538963	0.9988377854874904
AURKB	0.0932001799634553	0.017017507467073742	0.677966710503959	0.9988377854874904
AXIN1	-0.0416579900894418	-0.007797957783156621	0.852693030799672	0.9988377854874904
AXL_int	-0.291351995573481	-0.051601181418265724	0.196419946075062	0.9988377854874904
BACH1	-0.155814029909643	-0.17078220011944678	0.487986061376453	0.9988377854874904
BAD	0.103544307816279	0.02259702321530705	0.644607747839048	0.9988377854874904
BAG3	-0.0158723983825178	-0.0023990712792268045	0.943592554833132	0.9988377854874904
BAG4	0.519864149505362	0.15671294703392802	0.022679165703104	0.9988377854874904
BAGE2	0.0369182917392702	0.015736383021311057	0.869289575336825	0.9988377854874904
BANK1	-0.143910491451307	-0.2339116065270948	0.521730912308973	0.9988377854874904
BASP1	-0.0581790080017342	-0.010811465803276684	0.795407111510344	0.9988377854874904
BATF	-0.355104334247488	-0.3457311566604595	0.116315068745002	0.9988377854874904
BCKDK	-0.0009591487729969	-0.00015806604244645312	0.996588481312048	0.9988377854874904
BCL10	0.0437442164118508	0.05308627600517362	0.845408450955198	0.9988377854874904
BCL2A1	0.0990953806966204	0.013503668092761477	0.658870950376701	0.9988377854874904
BCL2L14	0.156232458822695	0.0715924801793162	0.486822094098495	0.9988377854874904
BDNF	0.0841217221393958	0.011296670749236399	0.707786750900852	0.9988377854874904
BID	-0.128765876225339	-0.024404063788097594	0.566368634148333	0.9988377854874904
BIRC2	0.198449444649065	0.024341489473452632	0.377542042466162	0.9988377854874904
BIRC3	0.405929203319123	0.04891941613246986	0.0733104737411937	0.9988377854874904
BIRC5	-0.219999389546647	-0.04656726059800468	0.328222873533371	0.9988377854874904
BIRC7	0.166650966413438	0.15443679685813938	0.458338909521786	0.9988377854874904
BLK	0.265703864369815	0.042219718321048254	0.238334969945275	0.9988377854874904
BLZF1	-0.37526538047913	-0.04995293106470288	0.0973032401503442	0.9988377854874904
BMP7	0.249454468852697	0.04169125973340268	0.268021063791633	0.9988377854874904
BMPR1A	0.0955544133986821	0.015188911143349323	0.670314678044475	0.9988377854874904
BMPR1B	-0.013871772531305	-0.0021049370247413304	0.950692494997425	0.9988377854874904
BMPR2	-0.0356167748753699	-0.007470893092466602	0.87385759158766	0.9988377854874904
BMX	-0.433028530938312	-0.2249204262563294	0.0564207009054766	0.9988377854874904
BOLA3	0.0491031042228594	0.008173343290383819	0.826759661734251	0.9988377854874904
BOP1	0.0952321812776317	0.02824291518310276	0.67136000367731	0.9988377854874904
BPI	-0.108135035995701	-0.05921157636408703	0.630028474461072	0.9988377854874904
BPIFA1	-0.21662610996007	-0.034664219773144975	0.335648713627702	0.9988377854874904
BRAF	-0.0966725894473861	-0.030431466148425054	0.666692353456233	0.9988377854874904
BRD2	0.214405114428104	0.039095084586027395	0.340597685066702	0.9988377854874904
BRD3	0.187533769309888	0.19161722797063724	0.404213755057303	0.9988377854874904
BRD8	-0.244797907025579	-0.05524403334115331	0.27698672107335	0.9988377854874904
BRDT	-0.249421523759377	-0.052911417254220265	0.268083773485065	0.9988377854874904
BRSK1	0.0818407391868159	0.013426784517760684	0.715353717694321	0.9988377854874904
BRSK2	0.0389990989482174	0.010453889206552065	0.861995725950244	0.9988377854874904
BTF3	-0.011880178110592	-0.00485011430297442	0.957764349950314	0.9988377854874904
BTG1	-0.2114434841597	-0.03593920286744232	0.347270738743841	0.9988377854874904
BTG3	0.160880805941056	0.03304705909809889	0.473994934898109	0.9988377854874904
BTRC	0.207606372177506	0.03100544811661762	0.356041619206245	0.9988377854874904
BUB1	0.059067592076727	0.013346115130265773	0.79235464203222	0.9988377854874904
BUB1B	0.132599149367638	0.03657554999811277	0.554895711099373	0.9988377854874904
BUD31	-0.23740737188874	-0.48796244077154655	0.291640023275732	0.9988377854874904
C1D	-0.0647723893526612	-0.016498517291905834	0.77283661293374	0.9988377854874904
C1orf174	-0.192450963064229	-0.05782094327987331	0.39205942762894	0.9988377854874904
