	cohenD	fc_case_control	pval	padj
A1BG	-0.154008166737486	-0.029865582483769044	0.493027042291894	0.8107738978325343
AAK1	-0.251276048000057	-0.4013566642428232	0.264569738365653	0.7644168744370401
AARS	0.340350449258522	0.05011583655137089	0.132029625854337	0.735243505573107
ABCF1	0.437303994645995	0.08400161834035434	0.054083536820668	0.735243505573107
ABCF3	-0.0426477843674384	-0.0358328928312975	0.849235279631656	0.9561320281167596
ABI1	0.01461007364607	0.003908522013943666	0.948071872781422	0.9903385868055108
ABL2	0.29082126405862	0.07626561990022378	0.197227603863131	0.7578586652882702
ABT1	-0.250437353606529	-0.048385357573665536	0.266154905414726	0.76511977301319
ACAT2	-0.285919932203911	-0.1960293067225923	0.204803766633009	0.7578586652882702
ACPP	-0.309523219522886	-0.07872570476069354	0.170235786051792	0.7578586652882702
ACRBP	-0.226040378905961	-0.05589755231507053	0.315197906813404	0.7691906868643827
ACSL6	0.427485080476799	0.0836610061934767	0.0595781023813131	0.735243505573107
ACTA1	0.106865150757427	0.018682661245729558	0.634047036103595	0.8650980746837186
ACTB	-0.245689001284358	-0.04175087702335413	0.275255096837567	0.767829851091343
ACTL7B	0.283680947784931	0.047642507851329646	0.208335572097855	0.7578586652882702
ACTL8	0.143560066915451	0.04218627400568527	0.522742544508694	0.818733793508359
ACTR2	0.307525037097886	0.06855965665209675	0.172977581550769	0.7578586652882702
ACVR1	0.0640646613530871	0.007553697867925382	0.775250327269108	0.9259295451804628
ACVR1C	0.10130246076434	0.0165055510018467	0.651778845556101	0.8703391566142676
ACVR2A	-0.0942656803124683	-0.07897402391939005	0.674499229034572	0.873312336339269
ADAM2	-0.123055465259275	-0.03172363738028167	0.583671987495116	0.8464405375365989
ADAM29	-0.309577415811294	-0.055259852076793445	0.170161885964553	0.7578586652882702
ADCK1	0.119678373345148	0.01264700673070071	0.594021830165554	0.8523842661020873
ADD1	0.147330143296466	0.0401436620640355	0.511912952373888	0.8139839204192252
ADSL	-0.270774334085066	-0.0732170448111035	0.229574870592202	0.7578586652882702
AFF4	0.425264992252353	0.37690552077385375	0.0608838674241342	0.735243505573107
AFP	-0.152988083621498	-0.02353254301314883	0.495887077405615	0.8117334376033305
AGR2	-0.0986247654441081	-0.02467148456384886	0.660387280305716	0.8729257153466362
