	cohenD	fc_case_control	pval	padj
ACTR2	0.570645764902009	0.113884637266529	0.012664493092494	0.3962627593902517
AHSG	-0.525372979902013	-0.0923277121714458	0.0213271773610915	0.4013546129800236
AK4	-0.520165389428379	-0.1325708841272609	0.0226033175586146	0.4013546129800236
ALX1	0.580076432785763	0.2113740672020065	0.0113212499158723	0.3962627593902517
AMD1	0.538374187538407	0.2313121187628202	0.0184161928225945	0.3962627593902517
APCS	-0.549315894574925	-0.1003768153830253	0.0162467826160035	0.3962627593902517
ARL1	-0.629180066359949	-0.1498414362818436	0.006193891311249	0.3962627593902517
ARRB1	0.645834677626202	0.127823330334769	0.0050117177211119	0.3962627593902517
ATF5	0.546486390713462	0.1007684221708547	0.0167846711973942	0.3962627593902517
BCL10	-0.603404841183885	-0.4604011350133757	0.008534863530716	0.3962627593902517
BMX	0.559596645798282	0.1567320933648036	0.0144200177737567	0.3962627593902517
BRD2	-0.515358196883888	-0.0937821807143833	0.0238409092572048	0.4013546129800236
BRD8	0.752605096783987	0.1830159551456117	0.0011868447394104	0.3962627593902517
CA4	-0.581704281336302	-0.1310103195323373	0.0111028918883017	0.3962627593902517
CABYR	-0.668330906787282	-0.1546488733595423	0.0037435680153693	0.3962627593902517
CCNH	0.567816777595368	0.1224531993235415	0.0130945910243638	0.3962627593902517
CD5L	-0.593870199729063	-0.123017839433968	0.0095880262494296	0.3962627593902517
CDH19	-0.637831547718422	-0.1189175811786092	0.0055511131580069	0.3962627593902517
CDK3	-0.619842021786269	-0.1284710633336582	0.0069637955919403	0.3962627593902517
CEP55	-0.71369803967862	-0.2166898895360278	0.0020388028169448	0.3962627593902517
COMMD3	-0.547374977156675	-0.2448001322054808	0.016614059043796	0.3962627593902517
CRADD	-0.577414297558974	-0.3231533539794692	0.0116867320979198	0.3962627593902517
CSNK2A1	0.568885971671406	0.5154785822351501	0.0129305145348028	0.3962627593902517
CSNK2A2	0.525388689373412	0.2367246062512882	0.0213234264692816	0.4013546129800236
CXXC1	0.721367273846648	0.1362653883200242	0.0018351756484288	0.3962627593902517
DDB1	0.641382363670586	0.0859493828481887	0.0053055216534565	0.3962627593902517
DGKA	0.506502603197226	0.0837380372373725	0.0262783123301435	0.4195987849616187
DLX4	0.526422043784659	0.1479637524292006	0.0210779788730212	0.4013546129800236
DMAP1	0.516053487225893	0.092209700960823	0.0236582816059143	0.4013546129800236
DNM2	-0.520331457035681	-0.0967862523368872	0.0225616001342719	0.4013546129800236
DUSP14	0.506348314693641	0.0811403889514449	0.02632265669635	0.4195987849616187
EIF4E	0.559386408085566	0.113229150933736	0.014455445059779	0.3962627593902517
ELF2	0.759446722649391	0.1683198461524351	0.001077140554903	0.3962627593902517
