	cohenD	fc_case_control	pval	padj
A1BG	-0.0632754788543764	-0.01415935979680723	0.777944454757557	0.893997553290269
AAK1	0.278956572149708	0.0982753798082102	0.21593514532536	0.576099787918887
AARS	0.318877078811163	0.041562082431313804	0.157840673611551	0.5401811922910695
ABCF1	0.441826670149071	0.08412264107096569	0.0517013848398269	0.4378498606516846
ABCF3	0.290547777467901	0.12446774415750872	0.197644757116537	0.5674054286882062
ABI1	0.191044323435559	0.0410157097353808	0.395513078882257	0.7028433300225538
ABL2	0.334638273659072	0.08685157118292983	0.138546549498236	0.5191323430470078
ABT1	-0.154840294200241	-0.03281584700086951	0.490700671392438	0.7497483781975293
ACAT2	-0.145394582086482	-0.07849045719430608	0.517457933369481	0.7636180318284733
ACPP	-0.422298240080439	-0.11092799134726028	0.0626664440025118	0.4378498606516846
ACRBP	-0.43544421710636	-0.16487439718243324	0.0550898597734369	0.4378498606516846
ACSL6	0.360743111488629	0.07142984396090896	0.11071983532738	0.4969927728858856
ACTA1	0.422099849196594	0.06778801088184312	0.0627872007558497	0.4378498606516846
ACTB	-0.466532135132318	-0.07535594969634232	0.0402106974321385	0.4378498606516846
ACTL7B	0.156848639750277	0.023028615332820346	0.485110816325369	0.7486539288578858
ACTL8	0.391429796014461	0.09502943029255129	0.083959369834557	0.4551744597669317
ACTR2	0.570645764902009	0.11388463726652905	0.012664493092494	0.3962627593902517
ACVR1	-0.129894324651306	-0.016758272727885798	0.562979183844818	0.7936921943871778
ACVR1C	0.221404335475824	0.032323823782956486	0.325162349880778	0.6392080382271705
ACVR2A	-0.476601716913095	-0.43155552380913975	0.0362027926603295	0.4338122727672443
ADAM2	0.156196409836195	0.029732746141060223	0.486922313365803	0.7486539288578858
ADAM29	-0.169251203650168	-0.028184536076757753	0.451381506722367	0.7343609595271093
ADCK1	0.316340245519417	0.03222237385071371	0.161131359912042	0.5406375660047625
ADD1	0.248623056410017	0.0674944466312801	0.269606767939153	0.6113618258901921
ADSL	-0.213550437238502	-0.04807184702162559	0.34251476729045	0.6524658228746799
AFF4	0.113962858077715	0.11746293567065662	0.611730521729633	0.8173328962528706
AFP	-0.413761929187322	-0.0653205682723457	0.0680425012105454	0.4431471468888033
AGR2	0.137928167134866	0.023784111195273405	0.539140882136084	0.7791892461751304
AHSG	-0.525372979902013	-0.09232771217144582	0.0213271773610915	0.4013546129800236
AICDA	-0.175946640019607	-0.02604468476395876	0.433749694592558	0.7221685711416943
AIF1	-0.308019017916798	-0.04064184410384626	0.172296656773586	0.5556233538174269
AIFM2	-0.25683508407275	-0.04051203496064591	0.254230606250973	0.6043729118043291
AIFM3	0.0029938239424022	0.0004371622484234687	0.989351798919547	0.992433891751072
AIM2	-0.151032595607863	-0.023686885437474586	0.501394873454892	0.7591484080582918
AK1	-0.278538605514021	-0.1100814747816275	0.216617155440074	0.576099787918887
AK2	0.23924282361043	0.32301800400652875	0.28795218952847	0.6209939754175416
AK3	-0.0890125388641417	-0.019123599461404756	0.691661516052216	0.850706677497378
AK4	-0.520165389428379	-0.13257088412726098	0.0226033175586146	0.4013546129800236
AK7	0.240755453295521	0.1318659655981482	0.284937172846542	0.6208801766998604
AK9	-0.135134315378552	-0.027859791327569747	0.547372141607894	0.7826546607359763
AKAP3	0.0196109368995936	0.0033071437126113764	0.930337686640413	0.9663507583813322
AKAP4	-0.151751778122082	-0.03656477210691029	0.499365403811901	0.7584700944690194
AKT1	0.234058832633666	0.0972118783480795	0.298451044043585	0.6219094622064337
AKT3	0.214105939514406	0.025767686979443205	0.341267950328818	0.6524658228746799
ALDOA	-0.202299200632999	-0.19750031954613978	0.368405242981717	0.6747809342441006
ALOX15	-0.0890297598656764	-0.013038766960776191	0.691604983467457	0.850706677497378
ALOX15B	-0.171496786093342	-0.037377660671528416	0.44542236042807	0.7317653064175434
ALPK1	0.28306861340777	0.0355396464768536	0.20930926950696	0.576099787918887
ALX1	0.580076432785763	0.21137406720200655	0.0113212499158723	0.3962627593902517
AMD1	0.538374187538407	0.23131211876282023	0.0184161928225945	0.3962627593902517
AMOTL2	-0.482437173353626	-0.2734957982489925	0.0340427712187841	0.4338122727672443
AMT	0.0203068809512087	0.0030420837249156155	0.927872299414199	0.9644121381903552
ANKRD13A	0.199071548142578	0.028434196419429708	0.376056007233596	0.6819789050013491
ANKRD45	-0.0912582349048744	-0.11731316766012381	0.684304298246815	0.8481369670341588
ANXA1	0.0355891280167547	0.005318096235067727	0.873954672592122	0.9403411827631374
ANXA11	0.0513273366332437	0.014755052692341173	0.819047897756561	0.9136609842945728
ANXA2	0.0697855827575537	0.010100227822300972	0.755804419017197	0.8834463728747667
AP2M1	0.344233938274711	0.0480542137434151	0.127738986349978	0.5083173102645262
APCS	-0.549315894574925	-0.10037681538302534	0.0162467826160035	0.3962627593902517
APEX1	0.306604825355582	0.062156529822624505	0.174251507171697	0.5599699132663317
API5	-0.167837155660743	-0.08492664932235533	0.455157467963645	0.7369777585113862
APOBEC3G	-0.240729933985282	-0.09980711127120713	0.284987857503849	0.6208801766998604
APP	0.246699452395665	0.06329315235134007	0.273300660925104	0.6140958200007047
APPL1	0.142939265878963	0.1363722389109313	0.524537238066927	0.7663384331104832
AR	0.155384475529707	0.030379200318996154	0.48918256717919	0.7486539288578858
ARAF	0.443307289135936	0.09792634307536664	0.0509412233639507	0.4378498606516846
AREG	-0.226319686021203	-0.12261183197396301	0.31460418089202	0.629380787763234
ARHGDIA	0.0012786854228733	0.0005236286657977759	0.995451958228005	0.9966900825541593
ARHGDIB	-0.213548422796547	-0.05062012881328731	0.342519294072547	0.6524658228746799
ARHGDIG	-0.186154003175099	-0.04869374387799885	0.407665135800033	0.7071674088533318
ARIH2	0.367323564618912	1.3366648541225608	0.104466347255679	0.4832438638763691
ARL1	-0.629180066359949	-0.14984143628184363	0.006193891311249	0.3962627593902517
ARMC3	0.2632231970281	0.04154764924475953	0.242707317590569	0.5964702236174609
ARNT	0.320275834666588	0.09790540445219927	0.156048584881784	0.5397691044694675
ARRB1	0.645834677626202	0.12782333033476906	0.0050117177211119	0.3962627593902517
ARX	0.113729000736211	0.05193686768302112	0.612460144773324	0.8176292148300593
ASB1	-0.324130455338054	-0.05296251189364088	0.151191451059175	0.532504543261572
ASCL1	-0.274653169248476	-0.11513824256143171	0.223032886463205	0.576099787918887
ASNA1	0.114874553512286	0.2347489321462035	0.608889831189314	0.8173328962528706
ASPSCR1	0.0363700609592674	0.00970226940106949	0.871213202937515	0.9399292689606824
ATF1	0.040994016928317	0.009417906385650075	0.855014179706461	0.9301167765725692
ATF2	0.264050185334352	0.0782909176073332	0.241243349452532	0.5964702236174609
ATF3	0.352036689312754	0.0700707302625302	0.119452839544208	0.5030024866732847
ATF4	-0.0153175472758486	-0.002311021607330943	0.945561210432329	0.9690347223399426
ATF5	0.546486390713462	0.1007684221708547	0.0167846711973942	0.3962627593902517
ATG12	-0.0669322349458501	-0.014288401995274206	0.765484365317761	0.8892710124439447
ATG7	-0.0899367776542888	-0.018394330488233246	0.688629936088809	0.8493967170393659
ATIC	0.311955013213395	0.06248672961920025	0.166943946279324	0.5449539558291185
ATP5B	0.218199742726171	0.10896610515321634	0.332170945943351	0.6435562249925333
ATXN3	-0.172403431308187	-0.11053983779400578	0.443029389123369	0.7293224094975705
AURKA	0.237812136155391	0.15187662720465894	0.290823992658185	0.6209939754175416
AURKB	0.259416962117599	0.054555538631994714	0.249527346214108	0.6023073874133641
AXIN1	-0.0111870219399075	-0.002120329810076313	0.960226468351325	0.9779729812340388
AXL_int	0.209303505318527	0.03676090051640266	0.352144887796165	0.6608255908682656
BACH1	0.058068647609406	0.08631378271630716	0.795786446211174	0.9005117815846841
BAD	-0.0778961453573634	-0.02591216743564125	0.72850671467284	0.8702988571129784
BAG3	-0.0222380405046922	-0.0038028724318082976	0.921034921389905	0.9616512473655946
BAG4	-0.369849497777801	-0.11291875738058509	0.102143171453992	0.4832438638763691
BAGE2	-0.149599718559776	-0.0675886199636351	0.505451563090481	0.7613577737709057
BANK1	0.367015204137197	0.545996859620779	0.104752862417921	0.4832438638763691
BASP1	0.240511824485558	0.04633279312901887	0.285421304816598	0.6209841902090849
BATF	0.238995395084577	0.14474350922640836	0.288447450899507	0.6209939754175416
BCKDK	0.201430012788108	0.0282444919479914	0.370455771156004	0.6762287886181025
BCL10	-0.603404841183885	-0.4604011350133757	0.008534863530716	0.3962627593902517
BCL2A1	0.120673273655746	0.019672775143335736	0.590963855757004	0.8111268608429468
BCL2L14	-0.481717711882367	-0.1870216594966288	0.0343028685553419	0.4338122727672443
BDNF	0.183495689138367	0.031764603979228825	0.414364983397679	0.7102660845001852
BID	-0.0301147368272845	-0.005940796810162246	0.893214024319406	0.9496235832914492
BIRC2	0.447719342501711	0.07650679311409754	0.048732377251368	0.4378498606516846
BIRC3	-0.0262578234840543	-0.003516954466781046	0.906822310844211	0.9527362611440292
BIRC5	-0.0617317419289043	-0.01489128445949187	0.783222342039662	0.896415647080542
