	cohenD	fc_case_control	pval	padj
S-1-pyrroline-5-carboxylate	-0.395202325577807	-0.18832112390521652	0.0810726874385504	0.4816717237744513
spermidine	-0.24321685284515	-0.1676341026677553	0.280077705117329	0.7149228510557488
1-methylnicotinamide	-0.451840554745727	-0.606134392569511	0.046743690114543	0.4508641382866374
5-hydroxyindoleacetate	-0.521372491504872	-0.8295682658419684	0.0223016351429328	0.3479711012742897
alpha-ketoglutarate	0.269868960065967	0.13233811568033058	0.231121696144969	0.6772681622664024
kynurenate	-0.351750975686102	-0.24424216542197535	0.119748493749417	0.5672015708398724
3-hydroxyisobutyrate	0.148370170651007	0.11883705549290485	0.508946593544186	0.8244157797715747
3-hydroxy-3-methylglutarate	-0.303531583013201	-0.27719579870000727	0.178557824214551	0.6430421784384304
homovanillate (HVA)	-0.304765336613505	-0.2578616829048589	0.176819453172228	0.6407775560035237
3-phosphoglycerate	0.110977837619932	0.0871766800048423	0.621072897675679	0.8721874292447898
cholate	-0.383682173062761	-1.4955235315558624	0.0901538806386404	0.4990648102825152
5,6-dihydrothymine	0.165547812884546	0.06004534876515497	0.461309019001436	0.814492291282671
hypoxanthine	-0.428012125836338	-1.7844291532525804	0.0592716177856593	0.4693073617207799
linoleate (18:2n6)	0.15680745849873	0.1395119461796439	0.48522508259752	0.8236775938244362
laurate (12:0)	0.51506987104358	0.5604863167047245	0.0239170069082719	0.3499913912414456
quinolinate	0.0021153524724963	0.0020473869800760117	0.99247616418921	0.9971753884514696
N6,N6,N6-trimethyllysine	-0.197127546942466	-0.13136416555437866	0.380711921789011	0.7526558654550494
N-acetylputrescine	-0.198244959374925	-0.11921762861819657	0.378031306414443	0.7497032076742505
N-formylmethionine	-0.623678497973263	-0.2355382613024138	0.0066374532701907	0.2332795765966875
S-adenosylhomocysteine (SAH)	-0.231081037828172	-0.10829389142831834	0.304598236405307	0.7183514874694528
adenosine 3',5'-cyclic monophosphate (cAMP)	0.127509796423579	0.03818018545153885	0.570153140533217	0.854832576961106
adenosine 5'-diphosphate (ADP)	0.11135722572377	0.10156706305327418	0.619882002369179	0.8721874292447898
adenosine 5'-monophosphate (AMP)	0.0031314666209248	0.0025482223169405157	0.988862273804384	0.9971221569554372
5-methylthioadenosine (MTA)	0.0207401410347353	0.009673982445996633	0.926337827037151	0.9692745902232912
N6-methyladenosine	-0.183559874409406	-0.07150133410603371	0.414202436673927	0.7805884247269798
