	coef	cohenD	pval
S-1-pyrroline-5-carboxylate	-0.133481429209404	-0.395202325577807	0.0810726874385504
spermidine	-0.132606777284239	-0.24321685284515	0.280077705117329
1-methylnicotinamide	-0.563183225547874	-0.451840554745727	0.046743690114543
5-hydroxyindoleacetate	-0.888310180244025	-0.521372491504872	0.0223016351429328
alpha-ketoglutarate	0.0986745765110257	0.269868960065967	0.231121696144969
kynurenate	-0.181792064030876	-0.351750975686102	0.119748493749417
3-hydroxyisobutyrate	0.0963383296189789	0.148370170651007	0.508946593544186
3-hydroxy-3-methylglutarate	-0.22825852714537	-0.303531583013201	0.178557824214551
homovanillate (HVA)	-0.176500554243578	-0.304765336613505	0.176819453172228
3-phosphoglycerate	0.0730499986482644	0.110977837619932	0.621072897675679
cholate	-2.14212105144935	-0.383682173062761	0.0901538806386404
5,6-dihydrothymine	0.0425801657904715	0.165547812884546	0.461309019001436
hypoxanthine	-2.68833268713601	-0.428012125836338	0.0592716177856593
linoleate (18:2n6)	0.114924332050989	0.15680745849873	0.48522508259752
laurate (12:0)	0.499551528487699	0.51506987104358	0.0239170069082719
quinolinate	0.0017436741611674	0.00211535247249637	0.99247616418921
N6,N6,N6-trimethyllysine	-0.105341678528483	-0.197127546942466	0.380711921789011
N-acetylputrescine	-0.0947133723649549	-0.198244959374925	0.378031306414443
N-formylmethionine	-0.17401427190612	-0.623678497973263	0.00663745327019077
S-adenosylhomocysteine (SAH)	-0.079970375246873	-0.231081037828172	0.304598236405307
adenosine 3',5'-cyclic monophosphate (cAMP)	0.0264496469514323	0.127509796423579	0.570153140533217
adenosine 5'-diphosphate (ADP)	0.0887228189409334	0.11135722572377	0.619882002369179
adenosine 5'-monophosphate (AMP)	0.00217481757756198	0.00313146662092482	0.988862273804384
5-methylthioadenosine (MTA)	0.00702970127828287	0.0207401410347353	0.926337827037151
N6-methyladenosine	-0.0520435527063516	-0.183559874409406	0.414202436673927
arachidonate (20:4n6)	0.00344214212880341	0.00666664797342115	0.976291422855908
arginine	-0.222423319625864	-0.706093324252001	0.00226142681102457
aspartate	-0.0262945896343871	-0.0682949107368968	0.760856740911573
3-(4-hydroxyphenyl)lactate	-0.0540985934997746	-0.148504028478921	0.508565473093903
phenylpyruvate	0.0582622967673712	0.130298424680522	0.561767843872551
beta-alanine	0.0876245358759355	0.177687998428087	0.429231353435864
biliverdin	-0.143724063296894	-0.256538609112257	0.254774676473597
succinate	0.103116036860337	0.223743609227587	0.320108615990734
3-hydroxybutyrate (BHBA)	1.56365933414828	0.280814358362816	0.212922802025993
cholesterol	-0.037811122638519	-0.145016929402563	0.518543513201636
choline phosphate	-0.147637056336366	-0.331953099446702	0.141696057730122
cortisone	-0.153715382625958	-0.317298947139029	0.159881611627404
creatinine	-0.116065538665377	-0.609072613438738	0.00795990663080463
cysteinylglycine	0.0533320888693267	0.155301465847276	0.489413972747246
cystine	-0.0291512350406091	-0.0756085523951422	0.736172343654176
sphingosine	0.355459747909696	0.510797374886493	0.0250700713801601
deoxycholate	-0.460265132928419	-0.477454700000873	0.0358798062234475
cystathionine	0.0401005021412559	0.0546265799001031	0.807641903218826
sphinganine	0.221366141075837	0.374342402373204	0.0981146004451905
flavin adenine dinucleotide (FAD)	0.0388753422534483	0.162659069847813	0.469138322352252
fumarate	0.054627216950309	0.130158649954659	0.562186690640782
gamma-glutamylglutamate	-0.103954414085605	-0.216955563495251	0.334918642260535
gluconate	-0.0297494997171833	-0.0770196333795701	0.731440649654774
glycine	-0.105778004880282	-0.319536969611443	0.156993249835
glycocholate	-0.429475185315161	-0.225983422220137	0.315319072266769
guanidinoacetate	-0.0598482546796515	-0.147137155361346	0.512464400992388
histidine	-0.0603861916292114	-0.380443302541789	0.0928523196678194
cortisol	-0.0748893788715052	-0.125493800333916	0.57625280527
hypotaurine	0.0964485221703129	0.130200780565353	0.562060426520027
inosine	-2.62354785664337	-0.335236663865452	0.137852228481602
inosine 5'-monophosphate (IMP)	0.213906319809999	0.208252789387923	0.354554145866246
myo-inositol	-0.203320216243419	-0.48363038307557	0.0336151933540074
isoleucine	0.0822215113114799	0.347942283318574	0.123745752163343
2-aminoadipate	0.0445535892303153	0.0795261980652031	0.723061260538643
citrulline	-0.201282776542353	-0.664353172177891	0.00394359786031491
leucine	0.0710709588691132	0.290951936370172	0.197028519484227
lysine	0.0112005506599198	0.0733816077187843	0.743660554499284
malate	-0.0101252623381748	-0.0241456617551039	0.914286716322005
methionine	0.00518577685089898	0.0230034725183867	0.918326483281215
palmitate (16:0)	0.0957242365943541	0.249214942363334	0.2684772273042
nicotinamide	0.0348578842393889	0.0683129283767698	0.760795611270694
stearate (18:0)	0.072894048489388	0.213817817385195	0.341914266219261
ornithine	0.138510471749274	0.566585874241585	0.0132858052426813
orotate	-0.249091731872334	-0.211073414389718	0.34811048937589
palmitoleate (16:1n7)	0.371614061502496	0.251496504836181	0.264154169035038
phenylalanine	0.0663070747361838	0.465381999415242	0.0406920221449431
phosphate	-0.00273782795662808	-0.0226222307525178	0.919675367089412
