	cohenD	fc_case_control	pval	padj
arginine	-0.617861401254582	-0.2776854780636273	0.0071379626330391	0.2725621417354953
citrulline	-0.62853399643018	-0.2503341640060542	0.0062445330428161	0.2650179823371152
ornithine	0.690870472845316	0.2273355999302463	0.0027768510706346	0.1919951315638979
pyruvate	0.802683144155274	0.3298559630694752	0.0005763803124614	0.1528848778803863
sarcosine	-0.659255895167596	-0.2364429383749999	0.004214389986268	0.1997460054650052
N-acetylvaline	-0.613948906873908	-0.2019399027069483	0.007493774538328	0.2725621417354953
3-aminoisobutyrate	-0.620639534973014	-0.5393001654597592	0.0068947710948649	0.2725621417354953
butyrate/isobutyrate (4:0)	0.679786076643986	0.4697334485967523	0.003218824874336	0.1919951315638979
palmitoyl ethanolamide	0.708181250534099	1.2365995440926616	0.0021981429509308	0.1919951315638979
sphingosine 1-phosphate	0.957799422834617	0.2636801373260283	5.19838829327473e-05	0.0275774498958224
isobutyrylcarnitine (C4)	-0.591945779166672	-0.5291882333705282	0.0098144098769751	0.2880147143042253
gamma-glutamyl-2-aminobutyrate	-0.783615907636759	-0.6655193982980069	0.000761375393911	0.1615638585879142
sphinganine-1-phosphate	0.855826563091317	0.3110765209869828	0.000259831748621	0.0918938284289603
stearoyl ethanolamide	0.69769769747367	2.2321330394690237	0.0025334615634571	0.1919951315638979
mannonate*	-0.610618551125442	-0.3387994447426316	0.0078093386465649	0.2725621417354953
O-sulfo-tyrosine	-0.655613236018805	-0.3658276470044827	0.004418328361088	0.1997460054650052
methyl-4-hydroxybenzoate sulfate	-0.690114611480005	-1.6446450552307148	0.0028050964606033	0.1919951315638979
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	-0.613645948524404	-0.4726895127487061	0.0075219915807453	0.2725621417354953
stearoyl-arachidonoyl-glycerol (18:0/20:4) [1]*	-0.653884178822016	-0.3311804544514594	0.0045182885307824	0.1997460054650052
perfluorooctanesulfonate (PFOS)	-0.656676809429614	-0.7815311212373522	0.0043578599763525	0.1997460054650052
hydroxyasparagine**	-0.668662312672592	-0.3230395163844901	0.0037273339269065	0.1997460054650052
N,N,N-trimethyl-alanylproline betaine (TMAP)	-0.678891122933003	-0.3573502008009321	0.0032572218361453	0.1919951315638979
3-bromo-5-chloro-2,6-dihydroxybenzoic acid*	0.6047994297396	0.4961941265324052	0.0083899840259746	0.2725621417354953
N,N-dimethyl-pro-pro	-0.704217684808805	-0.3353575055137998	0.0023197230267531	0.1919951315638979
perfluorohexanesulfonate (PFHxS)	-0.723710984579577	-0.8063572969342281	0.0017768512105757	0.1919951315638979
X-11632	-0.719968996868156	-0.4183844296593631	0.0018708214370736	0.1919951315638979
X-12104	-0.740550684606415	-0.5563858610009224	0.0014061481864609	0.1919951315638979
X-12462	-1.3604264157839	-1.0717305575017355	4.09390839139897e-08	4.343636803274307e-05
X-15245	0.664779504836416	0.7623454728147132	0.0039216947700884	0.1997460054650052
X-19438	0.718534524406544	0.4831687828976932	0.0019080628301567	0.1919951315638979
X-23276	0.681793734276932	0.4154429162057704	0.003134212910544	0.1919951315638979
X-23666	-0.596041867349636	-0.5463681424345348	0.0093382638591735	0.2830827987023738
X-24295	0.603955110307764	0.3579660099330724	0.0084774275940352	0.2725621417354953
X-24812	-0.601270767462416	-0.6190083461959269	0.0087609836129897	0.2733942239230021
X-25343	0.685444925551099	0.3149446195317418	0.0029856092074467	0.1919951315638979
X-25810	-0.606214594753098	-0.893947670990791	0.0082452621365862	0.2725621417354953
