	cohenD	fc_case_control	pval	padj
S-1-pyrroline-5-carboxylate	-0.285020692403607	-0.1324932515048543	0.206216871022766	0.689760911209453
spermidine	-0.448527984562955	-0.2974032580976111	0.0483365543996003	0.5020663420693201
1-methylnicotinamide	-0.457344362871688	-0.6363462804763398	0.0441966893716615	0.4936072360350826
5-hydroxyindoleacetate	-0.435098736631971	-0.7642264702863228	0.0552785406330019	0.5114258462877435
alpha-ketoglutarate	0.0128313551884958	0.006178320361025815	0.954386404199477	0.9827625323182854
kynurenate	-0.2997433753108	-0.2030719358702885	0.183976444791373	0.6639422038219278
3-hydroxyisobutyrate	-0.0956830245006327	-0.07209219182145157	0.669897643241135	0.8996979740238534
3-hydroxy-3-methylglutarate	-0.325170370317825	-0.29802354772946615	0.149901391924432	0.6572123009579436
homovanillate (HVA)	0.175843710784089	0.9563757251809508	0.434017641858865	0.7960919748144727
3-phosphoglycerate	-0.116053607000851	-0.08931776697701688	0.605224999567519	0.8752986301264379
cholate	-0.168657939428027	-0.5214820306920057	0.452963508485828	0.8104456703262454
5,6-dihydrothymine	-0.073787660988934	-0.02831958791653748	0.742293312517824	0.9189885701066642
hypoxanthine	-0.355477561643052	-1.3596438999923874	0.115937854831839	0.6202277839667265
linoleate (18:2n6)	-0.0903795270254168	-0.08016733843280424	0.687179481785273	0.901232917397002
laurate (12:0)	0.384527633231847	0.5813382220122283	0.089460178778168	0.5823144152370322
quinolinate	-0.251059631304314	-0.2045067514979945	0.264978138476953	0.713557880517886
N6,N6,N6-trimethyllysine	-0.360214712887317	-0.21604056441584982	0.111234781135824	0.6202175624754468
N-acetylputrescine	-0.264721924076757	-0.1645922544930429	0.240058883102068	0.6978970799536184
N-formylmethionine	-0.493607345841714	-0.2038347055698614	0.0302196192993082	0.4245718858610851
S-adenosylhomocysteine (SAH)	-0.0787763480718119	-0.04228480640071744	0.72556450006782	0.9165969578782012
adenosine 3',5'-cyclic monophosphate (cAMP)	0.180633818034577	0.04500480509752763	0.421651579230937	0.7936624810088735
adenosine 5'-diphosphate (ADP)	-0.221840593599671	-0.19877945836713337	0.324215871487543	0.7457005334889986
