	cohenD	fc_case_control	pval	padj
S-1-pyrroline-5-carboxylate	0.126943451532062	0.055827872400362216	0.571863520340512	0.9460294949023328
spermidine	-0.202555781720554	-0.12976915542985573	0.367801313592053	0.880350109567108
1-methylnicotinamide	-0.036315118971488	-0.030211887906828955	0.871406025942804	0.9877796939373024
5-hydroxyindoleacetate	0.0399721702506264	0.06534179555564555	0.858588892789845	0.9844590582306326
alpha-ketoglutarate	-0.288325378304433	-0.1261597953193048	0.20105904440512	0.8450645502895222
kynurenate	0.0815745524684238	0.04117022955168678	0.716238647391115	0.9531485733959788
3-hydroxyisobutyrate	-0.273207353386843	-0.19092924731435632	0.225455302073216	0.854282201100403
3-hydroxy-3-methylglutarate	-0.0384838476187277	-0.02082774902945878	0.863800743891172	0.9854759024392832
homovanillate (HVA)	0.206589790594409	1.2142374080858094	0.358388980053384	0.8780462442507145
3-phosphoglycerate	-0.230562896095085	-0.17649444698185915	0.305676549190991	0.854282201100403
cholate	0.473703992881806	0.9740415008638568	0.0373189697318847	0.8410038443481185
5,6-dihydrothymine	-0.231028107742672	-0.08836493668169254	0.304708271843257	0.854282201100403
hypoxanthine	0.199353742384437	0.42478525326019295	0.375383137353794	0.881422626059497
linoleate (18:2n6)	-0.246211193974426	-0.219679284612448	0.274243849823741	0.854282201100403
laurate (12:0)	0.0143939309004299	0.02085190530750395	0.948839020033558	0.9913195420241984
quinolinate	-0.215243049151076	-0.2065541384780704	0.338724972338343	0.8744214006106616
N6,N6,N6-trimethyllysine	-0.146065760518796	-0.0846763988614711	0.515531563670572	0.925220765534667
N-acetylputrescine	-0.0894101769960903	-0.04537462587484637	0.690356608942037	0.9531485733959788
N-formylmethionine	0.0966359524743396	0.03170355573255244	0.666810913867431	0.9531485733959788
S-adenosylhomocysteine (SAH)	0.111760577793911	0.066009085027601	0.618616998208115	0.9531485733959788
adenosine 3',5'-cyclic monophosphate (cAMP)	0.0246575200048064	0.006824619645988707	0.912477069459202	0.9912437377647828
adenosine 5'-diphosphate (ADP)	-0.347260406254318	-0.3003465214204075	0.124472468491587	0.8410038443481185
adenosine 5'-monophosphate (AMP)	-0.187068250515585	-0.14411899828421532	0.405376218152527	0.8918693169515884
5-methylthioadenosine (MTA)	0.0746591935920558	0.039541869246311645	0.739361534484882	0.9531485733959788
N6-methyladenosine	-0.254692933525146	-0.07520197972834465	0.258180297826181	0.854282201100403
arachidonate (20:4n6)	-0.437858210831499	-0.2864936592158128	0.0537866922075869	0.8410038443481185
arginine	0.08458424370094	0.039685002820308374	0.70625592612886	0.9531485733959788
aspartate	-0.207257980290512	-0.08763939214092603	0.356844966162207	0.8780462442507145
