	cohenD	fc_case_control	pval	padj
CRYBB2_10000-28	0.022193584583279	0.012028757581005276	0.921192255168764	0.9806102409747772
RAF1_10001-7	0.2639168751943	0.1676511838034013	0.241478911059267	0.8330005818726629
ZNF41_10003-15	0.16782046534694	0.133355699628553	0.455202144449541	0.8548789467735081
ELK1_10006-25	0.149611571029221	0.04000128571419154	0.505417934856207	0.8689608664229673
GUCA1A_10008-43	0.204454787739407	0.030802359961823587	0.363351074551746	0.8374705648879374
BECN1_10010-10	-0.363485157677565	-0.12843928848483088	0.10807834061549	0.8330005818726629
OCRL_10011-65	-0.186307883630195	-0.07561930424415242	0.407279330669824	0.8406969460244329
SPDEF_10012-5	0.0208550109101724	0.0037022309700779003	0.925931040284057	0.982134541081684
SNAI2_10014-31	-0.38124405944639	-0.19862172877673107	0.0921791001169819	0.8330005818726629
KCNAB2_10015-119	-0.223587330373142	-0.09816972480302842	0.32044459804315	0.8330005818726629
POLH_10022-207	0.199925651794471	0.13978531608479058	0.374021791385767	0.8380709243331904
VDR_10023-32	0.240362809525101	0.048261046110401086	0.285717702184195	0.8330005818726629
HOGA1_10024-44	0.222820246219102	2.527220499040387	0.322097149119635	0.8330005818726629
DLD_10025-1	0.042029202228504	0.03213913542382973	0.851395894878119	0.9676241293716812
MUTYH_10030-8	0.383018369979377	0.2292229775407169	0.0907016194885642	0.8330005818726629
DUSP4_10035-6	-0.270777407884224	-0.16686395256506645	0.229569631844561	0.8330005818726629
ZHX3_10036-201	-0.30432779055728	-0.08809415796298853	0.177434483085835	0.8330005818726629
SIGLEC12_10037-98	0.105958634991887	0.054700789898684925	0.636922465131998	0.9132165233105016
PNP_10039-32	0.0402464199275523	0.03627649757126758	0.857629195264594	0.968969232245054
TP63_10040-63	-0.128808019497043	-0.06763812660217633	0.566241871834387	0.8870197636107683
HNF4A_10041-3	-0.21483010689612	-0.08548480546289972	0.339647019694047	0.8330005818726629
SGK3_10042-8	0.195497960110491	0.047198446033847784	0.384642489618244	0.8388077612717637
BRD4_10043-31	-0.194328175854064	-0.06285215364870333	0.38747955213008	0.8392138324562481
WNT10A_10044-12	0.266391436205613	0.09884705516732842	0.237133169666397	0.8330005818726629
CUL3_10045-47	0.156090571412263	0.05627316191715959	0.487216618875935	0.8641856274236703
BIRC2_10046-55	-0.0092323313748237	-0.0043586936337117466	0.967171612303751	0.9925552612226868
