	cohenD	fc_case_control	pval	padj
MAP1LC3B_11608-5	0.640401865370261	0.1774591540485801	0.0053723185179288	0.7974537721187739
ADSS2_12644-63	-0.615159631613164	-0.1946079429988251	0.0073819728955134	0.7974537721187739
H1-10_12709-63	-0.725806877070743	-1.6891322754441775	0.0017261691894751	0.7974537721187739
UBTD2_12875-28	-0.6516673394689	-0.1786618098023399	0.0046495032528401	0.7974537721187739
SECTM1_13093-6	-0.658281082913205	-0.2041589171478533	0.0042680958607584	0.7974537721187739
WNT5A_13268-45	-0.645142379712914	-0.3620536816444432	0.0050563950841391	0.7974537721187739
MAN1C1_13427-66	0.594649667474675	0.130462038285079	0.0094976899110804	0.7974537721187739
MPP6_13490-1	-0.595714318193279	-0.1687344437069161	0.0093755522775886	0.7974537721187739
C9_13722-105	0.595112292779907	0.2020374149969485	0.009444440536926	0.7974537721187739
H2AW_14144-3	-0.615321786894214	-1.1852143085424782	0.007367115391702	0.7974537721187739
S100A10_15318-75	-0.591903666330398	-0.2540503314517978	0.0098194177554494	0.7974537721187739
ALAD_15523-9	-0.713060169697486	-0.2256004078358568	0.0020566580543722	0.7974537721187739
PGAM2_15524-30	0.611142293915258	0.4487289603826942	0.0077589210263808	0.7974537721187739
SH3GLB1_16859-100	-0.606769194376712	-0.160153357668089	0.0081891696551927	0.7974537721187739
LCP1_17231-1	0.801219437742894	0.1604748611173149	0.0005889135345432	0.7974537721187739
HMOX1_17398-55	0.661899183176146	0.2701202946162436	0.004071889969157	0.7974537721187739
CPOX_18241-18	0.664056764663816	0.7602765378397075	0.0039588926373388	0.7974537721187739
SEPTIN3_18316-75	-0.693369723310628	-0.106575990275924	0.0026853318832605	0.7974537721187739
AS3MT_18417-3	0.628870458860961	0.1411421008132831	0.0062181124579619	0.7974537721187739
HDGFL3_18899-82	-0.725410059083092	-0.1910824680795945	0.0017356596818378	0.7974537721187739
RAC2_18950-13	0.599484811569796	0.1559804710521396	0.0089543971502926	0.7974537721187739
SVBP_20379-59	-0.668451344842563	-0.1645870229013759	0.0037376607330159	0.7974537721187739
CD1B_20541-73	0.591723709040246	0.2115846979888804	0.0098408436657392	0.7974537721187739
ST8SIA1_21508-7	-0.608575897088545	-0.1972144097674256	0.0080088443418476	0.7974537721187739
SENP1_21715-40	-0.67824839763422	-0.1629666271017205	0.0032850591623801	0.7974537721187739
MGAT3_21771-47	0.60110389615722	0.3005235214747571	0.0087788927809845	0.7974537721187739
GPX3_21796-43	0.613598794640397	0.1673308158201743	0.0075263921386165	0.7974537721187739
WNT5B_21945-4	0.635537243026444	0.3276049963402088	0.0057153141152882	0.7974537721187739
ERMN_23425-19	0.639341739397406	0.1385099020502161	0.0054454102385474	0.7974537721187739
GIMAP4_24684-7	-0.664946663834202	-0.2234893877494402	0.0039131376524599	0.7974537721187739
ZW10_25262-6	-0.605030864050251	-0.2952303647876994	0.0083661590950114	0.7974537721187739
SEC14L4_25497-35	0.629827668829018	0.2100120324342083	0.0061435079460151	0.7974537721187739
CFI_2567-5	0.676440639615708	0.1258584625402329	0.0033645444187411	0.7974537721187739
MPO_2580-83	0.648047171248787	0.3063476355411235	0.004871362556041	0.7974537721187739
H1-2_2987-37	-0.654838664542547	-1.7052777510044503	0.0044628525677444	0.7974537721187739
RARRES2_3079-62	-0.681536682333152	-0.1664479887622269	0.0031449297154788	0.7974537721187739
CNTN5_3299-29	-0.660525280847177	-0.1867993631147302	0.004145391399874	0.7974537721187739
IL15RA_3445-53	-0.595914562158261	-0.173551076565415	0.0093527403177113	0.7974537721187739
CXCL13_3487-32	0.725705539367777	0.4420486717715227	0.0017285881961695	0.7974537721187739
GNS_3616-3	-0.601742158861612	-0.2015403599359844	0.008710571978986	0.7974537721187739
STX1A_3766-51	-0.66257629493838	-0.1417618224880585	0.00403611084614	0.7974537721187739
PGAM1_3896-5	0.727526327024399	0.6239142989166531	0.0016856052235316	0.7974537721187739
H2AZ1_4163-5	-0.67988467059808	-0.3815256131526246	0.0032146206187106	0.7974537721187739
FGF12_4392-54	-0.661069938038082	-0.2664367513246697	0.0041161075916128	0.7974537721187739
CHST6_4429-51	-0.599315215551732	-0.1426841797978136	0.0089729644929605	0.7974537721187739
NAMPT_5011-11	-1.27019318166563	-0.4226018077831234	2.21438793268386e-07	0.0016105243434409
S100A12_5852-6	0.609224314028757	0.5861308429964299	0.0079450152172062	0.7974537721187739
SPACA1_6228-58	-0.703745401236145	-0.1943443436321134	0.0023346214396305	0.7974537721187739
EDN1_6495-14	-0.67640977008903	-0.0923356087507304	0.0033659170912679	0.7974537721187739
ENPP5_6556-5	0.643832774795014	0.2574282974802076	0.0051419154733341	0.7974537721187739
IGKV1-5_6561-77	-0.621767873925937	-0.2059563796630202	0.006798183606557	0.7974537721187739
RAB26_6997-32	0.786424267481529	0.2608756934691112	0.000730977875746	0.7974537721187739
ANKRD46_7851-30	-0.599709185947709	-0.1306190494906636	0.0089298864241861	0.7974537721187739
COL15A1_8974-172	-0.610181750992275	-0.1823715684820992	0.0078516154092649	0.7974537721187739
PRR27_9607-39	0.724982912793162	0.1537034889992652	0.0017459301591145	0.7974537721187739
GABBR2_9930-48	0.636189142909088	0.936169869637112	0.0056682099616746	0.7974537721187739
DLL3_9974-8	0.603467945028664	0.1668576621833681	0.0085282589288328	0.7974537721187739
