	cohenD	fc_case_control	pval	padj
CRYBB2_10000-28	0.279210685168599	0.17097290972276383	0.215521271767005	0.7974537721187739
RAF1_10001-7	0.0498520637579524	0.030987963649207965	0.824160958440377	0.9445043372746496
ZNF41_10003-15	-0.029902711176063	-0.01199011979719671	0.893961317313634	0.9660035042785962
ELK1_10006-25	0.170927576731073	0.04013399817492659	0.446928543405103	0.8204218314450566
GUCA1A_10008-43	0.321160847669185	0.07797065223481803	0.154922857751563	0.7974537721187739
BECN1_10010-10	-0.287488688124912	-0.10445705910205606	0.202355759714704	0.7974537721187739
OCRL_10011-65	-0.134989000491036	-0.05304982644015726	0.54780199676595	0.850811312623093
SPDEF_10012-5	0.149797016584618	0.03096477745238818	0.504891938776602	0.8389832635780475
SNAI2_10014-31	-0.415272015679304	-0.2179974179920369	0.0670642461589176	0.7974537721187739
KCNAB2_10015-119	-0.137875767242875	-0.058660521312602625	0.539294679319867	0.850218023750748
POLH_10022-207	0.223165795981053	0.7699271006079828	0.321352021049646	0.7974537721187739
VDR_10023-32	0.123180966827565	0.024614416707386285	0.583289015727513	0.8658800367203948
HOGA1_10024-44	0.240536911352786	0.5146472253795058	0.285371426770885	0.7974537721187739
DLD_10025-1	0.0998568853603034	0.06422512534155062	0.656420397548302	0.8923157718320328
MUTYH_10030-8	0.466731772733167	0.32788285543488677	0.0401276535407683	0.7974537721187739
DUSP4_10035-6	-0.239442271118833	-0.14809131696444403	0.287553394384673	0.7974537721187739
ZHX3_10036-201	0.0707946162425929	0.04976675651153518	0.752390526411364	0.9209249913480057
SIGLEC12_10037-98	-0.18388716354807	-0.08798451665102079	0.413374187637981	0.8099327765870248
PNP_10039-32	-0.110648273823176	-0.09103551463532462	0.622108217203187	0.8824093133198173
TP63_10040-63	-0.0976833459217755	-0.05690875195224738	0.663424813437614	0.8954692789811586
HNF4A_10041-3	-0.363651032029985	-0.14884989836954549	0.10792019382394	0.7974537721187739
SGK3_10042-8	0.0721377787824625	0.018514465619754308	0.747853824969799	0.9204766892549192
BRD4_10043-31	-0.282784918874007	-0.08532205397400239	0.209761520754857	0.7974537721187739
WNT10A_10044-12	0.304525112090429	0.12629321943273092	0.177156920346071	0.7974537721187739
CUL3_10045-47	0.10533852135434	0.034723987608442995	0.638892657576617	0.8848708611454335
BIRC2_10046-55	-0.400413165183606	-0.16312153838804075	0.0772209495517174	0.7974537721187739
NCF2_10047-12	-0.242962758613553	-1.9098578349768303	0.280576682805797	0.7974537721187739
CBFB_10048-7	-0.167866633660335	-0.025903301540186906	0.455078567660504	0.8223238997373835
TERF1_10049-112	0.318048014981078	0.05739033000404049	0.158910348369405	0.7974537721187739
ILK_10053-5	0.0681090303512865	0.021833764307576598	0.761487478388734	0.9233575242282864
GAN_10054-3	0.0880383486705558	0.07041562452019905	0.694862402338608	0.9050362994909658
FOXM1_10056-5	-0.025143180969162	-0.014256455114040898	0.91076046913633	0.9722093174354964
RAD23A_10058-1	0.231516829674522	0.06273713108887144	0.303693298366512	0.7974537721187739
FANCL_10063-10	0.178316086810692	0.07864424452875793	0.427608505826531	0.8158987185776769
RBBP9_10064-12	-0.312119604361966	-0.2304428992975726	0.166722918694835	0.7974537721187739
PIN1_10069-2	-0.194891940686213	-0.0656222770563933	0.386110640659494	0.8007364384136013
PLCG2_10070-22	-0.200325306483276	-0.1302518540991654	0.373072322700528	0.7974537721187739
TDP1_10073-22	-0.282726654380687	-0.10500300445243525	0.209854492213931	0.7974537721187739
BRD2_10074-128	0.0010711572283398	0.0004042141671412486	0.996190090422354	0.999950165934665
ACBD6_10075-75	-0.0992292389771181	-0.07865511550101277	0.658439917483111	0.8929393100605382
AP4M1_10076-1	0.0805518670714837	0.05192238409997575	0.71964213949119	0.9117800494510208
BAG3_10078-5	0.191377319961444	0.028221357128106014	0.394693800777412	0.8025238629958734
EIF2B1_10080-9	0.0652798040518168	0.03638380548366373	0.77110744548688	0.926913460384158
SATB2_10081-17	0.368261862103834	0.07626842208153048	0.103598422146031	0.7974537721187739
NEFL_10082-251	-0.375343251408334	-0.1480782808495945	0.097235037143369	0.7974537721187739
STAR_10085-25	-0.439540801706314	-0.24030898288539207	0.0528939575355099	0.7974537721187739
CBS_10086-39	0.287465981406524	0.7332032381293391	0.202391037319593	0.7974537721187739
CRYAA_10087-10	0.181326608694038	0.021846439403685178	0.41988067566128	0.8132602274525937
APRT_10088-37	0.0895265839160686	0.049776653497835784	0.68997478001931	0.9035265709543469
ASMTL_10089-7	0.172216272323126	0.09358558049382835	0.44352275631887	0.8189069367583105
STUB1_10336-3	0.171785670122964	0.11217755427155628	0.444659074827753	0.8200141543784749
ENO2_10339-48	-0.323552543730926	-0.12146989503895923	0.151912093326448	0.7974537721187739
PIAS4_10342-55	-0.029894598054402	-0.010786073074822865	0.893989914249897	0.9660035042785962
IL10RA_10344-334	0.19675983368817	0.059939183995527036	0.381596643306438	0.7986031321857758
STAT3_10346-5	0.415556784383472	0.15371754612541533	0.0668810977741756	0.7974537721187739
IRF1_10351-51	0.172308456232147	0.20794846343550083	0.443279711625833	0.8189069367583105
STAT3_10354-57	0.146329558175411	0.08020709806415167	0.514775469958348	0.8418104003625928
JUN_10356-21	0.15204497032358	0.14931376066408206	0.498539319050615	0.8382938333460828
OAS1_10361-25	-0.433010099804838	-0.3488830344378876	0.0564309588741564	0.7974537721187739
MYC_10362-35	0.269005268563985	0.08554358389962831	0.232604328570516	0.7974537721187739
SMAD3_10363-13	0.27441342543968	0.1107945001774334	0.223433250807005	0.7974537721187739
SMAD2_10364-6	0.143618412321715	0.08312697522005272	0.52257403732174	0.8437614259229661
IL12B|IL23A_10365-132	0.186249712279585	0.09450705106483524	0.407425150291075	0.8086983036720593
PDGFRA_10366-11	0.116283949135376	0.10744827489735823	0.604510209140114	0.8765092065640345
IL12A|IL12B_10367-62	0.267274950494089	0.08156576083336073	0.235595300109436	0.7974537721187739
STAT1_10370-21	0.0456084100339173	0.03348717951606036	0.838910511845381	0.9484615027343068
STAT6_10372-18	-0.0805738429303208	-0.042485991305724405	0.719568944055027	0.9117800494510208
ANGPTL3_10382-1	-0.0993249629831965	-0.03609078148311309	0.658131750507684	0.8929393100605382
ZNRF3_10390-21	0.131391032908249	0.041040116231291786	0.558499060228795	0.8562368984453991
ANGPTL3_10391-1	-0.103759995179381	-0.04540052961233243	0.643919579012	0.8867865987213216
MCL1_10396-6	0.245768908810055	0.10088154443323255	0.275100184825957	0.7974537721187739
ANKRD1_10398-110	-0.0551459330129993	-0.006913679338252812	0.805850142419164	0.936803140336716
STX12_10418-36	0.152978031894746	0.11131474616944889	0.495915304545717	0.837149450992785
SCARA5_10419-1	0.0872207408951577	0.07014578571105096	0.697553096833302	0.9054886006019696
FAIM_10420-30	0.188159042954285	0.08222081941207571	0.402655566065491	0.8060869617380446
NPDC1_10424-31	-0.171190456212827	-0.07049291408269112	0.446232572152534	0.8204218314450566
B4GALT5_10425-3	0.15934085123112	0.043495764755787925	0.478223361897244	0.8278616997304994
GOSR2_10426-21	0.228426183656757	0.13414764051893915	0.31015052965857	0.7974537721187739
KIR2DS2_10428-1	-0.24279191153488	-0.19599050365584314	0.280912529653811	0.7974537721187739
SLC3A2_10430-31	0.0759383482211037	0.03266955525139113	0.735065537377829	0.916379052514594
SHISAL1_10432-3	0.432710042064399	0.1044400292597781	0.0565981806927517	0.7974537721187739
AGA_10435-2	0.0084145790590692	0.002127883314882017	0.970077924213977	0.9916200622358756
CSF2RA_10438-19	-0.536670851613216	-0.16232624403479315	0.0187762284702152	0.7974537721187739
AMY2B_10439-57	0.316914629053288	0.1847884774446241	0.160381702503234	0.7974537721187739
CLMP_10440-26	-0.239307088445203	-0.11039384905303189	0.287823650540297	0.7974537721187739
TMEM190_10442-1	0.25992413998505	0.43660279580857325	0.248610778907653	0.7974537721187739
APOM_10445-20	-0.0383042217299724	-0.012733923513857803	0.864430176519725	0.9560225306621568
PABPC3_10447-18	0.137754988808426	0.04501278906583965	0.539649257403624	0.850218023750748
SHISA2_10449-31	0.11422971622279	0.025743957770887484	0.610898417348407	0.8795833260656792
NUCB1_10451-11	-0.375626859450106	-0.13666571675704553	0.0969869691755822	0.7974537721187739
CEACAM20_10453-7	0.354964323809594	0.4711736030102485	0.116456827930899	0.7974537721187739
DNAJC16_10454-99	-0.0451977070861836	-0.032947303030178454	0.840341136798084	0.9489800511014332
IL31_10455-196	0.245015592554613	0.2961286239685532	0.276563005499075	0.7974537721187739
IL18RAP_10457-3	0.036127144141573	0.00938389794016106	0.872065796487256	0.9575082333713484
CHIT1_10460-1	-0.282668090196379	-0.32196639154982515	0.209947972523602	0.7974537721187739
INSL5_10462-14	-0.243327065182456	-0.275878205075578	0.279861466793767	0.7974537721187739
ALPI_10463-23	0.228149328510048	0.05876791731032003	0.310733435303553	0.7974537721187739
ANTXR1_10464-6	0.0564066847414234	0.0252260370138904	0.801504905034885	0.936290583732528
TXNDC11_10470-34	0.33247135505642	0.2035970581111544	0.14108385496735	0.7974537721187739
TNFRSF14_10472-53	0.408102353596892	0.07628013091139368	0.0718158765734675	0.7974537721187739
TFF2_10473-2	-0.176203014988988	-0.42701743780499263	0.433082718519262	0.8158987185776769
MMP10_10479-18	-0.0441915333708461	-0.02966540802348476	0.843848261913375	0.9509309589240744
CD59_10480-33	0.325731979964254	0.0779306735826903	0.149208258866677	0.7974537721187739
MAGEA4_10485-56	0.457893973698218	0.38389073134323726	0.0439490273720779	0.7974537721187739
RPN1_10490-3	-0.177914709285312	-0.08215705863868072	0.428645160068082	0.8158987185776769
CLCA1_10496-11	0.204526511364221	0.7831800452376941	0.363183669046123	0.7974537721187739
TMEM106A_10499-1	0.068771248451063	0.036103713925461106	0.759241151229881	0.9231862825451344
RNF43_10505-12	0.138128467236858	0.08489223212507449	0.538553194511428	0.850218023750748
PGRMC2_10506-53	0.0008025293784554	0.00031853875634548813	0.997145545509096	0.999950165934665
ACRV1_10507-166	-0.140166461466037	-0.10639453563702794	0.532592324424203	0.8468613851196389
SCIMP_10510-62	0.270554406182922	0.03624292195026767	0.229949923884773	0.7974537721187739
COL6A3_10511-10	0.13412749963023	0.13549991820129684	0.550353886084743	0.851643364573263
