	cohenD	fc_case_control	pval	padj
HS3ST5_10731-10	-0.621481380292929	-0.2023603421139101	0.0068225897975811	0.9055980789639853
THSD7A_11174-8	0.737576696164353	1.4367436847301842	0.0014658319430707	0.9055980789639853
TINAGL1_11192-168	0.723550819414879	0.3277627244705279	0.0017807810567217	0.9055980789639853
COL11A2_11278-4	0.653866867547684	0.385736995863049	0.0045192998045302	0.9055980789639853
NLRP1_11661-11	0.598794269857391	0.194324268947091	0.0090302168922845	0.9055980789639853
WNT5A_13268-45	-0.593119221359903	-0.2857571919490084	0.0096757986573764	0.9055980789639853
VOPP1_14618-26	0.747419403771292	0.3172767488703493	0.0012769168955322	0.9055980789639853
CR2_15570-99	0.804761888036011	0.4622896429461244	0.0005590150448662	0.9055980789639853
OMG_16908-5	0.688484792238045	0.4121509961219671	0.0028669126634017	0.9055980789639853
TCL1A_17210-2	0.590401348645506	0.2401587071540576	0.0099995921354906	0.9055980789639853
TCEAL8_19109-32	-0.600573385391144	-0.0807635923034149	0.0088360506182152	0.9055980789639853
OSTM1_19353-25	-0.715924416098296	-0.0509089625172361	0.0019776117485797	0.9055980789639853
NRN1L_20159-1	0.687358476562171	0.1828322376203033	0.0029103699538015	0.9055980789639853
CCL7_22969-12	-0.609211642825165	-0.2538630564027673	0.007946258088934	0.9055980789639853
EPS8L3_24931-9	0.665454696735074	0.3590849397852504	0.0038872366716797	0.9055980789639853
GFRA2_2515-14	0.736539616478128	0.2052105234905921	0.0014871983975015	0.9055980789639853
TNFRSF17_2665-26	0.78332681671955	0.2783330106087052	0.0007645715239896	0.9055980789639853
AURKA_3091-70	-0.605280435459071	-0.1068106566040929	0.0083405361828243	0.9055980789639853
LY9_3324-51	0.624238552578655	0.3025568019620134	0.0065910032931906	0.9055980789639853
SELL_4831-4	0.64293403297927	0.1831776388294537	0.0052013742722948	0.9055980789639853
SLAMF7_5487-7	0.78820117626115	0.4493341050211644	0.0007123420566044	0.9055980789639853
OAF_6414-8	-0.659619206685559	-0.1672798186305361	0.0041945341831265	0.9055980789639853
ENPP5_6556-5	0.92675296236883	0.3648909864539718	8.57497668466443e-05	0.6236580542756439
UBE2J1_6900-30	0.597724351856668	0.4163479739918667	0.0091488456654681	0.9055980789639853
KNG1_7784-1	-0.611086933881726	-0.1873587808584566	0.0077642361240117	0.9055980789639853
CDHR1_8372-29	-0.68399106072923	-0.0659750536549725	0.0030439788343036	0.9055980789639853
IDO1_9759-13	0.643109250377556	0.4789240418314537	0.0051897328150401	0.9055980789639853
