Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.5737451737451738	0.00025387267174269807	2	S100A9
1	0.05002667307703297	0.7687272281118145	1	S100A9
2	0.5629343629343629	0.00035136927750485685	2	FKBP5
2	-0.0022523857546531433	0.9894439106907622	1	FKBP5
3	0.5616473616473616	0.00036496003813405484	2	TOM1
3	0.1004149377593361	0.554296778249584	1	TOM1
4	0.5588159588159588	0.00039652338984126785	2	NDUFAB1
4	-0.09756386716208089	0.565655073019107	1	NDUFAB1
5	0.5557057450569431	0.00043397988863417566	2	DUSP13
5	0.08299247154306187	0.6253086075669394	1	DUSP13
6	0.5430207875328422	0.0006215001100697429	2	SH3BGRL3
6	-0.22061525733734208	0.18947739771158317	1	SH3BGRL3
7	0.5315657389216968	0.0008493647008148306	2	PSMD9
7	0.1321951511007343	0.4354234017585302	1	PSMD9
8	0.5138370489213159	0.0013484902141470687	2	PCLAF
8	-0.08109069353882632	0.6332818567228399	1	PCLAF
9	0.4957528957528957	0.0021076455829445355	2	AK1
9	0.05459719020797142	0.748253837543478	1	AK1
10	0.4880622958816159	0.0025301081631876076	2	CKM
10	0.13490605204185668	0.4259823144038821	1	CKM
11	0.4688847425887993	0.003919733862902115	2	NCOA5
11	-0.023946416970522893	0.8881219917453224	1	NCOA5
12	0.4588454865026268	0.004881627801965691	2	UBE2I
12	0.1106171084995382	0.5145506721520055	1	UBE2I
13	0.4538313883544334	0.005434037389823873	2	OIP5
13	-0.24280888341291873	0.1476092143872715	1	OIP5
14	0.4517374517374517	0.005680202061046634	2	TPI1
14	0.08186129223473622	0.6300461257513834	1	TPI1
15	0.4506081481755109	0.005816905557911627	2	ELK1
15	-0.1004149377593361	0.554296778249584	1	ELK1
16	0.44842010518237074	0.006089843241078791	2	RPL18
16	0.3399917023339587	0.039504634166787934	1	RPL18
17	0.44159855938022796	0.007012597402644789	2	TWF1
17	0.15230924530948378	0.3681581418467168	1	TWF1
18	0.4375925556551118	0.007608454766464773	2	BMPR2
18	0.33141543572578724	0.04509582264020718	1	BMPR2
19	0.43680823680823677	0.007730050895970594	2	FAF1
19	-0.07112797119957295	0.675701959746427	1	FAF1
20	0.43567797245761336	0.007908202350317728	2	IL37
20	-0.27125074096028456	0.1043900958330572	1	IL37
21	0.43223066389723913	0.00847340747216982	2	PRPS2
21	0.057258016815656225	0.7364115404352354	1	PRPS2
22	0.4289866307619718	0.00903642631941218	2	PRKD2
22	0.11332881270595994	0.5042302159928207	1	PRKD2
23	0.4272107127679979	0.009357934101229762	2	KRT14
23	0.1033787788974511	0.5426036181986574	1	KRT14
24	0.42625482625482625	0.009534982783982258	2	CARHSP1
24	0.17888684756692594	0.2894387997322625	1	CARHSP1
25	0.42422292384646787	0.009920822229929358	2	CALM2
25	0.15683717649505835	0.35391920239085095	1	CALM2
26	0.4202329630942711	0.01071721793971563	2	ZSCAN9
26	0.29308198522064133	0.07833184563135587	1	ZSCAN9
27	0.41894587898065927	0.010985424285096522	2	IL1RN
27	-0.21292234736218138	0.20577412396000083	1	IL1RN
28	0.40746460746460744	0.013640129503969358	2	PDCD2L
28	0.14237448901781186	0.40057188547607125	1	PDCD2L
29	0.4054054054054054	0.014169314202996849	2	MAGEA4
29	0.14901309966310533	0.3787347434690074	1	MAGEA4
30	0.40260077678080886	0.014917796527110802	2	BIRC5
30	-0.09326455853420512	0.5829822266125788	1	BIRC5
31	0.4023424939150663	0.01498836719974854	2	LMNA
31	0.26010669828097216	0.12000292001668632	1	LMNA
32	0.3980176427417345	0.01621240610724334	2	PELO
32	-0.237219810828246	0.15745067540611438	1	PELO
33	0.3971685971685972	0.016462297198770112	2	SNCA
33	-0.03135743924125667	0.8538264903527594	1	SNCA
34	0.3955209481129235	0.01695645537170735	2	FGF1
34	0.03592175459395377	0.8328311756560005	1	FGF1
35	0.3954940661878503	0.01696461962422387	2	ASNA1
35	0.1410955665597212	0.40486030263290596	1	ASNA1
36	0.3925606546516162	0.017875529208256368	2	GOT1
36	0.22590397154712508	0.17881528773841232	1	GOT1
37	0.39088744530392083	0.018413186902675217	2	FOSL2
37	0.2039134391423989	0.22606644059335568	1	FOSL2
38	0.38949672095087723	0.018870295514118215	2	EEF2K
38	0.1918197984588026	0.25539304182893313	1	EEF2K
39	0.3881595881595881	0.019318685702736337	2	IL1B
39	-0.015648153663906046	0.9267595696479056	1	IL1B
40	0.387965729230888	0.019384425593687925	2	RPS7
40	0.1018991815718849	0.5484263125786012	1	RPS7
41	0.3855855855855856	0.02020688759476145	2	BPI
41	0.03983166387176085	0.8149357306842046	1	BPI
42	0.3840906197347712	0.02073818687402388	2	GADD45G
42	0.05098411228628581	0.764425121999071	1	GADD45G
43	0.38120978120978116	0.021794826796137076	2	RIDA
43	-0.03319895683758146	0.8453429634523274	1	RIDA
44	0.3804375804375804	0.02208553651726213	2	CAMK2D
44	0.25010374102869865	0.135450604683552	1	CAMK2D
45	0.3803333555723036	0.022125019466524187	2	RARA
45	0.03461561265045884	0.8388282962222537	1	RARA
46	0.3794079794079794	0.02247815206574928	2	SFN
46	-0.2919976289270895	0.07949317069684475	1	SFN
47	0.3776061776061776	0.023179164082299402	2	PANK3
47	-0.06354098760495183	0.70868939104196	1	PANK3
48	0.37467018547241143	0.024360223314911954	2	STYX
48	0.07527710285288136	0.6579061111430773	1	STYX
49	0.37160510025947874	0.02564590592089976	2	PPP1R2P9
49	-0.11475312686864435	0.49885158564998766	1	PPP1R2P9
50	0.3701415701415701	0.026279280300842155	2	NSF
50	0.18208760627090675	0.28075306759363616	1	NSF
51	0.36859716859716857	0.02696159318569013	2	POLR2I
51	0.044694724362774156	0.7928069354755723	1	POLR2I
52	0.36833976833976834	0.027076719109445316	2	TARDBP
52	0.4542059406878144	0.004744332327674628	1	TARDBP
53	0.3611325611325611	0.030468470088798633	2	BOLA3
53	-0.3512744516893895	0.03301969573808821	1	BOLA3
54	0.36087516087516086	0.03059576681352659	2	HSPD1
54	-0.13324639938053331	0.43174865637249016	1	HSPD1
55	0.35731754704548424	0.03240028901587966	2	TPM1
55	0.05127749134624895	0.7631082522886617	1	TPM1
56	0.35315315315315315	0.03462222618905816	2	CBX5
56	0.36751630112625966	0.025237542473995893	1	CBX5
57	0.35253233871828743	0.03496386211232462	2	AAK1
57	0.1829282750444576	0.2785001625377893	1	AAK1
58	0.349034749034749	0.036940312483764996	2	HAGH
58	0.012921581434589085	0.9394952632058073	1	HAGH
59	0.3488446998156858	0.03705025677237661	2	PDGFRB
59	0.09819152521657824	0.5631454114785454	1	PDGFRB
60	0.3485423779660908	0.03722569934187118	2	HOPX
60	0.23335507572523478	0.16452838829815447	1	HOPX
61	0.3471265854411177	0.03805631614757363	2	RGS5
61	-0.3052575430648339	0.06617952094392815	1	RGS5
62	0.34594594594594597	0.03876042450848694	2	PSMB9
62	-0.047895672791938355	0.7783268648638642	1	PSMB9
63	0.34517374517374516	0.03922663858458597	2	RALBP1
63	0.0034378519413126923	0.9838886719458952	1	RALBP1
64	0.3433719433719434	0.0403321663287572	2	PPP1R14A
64	-0.17439241256668644	0.301924103183762	1	PPP1R14A
65	0.34285714285714286	0.040652622994498594	2	LGALS1
65	-0.5364234494634459	0.0006207229833508604	1	LGALS1
66	0.3421950611742533	0.04106778646577121	2	BRD2
66	0.18507321154102796	0.27280539807460746	1	BRD2
67	0.34208494208494206	0.041137168986445746	2	PSMB10
67	0.06081441537563487	0.7206768769661009	1	PSMB10
68	0.3410553410553411	0.041790486167552585	2	GALK1
68	-0.13182383995654184	0.4367254694830659	1	GALK1
69	0.3377091377091377	0.043971893431061164	2	MAPK12
69	-0.11837581505631299	0.4853038476445808	1	MAPK12
70	0.3370873293549452	0.04438718896937827	2	NME5
70	-0.20437437058010627	0.22499622256699178	1	NME5
71	0.33695862094358403	0.04447354470255344	2	EPS15
71	0.1951393005334914	0.24710317056978515	1	EPS15
72	0.3366795366795367	0.04466125870613013	2	MSC
72	0.24743612587195732	0.13980787327176664	1	MSC
73	0.3364221364221364	0.04483495312491952	2	PPP4R1
73	0.12151028413260377	0.4737375611039163	1	PPP4R1
74	0.3363150788867781	0.04490735584617965	2	VPS45
74	0.355728200883001	0.030712529479815648	1	VPS45
75	0.3353925353925354	0.045535178484188754	2	EXOSC8
75	-0.15956374872437531	0.34550789787136027	1	EXOSC8
76	0.3352854115958886	0.04560853529334364	2	PRCC
76	0.012211025489033788	0.9428167973040658	1	PRCC
77	0.3347064992502217	0.0460066129903037	2	MAP4K3
77	0.21915209975873984	0.19250464379927348	1	MAP4K3
78	0.33457776598127925	0.0460955125277236	2	BPIFA1
78	-0.022591166127727238	0.8944171999664495	1	BPIFA1
79	0.3342987769082421	0.046288648536485136	2	NR1D2
79	-0.13552288451912717	0.423850182719432	1	NR1D2
80	0.3323251181345814	0.047673607080104194	2	LSM1
80	0.006638610645293475	0.9688939876946318	1	LSM1
81	0.33178893178893176	0.04805554973139742	2	CTAG1A
81	-0.048959753509039375	0.7735292992214466	1	CTAG1A
82	0.33170292461679135	0.04811704322686613	2	LCP1
82	0.23259813294957832	0.16594103189807125	1	LCP1
83	0.33065190878688594	0.04887361085583509	2	STAT3
83	0.15897101563104551	0.3473259926030281	1	STAT3
84	0.33050193050193044	0.048982344950783026	2	PTP4A1
84	-0.013278008298755188	0.9378295011848639	1	PTP4A1
85	0.3280546144027825	0.05078419857694341	2	CSTB
85	0.10671093269222612	0.5295994536350448	1	CSTB
86	0.32638352638352636	0.05204472293431312	2	PEBP1
86	-0.16632090598833474	0.3251934122879755	1	PEBP1
87	0.3225225225225225	0.05505277322402097	2	S100A7
87	-0.4377926627333715	0.006730904541888485	1	S100A7
88	0.32196561978137767	0.05549784058813327	2	STRADA
88	-0.024549337417163263	0.8853235406191177	1	STRADA
89	0.3212355212355212	0.05608565473282911	2	UBA3
89	-0.11510876672464221	0.49751315041607125	1	UBA3
90	0.3200978190552687	0.05701149381849264	2	SMAD4
90	0.15757647727552057	0.3516263746339774	1	SMAD4
91	0.319582985409824	0.057434425250994535	2	GUK1
91	-0.18529934795494962	0.2722094827467122	1	GUK1
92	0.31675140035987787	0.059805268369870414	2	STK32B
92	0.027030231179608774	0.8738232378118289	1	STK32B
