Rank(ACPA–)	Rho	RA_phenotype
1	0.44090462434143596	2
1	-0.026836821932256186	1
2	0.4369369446328534	2
2	0.042225768774528966	1
3	0.4358842141249271	2
3	-0.0015483508144373084	1
4	0.4302271096798359	2
4	-0.2137662518356478	1
5	0.4081077389083548	2
5	0.04175659356592309	1
6	0.39437876070007866	2
6	-0.2827249807059017	1
7	0.3867123458361301	2
7	-0.05198461311353121	1
8	0.38059492922108773	2
8	-0.15056538677361583	1
9	0.3772991808196708	2
9	-0.15994933110353893	1
10	0.37725225889692243	2
10	-0.007790501220198986	1
11	0.3722316131628465	2
11	0.23736449413719943	1
12	0.371680600257576	2
12	-0.08473304267422145	1
13	0.3713226771350563	2
13	-0.09561790751387782	1
14	0.370618881310312	2
14	0.06747689053767175	1
15	0.36203257224843244	2
15	0.12508797791787465	1
16	0.36034346226904623	2
16	0.012761565674079866	1
17	0.3576221184133686	2
17	-0.250258056270375	1
18	0.35301572750825083	2
18	-0.06525419251496176	1
19	0.3502252313938593	2
19	0.018392530886649237	1
20	0.3489277872309647	2
20	-0.04312124700575518	1
21	0.34634696040233326	2
21	-0.07535660793388772	1
22	0.3446561082418775	2
22	0.05498733444860883	1
23	0.339026005738607	2
23	0.03659566627125844	1
24	0.3387611464943046	2
24	0.05204129539578664	1
25	0.33791583532053016	2
25	-0.09862525490749158	1
26	0.33499109894459644	2
26	0.0018299549871865638	1
27	0.3322070490306909	2
27	0.29699159933211355	1
28	0.3298301716499318	2
28	-0.06455850870416872	1
29	0.327373410656604	2
29	-0.2818732138107053	1
30	0.32338448578478474	2
30	0.14704640764989466	1
31	0.32298021360428597	2
31	-0.20846432328924125	1
32	0.32185419310363184	2
32	-0.21234869941502008	1
33	0.3216816116297632	2
33	-0.03997372777322075	1
34	0.31897523084344254	2
34	0.022332739929639762	1
35	0.31775526085198486	2
35	0.14272304892050527	1
36	0.31755267612459703	2
36	-0.11307652917557312	1
37	0.31539436892871475	2
37	-0.311250833389139	1
38	0.3152658504574349	2
38	-0.08577327478402663	1
39	0.3127521940566778	2
39	0.050389417404271226	1
40	0.31265835901495664	2
40	-0.32961104458854823	1
41	0.3115615670491996	2
41	-0.09345970155429076	1
42	0.31048236282598696	2
42	0.15370179833928543	1
43	0.3087317684544693	2
43	0.010746632889960195	1
44	0.3066529163448014	2
44	-0.1693801951551116	1
45	0.3048048101734338	2
45	0.025993525793886935	1
46	0.30417233806438493	2
46	-0.046686408193897896	1
47	0.3030075624132163	2
47	-0.02552313134815973	1
48	0.30114036355840423	2
48	-0.05142642733221728	1
49	0.2994040080259653	2
49	0.04532445111352848	1
50	0.2991457056108759	2
50	-0.0417116325465081	1
51	0.2989724663513494	2
51	-0.028527190762966163	1
52	0.29680023696407803	2
52	0.27200638617232076	1
53	0.2939796378431944	2
53	-0.1635689484349132	1
54	0.2937036805872792	2
54	-0.06662600474245388	1
55	0.29248382504490394	2
55	0.06235923533258828	1
56	0.291451639585971	2
56	0.11922860570361687	1
57	0.28985644387671106	2
57	-0.1506193720222787	1
58	0.28830267124776393	2
58	0.3267786746761779	1
59	0.28619687724958515	2
59	-0.06371698200017772	1
60	0.2844540406393367	2
60	-0.029567747721117494	1
61	0.28395815542347247	2
61	-0.2160183984748293	1
62	0.28354726986162393	2
62	-0.07679798876280362	1
63	0.2813174550800841	2
63	-0.29373123640481763	1
64	0.2811429721244955	2
64	-0.29146531088741084	1
65	0.27946697188931213	2
65	0.13052048636893296	1
66	0.27720171550592776	2
66	0.04794970631952066	1
67	0.27676350525623794	2
67	-0.06705142760742563	1
68	0.2743736619927171	2
68	-0.013512879835089236	1
69	0.2689438444955955	2
69	0.22361939338206702	1
70	0.26829039402577487	2
70	0.0714252194695171	1
71	0.26753625284610705	2
71	0.13681149082947383	1
72	0.26687937674301243	2
72	-0.16505583838754764	1
73	0.264708652695436	2
73	-0.06995730497957656	1
74	0.2645927223780778	2
74	-0.1725626417252417	1
75	0.2631257990110432	2
75	0.2398423666393245	1
76	0.26264428177757015	2
76	0.05376747890623355	1
77	0.2620857985826558	2
77	0.24718415618547024	1
78	0.2618936014438007	2
78	0.05250316852591964	1
79	0.260955251026589	2
79	0.13681790833027851	1
80	0.25991272370526	2
80	0.10291426169293759	1
81	0.25917238523388664	2
81	-0.08499155246855639	1
82	0.25807057511605386	2
82	-0.20503918360881931	1
83	0.2564631985367978	2
83	-0.4122753548428262	1
84	0.2562634989405302	2
84	-0.3536642722471104	1
85	0.2557004886902032	2
85	-0.15360796329756424	1
86	0.25547788438215585	2
86	-0.03462513039511375	1
87	0.25476213827299143	2
87	-0.08032656346414158	1
88	0.254692196678171	2
88	0.11504715748485697	1
89	0.254117212454317	2
89	-0.011166369964819881	1
90	0.25410529298094314	2
90	0.07619762795897542	1
91	0.253885557648118	2
91	-0.006431019282426931	1
92	0.252287343309982	2
92	-0.06446769754657156	1
93	0.25211149092701046	2
93	0.008634443961068298	1
94	0.2515015059312816	2
94	-0.0722128391097467	1
95	0.24659848964324915	2
95	-0.17537769297687697	1
96	0.24612931443464325	2
96	-0.026135510970844	1
97	0.24594164435120092	2
97	-0.3366020831143409	1
98	0.24537863410087382	2
98	-0.14545113711380775	1
99	0.2451670463602512	2
99	-0.11945761131992082	1
100	0.24433284862878998	2
100	0.12144533136546061	1
101	0.24218824268235392	2
101	0.015201276758830425	1
102	0.24211712138160688	2
102	-0.045136772226930015	1
103	0.24069817206252703	2
103	-0.02252041001308211	1
104	0.23975977762953474	2
104	-0.1572675299246901	1
105	0.23927935638899747	2
105	0.017171812634975112	1
106	0.23922637321116116	2
106	-0.1704753430621429	1
107	0.23909168630555508	2
107	-0.09975132822708235	1
108	0.23909168630555508	2
108	-0.33313002371226935	1
109	0.23864063507385735	2
109	0.09926315306375158	1
110	0.2386225110969492	2
110	0.17594070322720398	1
111	0.23768416067973747	2
111	-0.40865160669571915	1
112	0.23738914410993142	2
112	-0.0951710545888178	1
113	0.23709647564753095	2
113	-0.021351478273293888	1
114	0.23706067524083294	2
114	0.10369258484565004	1
115	0.23694459433055778	2
115	0.07005114442287579	1
116	0.2368396453042469	2
116	-0.012386225507195162	1
117	0.2357826618105765	2
117	0.2230198988230189	1
118	0.2345157698963704	2
118	-0.15709459736155423	1
119	0.2344937692612175	2
119	-0.08135879734043311	1
120	0.23429215191557376	2
120	0.2144231279387424	1
121	0.23411842909433278	2
121	0.20487072606917583	1
122	0.2335554188440057	2
122	0.04063247894856694	1
123	0.23139721288441872	2
123	-0.09402271180461781	1
124	0.23029990169448186	2
124	-0.07026189836644624	1
125	0.22856740876842777	2
125	0.16815239476434646	1
126	0.2284950023633895	2
126	0.0010792042232125889	1
127	0.22557944029770582	2
127	0.10275419041265772	1
128	0.22464108988049408	2
128	-0.02467861597266915	1
129	0.2242301954657389	2
129	-0.04041115196627268	1
130	0.22415168748580502	2
130	-0.18995776714350257	1
131	0.22248288392090707	2
131	0.04402309105144161	1
132	0.22243078464925942	2
132	-0.12626097095911507	1
133	0.222399480619177	2
133	0.18505138218608314	1
134	0.2220657940405749	2
134	0.07061749373630201	1
135	0.22137763152682582	2
135	-0.3990427518305707	1
136	0.22060618308648353	2
136	-0.2685558894060042	1
137	0.2195842973202001	2
137	0.10548048233834346	1
138	0.21938632754410825	2
138	-0.31450289421737204	1
139	0.21879692577566529	2
139	0.04987800388152096	1
140	0.21817670567071162	2
140	0.1648681683041053	1
141	0.21770750845421544	2
141	-0.08427177325607868	1
142	0.21648759569132547	2
142	-0.4064934007361321	1
143	0.21564304070163237	2
143	-0.1343906915854603	1
144	0.21328704983223185	2
144	-0.22019425370164508	1
145	0.2131555662385484	2
145	0.009197559871572752	1
146	0.21113874742326932	2
146	0.08647304700024118	1
147	0.21094117378920246	2
147	-0.3189602677740855	1
148	0.20983483853072596	2
148	0.05536527154654617	1
149	0.20964715083973248	2
149	-0.09384384549674685	1
150	0.20953364816338482	2
150	0.04156892348248073	1
151	0.20943981312166363	2
151	-0.09740534214460157	1
152	0.20906447295477892	2
152	0.08234411149507503	1
153	0.20821995757928838	2
153	-0.35541689149583666	1
154	0.20820233888431822	2
154	-0.07033596219981178	1
155	0.20786595977274508	2
155	-0.07293035479632062	1
156	0.20784461741240368	2
156	0.12180359740240158	1
157	0.20645646009284307	2
157	-0.03223384877328578	1
158	0.20549874136937427	2
158	-0.058740736117455845	1
159	0.20427888582699896	2
159	0.06831191037301573	1
160	0.20402609183435105	2
160	0.1418785830824173	1
161	0.20344391307273238	2
161	-0.14610801321690237	1
162	0.20230834995085428	2
162	0.0731009263301008	1
163	0.2020552786197598	2
163	0.3812406223305341	1
164	0.20146383457536374	2
