Rank(ACPA–)	Rho	RA_phenotype
1	0.43213738601536855	2
1	0.3961354146973139	1
2	0.40321015662362947	2
2	-0.225823319278564	1
3	0.3946193719473115	2
3	-0.08962888813939224	1
4	0.39389987557767675	2
4	-0.052129878717687206	1
5	0.37710478568459577	2
5	-0.2514798069345728	1
6	0.375562022409076	2
6	0.01895440058653814	1
7	0.3743356048039507	2
7	0.1887923166847458	1
8	0.37113438525727915	2
8	0.1018799031526425	1
9	0.3627710706372185	2
9	0.06714943134621135	1
10	0.3589506218336348	2
10	-0.10962346924592334	1
11	0.3559987252725029	2
11	0.14053283328696714	1
12	0.3467986476569752	2
12	-0.07454249791948506	1
13	0.3458309050006858	2
13	-0.03907246831444286	1
14	0.33446557009455996	2
14	-0.2520576557556541	1
15	0.3321687260819494	2
15	0.23804002374260183	1
16	0.3306952992708683	2
16	-0.20062911067942021	1
17	0.33020333958733533	2
17	0.16833588081885856	1
18	0.3265274871236482	2
18	0.253675679356149	1
19	0.3241978575253985	2
19	0.112917374225901	1
20	0.3239214493082033	2
20	0.1189212873785273	1
21	0.3193609908037347	2
21	0.07876478048613259	1
22	0.31697990461330405	2
22	0.07463428389444884	1
23	0.315444549081346	2
23	-0.22235622635207633	1
24	0.313885001000355	2
24	0.16453854180626992	1
25	0.3101604815940138	2
25	-0.09911110481149846	1
26	0.31004753547088354	2
26	0.09892771816911504	1
27	0.3099983371948647	2
27	-0.3921299635249531	1
28	0.3091474651321238	2
28	-0.03594219667125558	1
29	0.3065892747777524	2
29	0.07465806768370131	1
30	0.3042278682967941	2
30	-0.08167897840647455	1
31	0.3012761101955962	2
31	-0.18907213425779462	1
32	0.2992098795247577	2
32	-0.3300261638710955	1
33	0.29578003542541287	2
33	-0.07604875357281767	1
34	0.2957447104793174	2
34	-0.043343048751384165	1
35	0.2952742020564938	2
35	-0.1664373072053152	1
36	0.29387508828696773	2
36	-0.1112993156392453	1
37	0.2932746961155694	2
37	-0.3494287086212374	1
38	0.2921256600818828	2
38	0.12828243828004401	1
39	0.2891739019806849	2
39	0.08754852709940636	1
40	0.2889464983066695	2
40	0.12094107041610146	1
41	0.2888616388202099	2
41	0.09559070886813152	1
42	0.285734602000847	2
42	-0.15449808846820381	1
43	0.28533661644912767	2
43	0.12933565747413037	1
44	0.28435269708206173	2
44	0.04802652906252557	1
45	0.2810697508957724	2
45	0.14875334331475046	1
46	0.27874435668978575	2
46	-0.1622681611188997	1
47	0.2767895008821312	2
47	-0.142266379750211	1
48	0.2727680377470198	2
48	0.19249185993882534	1
49	0.27172207845218815	2
49	-0.07396464909840376	1
50	0.2710697856266713	2
50	0.0521219636615314	1
51	0.2679463805141179	2
51	-0.2696956937115046	1
52	0.2667163659138878	2
52	0.12337696723249675	1
53	0.26392431442802206	2
53	-0.13283948011724836	1
54	0.2633585931432723	2
54	-0.16884742551994983	1
55	0.26221451132307766	2
55	-0.10782659001376674	1
56	0.2610338080825985	2
56	0.053973811426300686	1
57	0.26017268824066386	2
57	0.047328213659679076	1
58	0.25902892323932114	2
58	-0.03617699802448865	1
59	0.25531252439669333	2
59	-0.18246381254902097	1
60	0.25473672413337645	2
60	-0.282813525824749	1
61	0.2544415483232566	2
61	0.16468691400816465	1
62	0.25110800080028395	2
62	-0.16227637452518232	1
63	0.25027163010796327	2
63	-0.22548802161180437	1
64	0.2502459103618419	2
64	0.3232649904911413	1
65	0.24936025830000294	2
65	0.040796126768338326	1
66	0.2491400697595294	2
66	0.16042707111178994	1
67	0.2483528973432276	2
67	-0.2499322638316386	1
68	0.24784928856391472	2
68	-0.09962113675441257	1
69	0.24670330211448593	2
69	0.09478159766852219	1
70	0.24601446162194446	2
70	0.14447682917128055	1
71	0.24450396271589042	2
71	-0.104023317003322	1
72	0.2439250525015298	2
72	0.08252516482263544	1
73	0.24029565230094596	2
73	0.14608018196934744	1
74	0.23997793362738704	2
74	0.16780729764200356	1
75	0.23993999214400175	2
75	-0.24974626047132895	1
76	0.237676871447134	2
76	-0.12349879357561062	1
77	0.2369992131723294	2
77	0.11637875256576968	1
78	0.2367309997160694	2
78	0.17728401830773655	1
79	0.23478518689191524	2
79	-0.047386001466345355	1
80	0.2342712012984045	2
80	-0.024792223885791744	1
81	0.2307399145284741	2
81	0.21553761026331722	1
82	0.22970675073207794	2
82	-0.08928216129939459	1
83	0.229619125570949	2
83	-0.17711962743213233	1
84	0.22931316452392705	2
84	-0.216346598612831	1
85	0.2292639662479082	2
85	0.10089751043931583	1
86	0.2284875121387373	2
86	0.026118766712873828	1
87	0.22788641451937997	2
87	-0.16954084410524736	1
88	0.2274092473471704	2
88	0.08295489760528373	1
89	0.22644233483862541	2
89	-0.06520114794405456	1
90	0.2261644748587197	2
90	0.08899322226606322	1
91	0.2254159269948109	2
91	-0.1296692754506391	1
92	0.2245478924470663	2
92	0.21956481462730412	1
93	0.2243933369220406	2
93	0.11413091816589277	1
94	0.22411203471521615	2
94	-0.08421388510967937	1
95	0.2227697938134181	2
95	-0.26234336477090087	1
96	0.222425405881286	2
96	-0.10563076449365787	1
97	0.22139224208488986	2
97	0.04721263804634653	1
98	0.22118507371642726	2
98	0.09453606712889731	1
99	0.2199654920803428	2
99	-0.09350067118603267	1
100	0.21731897956864832	2
100	0.21623102884861475	1
101	0.21675743656463042	2
101	-0.11476658403922178	1
102	0.21672857256053787	2
102	-0.15921346574675116	1
103	0.21662000931106	2
103	-0.010228441779930642	1
104	0.21636386881780406	2
104	-0.230792819139863	1
105	0.21465207827030544	2
105	-0.12007698502068986	1
106	0.213707286526726	2
106	-0.042298533703149656	1
107	0.21292015103307319	2
107	0.10505823251928761	1
108	0.21272336715966	2
108	-0.04276081276001468	1
109	0.21219216446936226	2
109	0.0	1
110	0.21114909617235447	2
110	-0.03756017337028317	1
111	0.20938786273628696	2
111	-0.06882876141719806	1
112	0.2073804615987894	2
112	0.0052011658501661	1
113	0.20619964758256848	2
113	0.10182726919991854	1
114	0.20603271546361152	2
114	-0.14556748499234629	1
115	0.20579638858690985	2
115	-0.019762429680979757	1
116	0.20519497301812575	2
116	-0.26713233208732035	1
117	0.2047632247905137	2
117	-0.14792929819680753	1
118	0.20378881896611759	2
118	0.1744124281755699	1
119	0.20323807823392892	2
119	0.06818616088759097	1
120	0.2014082944384015	2
120	0.07107540499299737	1
121	0.2014082944384015	2
121	-0.2554091789179255	1
122	0.20103358626160223	2
122	-0.06321986049290465	1
123	0.20062115894474872	2
123	-0.12067315605602094	1
124	0.19983402345109597	2
124	-0.00196468599167635	1
125	0.1994990092564952	2
125	-0.061829823855696894	1
126	0.19944045570426958	2
126	0.04785557072872644	1
127	0.1992436718308564	2
127	0.09968396649932407	1
128	0.19855492827391022	2
128	-0.19774987441199243	1
129	0.19813075180505926	2
129	-0.11708402236040577	1
130	0.19734989949058493	2
130	-0.11931631265317463	1
131	0.1972850868356463	2
131	0.027969298426477014	1
132	0.19685153662081997	2
132	-0.3305797186975286	1
133	0.1961535264872124	2
133	0.11985797748049436	1
134	0.19571992318860834	2
134	0.007107900219951803	1
135	0.19520960242588598	2
135	0.015370778640762032	1
136	0.1949144266157662	2
136	-0.2620364413591949	1
137	0.19368075908294466	2
137	-0.010459593006595743	1
138	0.19349681958219375	2
138	0.06136754479883187	1
139	0.1924736340362914	2
139	0.18620173743594637	1
140	0.19171245868576028	2
140	0.07687724004041893	1
141	0.19113530233328824	2
141	0.03733092310641354	1
142	0.19113530233328824	2
142	0.24906544673164446	1
143	0.19050466128363286	2
143	-0.014677360055464496	1
144	0.189413362672628	2
144	-0.02265167378638615	1
145	0.18833983558722792	2
145	-0.06595257961362255	1
146	0.18832216685642425	2
146	-0.07477742182615962	1
147	0.18825909889017403	2
147	-0.18260022746168428	1
148	0.18783020717289128	2
