Rank(ACPA–)	Rho	RA_phenotype
1	0.5442085460247007	2
1	0.20042802045613453	1
2	0.4302825355247201	2
2	-0.3125006086626162	1
3	0.42745792369414204	2
3	-0.24747855219351744	1
4	0.4127145064461702	2
4	0.15274152556737697	1
5	0.3982120043776008	2
5	-0.1343317802508299	1
6	0.39381643816998746	2
6	0.2623765059909901	1
7	0.3913970459904292	2
7	0.07018709741568055	1
8	0.38394784395032144	2
8	0.10098151358867608	1
9	0.3794395225743155	2
9	0.21533951431939177	1
10	0.3791874267947205	2
10	-0.31302828821819884	1
11	0.3745610976784723	2
11	-0.25071320761651644	1
12	0.3633091994450441	2
12	0.3646388681079053	1
13	0.3613620068586161	2
13	0.25372856436676977	1
14	0.35128755799622113	2
14	0.1444002751316899	1
15	0.3497054847028526	2
15	0.04758520835774747	1
16	0.34752140888878374	2
16	0.09736861069908884	1
17	0.3471773637387702	2
17	0.08656815106636333	1
18	0.34501162482746234	2
18	-0.07653942487748935	1
19	0.341873217736315	2
19	0.16107293929742605	1
20	0.3416528262761027	2
20	0.014034347165418608	1
21	0.34042877040133646	2
21	0.0749494224982292	1
22	0.34005213782448535	2
22	-0.005537291486828813	1
23	0.3389852209003451	2
23	0.16063627778622203	1
24	0.33650542274952944	2
24	0.016227213910015265	1
25	0.3356267050464843	2
25	0.038923384716590674	1
26	0.3356111136240812	2
26	-0.05450168479399014	1
27	0.3342614119553988	2
27	-0.25503040239659125	1
28	0.3339632721020092	2
28	-0.11179361556246475	1
29	0.3303693465357947	2
29	0.24753337686170387	1
30	0.3229927384204821	2
30	0.13937193269239107	1
31	0.31999645310716135	2
31	0.17619684292834145	1
32	0.31933734609767184	2
32	0.2855112501464848	1
33	0.3186311600160759	2
33	-0.08251112562056796	1
34	0.31842790703383	2
34	0.12444518775586032	1
35	0.31758052348465665	2
35	-0.06608180648669834	1
36	0.3160740638416817	2
36	0.18531751868618485	1
37	0.3150383728371364	2
37	0.14308455508493192	1
38	0.31309051652601316	2
38	0.01798347518611498	1
39	0.3126991969306703	2
39	0.1287212779078238	1
40	0.31221376100655834	2
40	-0.19066976344267939	1
41	0.31208716899328715	2
41	0.2141334376098636	1
42	0.3106131476358975	2
42	0.2367199650792092	1
43	0.30979482687837095	2
43	-0.048026409331307335	1
44	0.3091176123703013	2
44	0.11901512339151005	1
45	0.3085091595132012	2
45	0.12619948115153765	1
46	0.30515223143011333	2
46	0.09095412452127724	1
47	0.3042249639515193	2
47	0.2406802933384009	1
48	0.30336331060408056	2
48	0.21994453448304477	1
49	0.3017393161855357	2
49	0.03772143575624117	1
50	0.3015743897780478	2
50	0.011513180319149018	1
51	0.30119777486730404	2
51	0.053396305230928615	1
52	0.3006328525011885	2
52	0.13836989158404908	1
53	0.299879622679701	2
53	-0.1195177766464041	1
54	0.2992957012865964	2
54	0.08985763115754876	1
55	0.29901321360251276	2
55	0.296698876948953	1
56	0.2948562286023469	2
56	-0.028076375755772577	1
57	0.2943383588091765	2
57	-0.07659006145643418	1
58	0.2939755165696882	2
58	0.026755902106171067	1
59	0.29262978564788406	2
59	-0.1714821794274586	1
60	0.2919707095540825	2
60	-0.16863145265948296	1
61	0.2905584036387935	2
61	-0.0968203640172246	1
62	0.2880768422190261	2
62	0.20064730713059417	1
63	0.2873169338436524	2
63	-0.08587422740925753	1
64	0.2862273321652405	2
64	-0.23836461513765667	1
65	0.2858641258300256	2
65	0.21831182871833993	1
66	0.2856624097991249	2
66	0.061146235877733324	1
67	0.285047975971221	2
67	-0.009017433971828952	1
68	0.28396764270077807	2
68	-0.010361862287234116	1
69	0.2813313383255719	2
69	-0.04232695988927062	1
70	0.28090009874877503	2
70	0.03730936548798707	1
71	0.279730724954911	2
71	-0.11436425783688024	1
72	0.27937255975792497	2
72	0.10010436689083742	1
73	0.278318419039622	2
73	0.013212745032928158	1
74	0.2762129160482148	2
74	0.15262352542392735	1
75	0.27274185898273606	2
75	-0.15029086319952412	1
76	0.27230535306338405	2
76	0.1896829734076109	1
77	0.27201011928466445	2
77	-0.20291720019454737	1
78	0.2714451969185488	2
78	0.2160640173226966	1
79	0.2706575855396603	2
79	0.06030383547640808	1
80	0.2688215017275109	2
80	-0.1937397768851147	1
81	0.2682094737901277	2
81	0.012609673682877496	1
82	0.26777320153879736	2
82	0.22498812799561707	1
83	0.2656796668806455	2
83	-0.08628930639987847	1
84	0.2650080968868929	2
84	0.07247821134245239	1
85	0.2645719747974756	2
85	0.12543197779092882	1
86	0.2635186838363252	2
86	0.25959480386271716	1
87	0.26315966888218656	2
87	0.034762644023530936	1
88	0.2627830539714428	2
88	-0.2259872822644393	1
89	0.26241874792104125	2
89	0.21895774444797628	1
90	0.26231228533301315	2
90	-0.16457464918197914	1
91	0.26146466079229014	2
91	-0.036494365297324353	1
92	0.2611476129741686	2
92	-0.06721136572188756	1
93	0.26013627985031545	2
93	0.1486845001215816	1
94	0.259876478027296	2
94	0.15021959083080147	1
95	0.2590169048640054	2
95	0.37335599034954675	1
96	0.2581816314314658	2
96	-0.0746671126535162	1
97	0.25788706013177426	2
97	0.11753765751038084	1
98	0.25780499885461466	2
98	0.14075032682713548	1
99	0.2577579197825083	2
99	-0.2291499063282258	1
100	0.2577363123258203	2
100	0.09144754653495506	1
101	0.2576987526764024	2
101	0.07258388924614938	1
102	0.25732213776565865	2
102	-0.00953897033899546	1
103	0.2564747542164852	2
103	0.13739061847517828	1
104	0.25609813930574143	2
104	-0.0024122854002026515	1
105	0.2560400162581023	2
105	0.16402643249583002	1
106	0.25600398557805554	2
106	0.027631632765957644	1
107	0.2553217851309127	2
107	0.19495652007092337	1
108	0.2542740684466351	2
108	-0.21062485081850896	1
109	0.2540505905525364	2
109	0.053076087405012524	1
110	0.25295585442765606	2
110	0.15652442767224023	1
111	0.25248506370659207	2
111	0.013706167046605973	1
112	0.25242614392599005	2
112	0.1822471692641652	1
113	0.2518259566971026	2
113	-0.06063276548809758	1
114	0.2506372230999573	2
114	-0.016282926451367898	1
115	0.2501311101012724	2
115	0.15218495207500804	1
116	0.2498015565965276	2
116	0.08377209298885571	1
117	0.24950737836772607	2
117	0.3416673321377937	1
