Rank(ACPA–)	Rho	RA_phenotype
1	0.5777308282062386	2
1	0.2507195790983401	1
2	0.5126458785354808	2
2	0.43019424009829577	1
3	0.49980394229134306	2
3	0.09774502519360687	1
4	0.49211758802199906	2
4	0.15259034254871762	1
5	0.4724582513870996	2
5	-0.01959862180277904	1
6	0.45522700228862306	2
6	0.16474794707698945	1
7	0.4507169147095076	2
7	-0.2179953361699838	1
8	0.44138381606096827	2
8	0.08362484722741553	1
9	0.4347913736557305	2
9	0.3128336973835997	1
10	0.4299687173697363	2
10	0.1548043038599256	1
11	0.4299687173697363	2
11	0.16177057453945348	1
12	0.4293345452202234	2
12	0.1523234656570422	1
13	0.4162711414882764	2
13	0.38408105734213804	1
14	0.4153827579309399	2
14	0.211615498705956	1
15	0.4132893313627646	2
15	0.11205125075582552	1
16	0.41284606933288837	2
16	0.09899763687307046	1
17	0.40967520858532397	2
17	-0.0042179444281759335	1
18	0.4052360035387338	2
18	-0.20243639735528732	1
19	0.4046018313892209	2
19	0.0404376627069998	1
20	0.403967659239708	2
20	0.21087124724509096	1
21	0.4007967984921436	2
21	0.15184599941433363	1
22	0.3976259377445791	2
22	0.22972561758700497	1
23	0.39705237039896035	2
23	0.128275133492174	1
24	0.393684118355527	2
24	0.34881560832512176	1
25	0.3931867326979889	2
25	-0.0855889179994781	1
26	0.38965978711022964	2
26	-0.08088528726972674	1
27	0.3865649985400122	2
27	-0.16675340456030632	1
28	0.3716248796145508	2
28	0.165968075772901	1
29	0.3703565353155251	2
29	-0.15197005660339763	1
30	0.36972236316601215	2
30	0.11377445831979233	1
31	0.3690881910164993	2
31	0.4192616562872985	1
32	0.3643875188405794	2
32	0.39673489062666584	1
33	0.3589414366242931	2
33	0.3590215051512104	1
34	0.3583072644747803	2
34	0.27835004636352007	1
35	0.35640474802624156	2
35	0.25031657467093743	1
36	0.3513850051134569	2
36	0.2890176506359188	1
37	0.3513850051134569	2
37	0.004713592585478503	1
38	0.3507507361511582	2
38	0.047384009675073384	1
39	0.3500630265311127	2
39	0.18707824110850907	1
40	0.348794682232087	2
40	0.33094381626464864	1
41	0.3475263379330612	2
41	-0.16323915374972925	1
42	0.3462579936340354	2
42	0.010171436631822035	1
43	0.33991627213890657	2
43	0.0451512552924783	1
44	0.33991627213890657	2
44	-0.18804753577856345	1
45	0.3393338948297823	2
45	0.22277927061893138	1
46	0.3386479278398808	2
46	-0.0627652065329506	1
47	0.3380137556903679	2
47	0.23297940106218837	1
48	0.33621388430125126	2
48	0.2746287890591949	1
49	0.3348940120936918	2
49	-0.016871777712703734	1
50	0.3348428949428035	2
50	0.2619765142244895	1
51	0.33294037849426483	2
51	0.44307770303497934	1
52	0.3317095281557186	2
52	0.18038942368577748	1
53	0.3309734467817365	2
53	0.2812175333289939	1
54	0.32987022610688804	2
54	0.2959639976039924	1
55	0.3291855914330038	2
55	0.31978004435167323	1
56	0.32850117344767465	2
56	0.0007442514608650269	1
57	0.3272328291486489	2
57	-0.0013646290797039787	1
58	0.3259644848496231	2
58	0.12007256901955768	1
59	0.3254296653708338	2
59	-0.18114581150152323	1
60	0.3234771707723159	2
60	-0.08287020229475071	1
61	0.32279362410205864	2
61	-0.028529639333159367	1
62	0.3215252798030329	2
62	-0.10048632314183843	1
63	0.32094009492312126	2
63	0.4723515938290038	1
64	0.3202569355040071	2
64	-0.05408227282285862	1
65	0.3202569355040071	2
65	0.10420803881375837	1
66	0.3197203729959069	2
66	0.11883214991811597	1
67	0.31898859120498135	2
67	0.1677046625149194	1
68	0.31835441905546846	2
68	0.2872810638939004	1
69	0.3158177304574169	2
69	0.3289591457023419	1
70	0.3132810418593654	2
70	0.17440292566270466	1
71	0.31301173289438805	2
71	0.22575627646239152	1
72	0.3113785254108268	2
72	0.11808789845725096	1
73	0.3088418368127752	2
73	0.3239974692965751	1
74	0.3075734925137494	2
74	-0.0352279024809446	1
75	0.30630514821472365	2
75	0.4720376043885126	1
76	0.3060347743091028	2
76	0.13818268790060667	1
77	0.30567097606521076	2
77	0.3798163288614521	1
78	0.30127775709186283	2
78	0.29748913937546734	1
79	0.30123177101862053	2
79	0.36195429380069144	1
80	0.3005975988691077	2
80	0.2739182734533077	1
81	0.3000550325933809	2
81	0.2892657344562071	1
82	0.29887760311124717	2
82	0.18248812511314116	1
83	0.29869508242056897	2
83	-0.09874952249494245	1
84	0.2974721433180709	2
84	-0.1595178964454041	1
85	0.2971550088369216	2
85	0.061276703611220555	1
86	0.29556933643117494	2
86	0.2140963369088394	1
87	0.2943907025253256	2
87	-0.0895692905042066	1
88	0.29430079850657764	2
88	0.20432219038840482	1
89	0.29298753307495307	2
89	0.2612047429025612	1
90	0.2923533609254401	2
90	0.42968117673940887	1
91	0.2923533609254401	2
91	0.15631205822063757	1
92	0.29144658817623365	2
92	0.3416114205370474	1
93	0.28981667232738867	2
93	0.45052021764362965	1
94	0.2895879965726815	2
94	0.2309660366884467	1
95	0.28795810888359097	2
95	0.3840337538063539	1
96	0.28537746728079844	2
96	0.19117212834762104	1
97	0.28410912298177265	2
97	0.14041544228320174	1
98	0.2825668227040524	2
98	0.23865663511738527	1
99	0.282206606533234	2
99	0.2309660366884467	1
100	0.28093826223420826	2
100	0.29008144334969954	1
101	0.2803468813360071	2
101	0.34417704185289416	1
102	0.28030409008469537	2
102	0.22913362820120442	1
103	0.28030409008469537	2
103	0.22203501915806637	1
104	0.2796699179351824	2
104	0.31650888023314094	1
105	0.2796699179351824	2
105	0.351534773348581	1
106	0.2793954778925591	2
106	0.1535638847584839	1
107	0.2784865947325459	2
107	0.2609841789433361	1
108	0.2784015736361567	2
108	0.01153731858295182	1
109	0.2784015736361567	2
109	0.1495945436338704	1
110	0.2777674014866438	2
110	0.33813824705301054	1
111	0.27527272963761784	2
111	0.27214795085631155	1
112	0.27523071288859224	2
112	0.21459250454941609	1
113	0.2746384606753192	2
113	0.008435888856351867	1
114	0.27269402429054074	2
114	0.1667328621020134	1
115	0.2705157124203779	2
115	0.037217156719199423	1
116	0.2705157124203779	2
116	0.313826032664753	1
117	0.2701573356924892	2
117	0.21905801331460625	1
118	0.2701573356924892	2
118	0.28455214187072864	1
119	0.26992265617015554	2
119	0.14296672479920608	1
120	0.2689300400146313	2
120	0.4172769857249918	1
121	0.2673443676088846	2
121	-0.006202095507208558	1
122	0.2669864749449248	2
122	0.13396526295570485	1
123	0.265758695203138	2
123	0.24067094678415626	1
124	0.2649691544225791	2
124	0.16400360394260544	1
125	0.26385588831624196	2
125	0.3510386057080044	1
126	0.2638156141973603	2
126	0.08484466653861306	1
127	0.26322161935394334	2
127	-0.07665790046909778	1
128	0.26254726989833455	2
128	-0.0803791577734229	1
129	0.2622702159104954	2
129	0.06871921821987081	1
130	0.26127892559930876	2
130	0.2411374733202687	1
131	0.2606845435047487	2
131	0.2868555590352888	1
132	0.2603674090235994	2
132	0.18459709732722912	1
133	0.2600899859688925	2
