Rank(ACPA–)	Rho	RA_phenotype
1	0.5487117958138681	2
1	0.15657436546411957	1
2	0.49214929214929215	2
2	0.2792958335769898	1
3	0.4692406692406692	2
3	0.3158081921261039	1
4	0.4597168597168597	2
4	0.3842095910963599	1
5	0.4585479039728037	2
5	0.2610396543024327	1
6	0.4535392535392535	2
6	-0.04137276991441826	1
7	0.4401544401544401	2
7	0.3453263001739266	1
8	0.43397683397683395	2
8	0.29624800004622137	1
9	0.42393822393822395	2
9	0.047655740703713874	1
10	0.4185328185328185	2
10	0.003674945178644602	1
11	0.40669240669240664	2
11	-0.08606484515148326	1
12	0.4054054054054054	2
12	0.2074565826654211	1
13	0.4031925983275747	2
13	0.019939482142450803	1
14	0.4018018018018018	2
14	0.3642937591604794	1
15	0.4015444015444016	2
15	0.31438563270211245	1
16	0.4005148005148005	2
16	0.17652637818612923	1
17	0.39665379665379663	2
17	0.28700136379027685	1
18	0.38944658944658944	2
18	-0.005927330933297745	1
19	0.38635778635778634	2
19	-0.10716614327402324	1
20	0.38389202567009306	2
20	0.06456416111707466	1
21	0.3696267696267696	2
21	-0.037934917973105574	1
22	0.36859716859716857	2
22	-0.0662675598342688	1
23	0.36366009576954805	2
23	-0.19595288700706115	1
24	0.36087516087516086	2
24	0.07314326371689418	1
25	0.3603603603603603	2
25	0.265544425811739	1
26	0.3572715572715573	2
26	0.21207990079339334	1
27	0.35389575913677157	2
27	-0.06970954356846473	1
28	0.3513513513513513	2
28	-0.24580542275325798	1
29	0.349034749034749	2
29	-0.4376741161147055	1
30	0.3462033462033462	2
30	0.24503586078252879	1
31	0.3387387387387387	2
31	-0.09934795494961471	1
32	0.3341055341055341	2
32	0.22476438899065052	1
33	0.33178893178893176	2
33	0.14201884916181398	1
34	0.32998712998713	2
34	-0.15731136296972215	1
35	0.3253539253539254	2
35	0.2452125490852569	1
36	0.31325611325611324	2
36	0.06579337335960497	1
37	0.3065637065637066	2
37	-0.002726572229316963	1
38	0.30593989380553827	2
38	0.02228676430919952	1
