Rank(ACPA–)	Rho	RA_phenotype
1	0.6529980553376601	2
1	0.3086234522209461	1
2	0.650839849378073	2
2	0.5281036148067755	1
3	0.6440837263741485	2
3	0.46420195139465503	1
4	0.6083325754783806	2
4	0.24312659309956564	1
5	0.5787745373362103	2
5	0.268018022738709	1
6	0.5528760658211659	2
6	0.26902506461461007	1
7	0.5345782326855366	2
7	0.21178568916469304	1
8	0.523599532804159	2
8	0.291451639585971	1
9	0.5064514754859487	2
9	0.4125926784480085	1
10	0.49460450491231595	2
10	0.36220326104373735	1
11	0.48587784603224665	2
11	0.11935817306933519	1
12	0.48127992898790894	2
12	-0.15623534446575715	1
13	0.4794970631952067	2
13	0.3961715461468028	1
14	0.4670170026462903	2
14	0.13371493445267504	1
15	0.4611992300595774	2
15	0.2368396453042469	1
16	0.4605423847675292	2
16	0.17809890918679103	1
17	0.4482499943020552	2
17	0.3287041511492777	1
18	0.44243222171534236	2
18	-0.06033593182671582	1
19	0.44064935592264004	2
19	-0.04860655161156889	1
20	0.4380219747544471	2
20	0.12461293540572103	1
21	0.424060444269224	2
21	0.47630667177668673	1
22	0.42207001766184726	2
22	0.4413062012146883	1
23	0.4189734612850485	2
23	0.061986768011310416	1
24	0.4185981211181638	2
24	0.29501737117137566	1
25	0.4185042860764426	2
25	0.1274279866573563	1
26	0.41794127582611557	2
26	0.09345970155429076	1
27	0.4163851424690658	2
27	0.17899873809328276	1
28	0.41550156474136496	2
28	0.08004129058816269	1
29	0.4114666579473544	2
29	-0.01201088534031046	1
30	0.4085577716539979	2
30	0.3709299199238066	1
31	0.4082762665288344	2
31	0.12301773969646104	1
32	0.4078070913202286	2
32	0.23702731538768926	1
33	0.40724408106990156	2
33	0.23515061455326572	1
34	0.40611806056924743	2
34	0.18523037235760037	1
35	0.40152014352490983	2
35	0.43586376879486005	1
36	0.4005817931076981	2
36	0.4413062012146883	1
37	0.3944825153958217	2
37	-0.10303087580985067	1
38	0.3942010102706581	2
38	0.3882894026422241	1
39	0.3939195051454946	2
39	-0.03171624410175731	1
40	0.3917612991859076	2
40	-0.13183823361825153	1
41	0.39063527868525344	2
41	0.12892934732489508	1
42	0.38793225859902014	2
42	0.07267864883525425	1
43	0.3868818770164065	2
43	0.06033593182671582	1
44	0.3865246669495317	2
44	0.3020222482585743	1
45	0.3844421659316559	2
45	-0.09937130918272483	1
46	0.38406682576477114	2
46	-0.07047342191772234	1
47	0.3835038155144442	2
47	-0.026836821932256186	1
48	0.3830346403058382	2
48	-0.11945200811105637	1
49	0.38115793947141474	2
49	0.15520315900682424	1
50	0.3808764343462513	2
50	0.3046028329493032	1
51	0.3803134240959242	2
51	0.22079385316992586	1
52	0.3781552181363372	2
52	0.3407150364895881	1
53	0.37609084721847125	2
53	0.23280473851023634	1
54	0.3757155070515866	2
54	0.1633275510623112	1
55	0.37552783696814424	2
55	0.3880260980423194	1
56	0.3753577731969232	2
56	-0.11773262750974856	1
57	0.37477715663437483	2
57	0.2961433916720298	1
58	0.37299429084167246	2
58	0.34165338690679986	1
59	0.37290045579995135	2
59	0.4132495237400568	1
60	0.3698038994231525	2
60	0.20033781407470966	1
61	0.36942855925626783	2
61	0.29670640192235687	1
62	0.3683025387556137	2
62	-0.08510838284110615	1
63	0.36558132254569964	2
63	0.5024866484168946	1
64	0.36541079220720474	2
64	-0.028619687724958515	1
65	0.3634231165861126	2
65	-0.15576616925715128	1
66	0.3629709666814248	2
66	-0.01961244364953924	1
67	0.36276627129406436	2
67	0.19592756711381437	1
68	0.36023272516759264	2
68	0.30928029751299435	1
69	0.3592005397086597	2
69	0.2758750226602559	1
70	0.35844985937489027	2
70	0.19827344315684375	1
71	0.358262189291448	2
71	0.11485409106671877	1
72	0.3580745192080056	2
72	0.1934030926397147	1
73	0.35798068416628437	2
73	0.19029746461054386	1
74	0.3556348081232551	2
74	0.19264334065357325	1
75	0.352913591913341	2
75	0.26527166294576304	1
76	0.3522567466212927	2
76	0.5392699847715954	1
77	0.3521629115795715	2
77	-0.027449324807798457	1
78	0.3516937363709656	2
78	0.1710612810577029	1
79	0.3516937363709656	2
79	-0.17537769297687697	1
80	0.3514122312458021	2
80	0.39570237093819693	1
81	0.3509430560371963	2
81	0.1915173201529191	1
82	0.3492540252862151	2
82	0.20793845245412484	1
83	0.3492540252862151	2
83	0.012480060548916337	1
84	0.34850334495244567	2
84	0.19170499023636148	1
85	0.3480341697438398	2
85	0.2344937692612175	1
86	0.3471896543683492	2
86	0.05836539595057115	1
87	0.3463451389928586	2
87	0.26386413731994546	1
88	0.34596979882597395	2
88	0.11162201780443505	1
89	0.34493761336704104	2
89	-0.02711832705741971	1
90	0.34362392278294457	2
90	0.09270902122052137	1
91	0.3434537790818417	2
91	-0.26296279177546067	1
92	0.34315474757433867	2
92	-0.09890213397411896	1
93	0.3430609125326175	2
93	0.07900910512922973	1
94	0.34287324244917516	2
94	0.06765506508096751	1
95	0.34249790228229043	2
95	-0.14319227366651374	1
96	0.34245225809730767	2
96	0.1895467842767745	1
97	0.34202872707368454	2
97	0.4219761826201261	1
98	0.3409965416147517	2
98	0.16195928201074886	1
99	0.33883833565516464	2
99	0.11081918427270823	1
100	0.3387445006134434	2
100	0.013512246007849267	1
101	0.33836916044655874	2
101	0.083419352090125	1
102	0.33827532540483757	2
102	0.4461856233841894	1
103	0.33752464507106816	2
103	-0.07652606601052273	1
104	0.3363047895286929	2
104	0.06333865316179343	1
105	0.33583561432008696	2
105	0.32438773923010356	1
106	0.3354602741532023	2
106	0.38378532063960763	1
107	0.3351787690280388	2
107	0.20981515328854833	1
108	0.33414658356910587	2
108	0.2496950460200479	1
109	0.33295796382245785	2
109	-0.2640641934440355	1
110	0.33264522290156706	2
110	0.19911795853233435	1
111	0.3312376972757494	2
111	0.16233462217763356	1
112	0.33050251929989094	2
112	0.3812517745131359	1
113	0.33048701694198	2
113	0.3438115928663869	1
114	0.32889182123272	2
114	0.11551093635876701	1
115	0.3270151203982965	2
115	-0.09833912372379189	1
116	0.326733615273133	2
116	0.03894154231428782	1
117	0.326733615273133	2
117	-0.12264239952957633	1
118	0.3259829349393636	2
118	0.4037351642462641	1
119	0.3258890998976424	2
119	0.10387539118534124	1
120	0.3249507494804307	2
120	0.17669138356097341	1
121	0.3239020327320218	2
121	-0.31594258547519777	1
122	0.3231512819680478	2
122	0.0049732572112223	1
123	0.32260487343740124	2
123	0.28234964053901696	1
124	0.32251103839568007	2
124	0.1541709735478913	1
125	0.321587772186464	2
125	0.15661068463264188	1
126	0.32154085246481434	2
126	0.15135592229625602	1
127	0.32147885293674716	2
127	-0.11663695685942112	1
128	0.321385017895026	2
128	0.07713240429480624	1
129	0.3212425539783733	2
129	0.21409468988719507	1
130	0.3211973478115836	2
130	-0.17096744601598168	1
131	0.3209158426864201	2
131	-0.006475225339275532	1
132	0.3204616988668732	2
132	-0.31162617355602373	1
133	0.31969598714404485	2
133	0.413906369032105	1
134	0.31922681193543895	2
134	0.00046917520860587737	1
135	0.3188514717685542	2
135	0.2511025716458655	1
136	0.3188514717685542	2
136	0.46157457022646214	1
137	0.31839723111429014	2
137	0.08849059503117465	1
138	0.318194626476506	2
138	0.20024397903298843	1
139	0.31688093589240957	2
139	0.14216008820758086	1
140	0.3165055957255249	2
140	-0.048890349958899244	1
141	0.31641176068380367	2
141	0.0707516214577663	1
142	0.31641176068380367	2
142	-0.18138313564703218	1
143	0.3163179256420825	2
143	0.43914799525510123	1
144	0.31584875043347665	2
144	0.4229343709496332	1
145	0.3157549153917555	2
145	0.07553720858554624	1
146	0.3156289675369628	2
146	0.17040443576565464	1
147	0.31537957522487076	2
147	-0.05611335494926292	1
148	0.31537957522487076	2
148	-0.06465234374588989	1
149	0.31340903934872605	2
149	-0.2949235361296545	1
150	0.3129398641401202	2
150	0.09740077330658013	1
151	0.31284602909839904	2
151	0.14741485054396664	1
152	0.3127521940566778	2
152	-0.08904945459339551	1
153	0.3119223095266432	2
153	0.14741485054396664	1
154	0.3113446684308602	2
154	0.09468399828892389	1
155	0.3105939880970908	2
155	0.39651856766089977	1
156	0.3103092330498076	2
156	-0.16027776915508624	1
157	0.31021864793020604	2
157	0.24631698451808562	1
158	0.3099371428050426	2
158	0.1360608104957044	1
159	0.3089049573461096	2
159	0.3093741325547155	1
160	0.3078727718871767	2
160	0.3938256701037735	1
161	0.3078727718871767	2
161	0.06164962241081229	1
162	0.3072159265951285	2
162	0.04865575135065117	1
163	0.306934421469965	2
163	0.2994276181322709	1
164	0.3067611401451855	2
164	0.005911607628434054	1
165	0.3066529163448014	2
165	-0.13746833612152207	1
166	0.3061837411361955	2
166	0.15736136496641126	1
167	0.30580840096931083	2
167	0.11156986460647762	1
168	0.3052453907189838	2
168	0.2799099294542664	1
169	0.30468238046865675	2
169	-0.053204468655906494	1
170	0.30450899350600397	2
170	0.26673861757806355	1
171	0.30365019500972384	2
171	-0.10443840143566831	1
172	0.3035563599680026	2
172	0.1849488672324369	1
173	0.3028056796342332	2
173	-0.10350005101845654	1
174	0.30271184459251205	2
174	-0.11992118331966226	1
175	0.30271184459251205	2
175	0.030684058642824384	1
176	0.3025852849183698	2
176	0.2766386788461324	1
177	0.3025241745090697	2
177	-0.0022520410013082116	1
178	0.30243033946734854	2
178	0.19986863886610376	1
179	0.3023365044256274	2
179	0.1323074088268574	1
180	0.3021630074235232	2
180	0.16055175638493122	1
181	0.3017734941753003	2
181	0.3771230326774042	1
182	0.3013043189666944	2
182	0.1277094917825198	1
183	0.3013043189666944	2
183	0.07347628410329772	1
184	0.30064747367464617	2
184	-0.1369991609129162	1
185	0.30047389744413705	2
185	0.4108760024856821	1
186	0.299990628382598	2
186	-0.35432111753915857	1
187	0.2994276181322709	2
187	0.0462606755685395	1
188	0.2994276181322709	2
188	0.024584780930947972	1
189	0.29905227796538625	2
189	-0.024303275805784445	1
190	0.29858310275678035	2
190	0.035188140645440805	1
191	0.2984892677150591	2
191	0.27700104316091	1
192	0.29839543267333796	2
192	0.10171718522575421	1
193	0.2979262574647321	2
193	0.04185042860764426	1
194	0.29680023696407803	2
194	0.28919959858466276	1
195	0.2963449619389709	2
195	0.2833012793203778	1
196	0.29623722671375097	2
196	-0.26527166294576304	1
197	0.2961433916720298	2
197	0.11982734827794109	1
198	0.29586188654686624	2
198	-0.0948672271801084	1
199	0.295205041254818	2
199	-0.03359294493618081	1
200	0.29501737117137566	2
200	0.03312376972757494	1
201	0.2949235361296545	2
201	0.0681242402895734	1
202	0.293609845545558	2
202	-0.058323949976228175	1
203	0.29323450537867335	2
203	0.16693253922197115	1
204	0.292309865877104	2
204	0.07778924958685446	1
205	0.2922961549614616	2
205	-0.057990055783686434	1
206	0.29201464983629805	2
206	0.2643333125285513	1
207	0.2919208147945769	2
207	-0.32025899739437186	1
208	0.2905132891687593	2
208	0.08717275375897202	1
209	0.29023178404359573	2
209	-0.12611429607325983	1
210	0.2900107995162728	2
210	-0.2794407542456605	1
211	0.28883780647503243	2
211	-0.03847417175268463	1
212	0.2888242584177781	2
212	0.3902782446815009	1
213	0.28816741312572985	2
213	0.3496293654530998	1
214	0.28657221741646993	2
214	0.01820399809390804	1
215	0.28610304220786403	2
215	0.2753120124099288	1
216	0.28582153708270047	2
216	0.28028526962115113	1
217	0.2843201764151617	2
217	-0.0420400705980554	1
218	0.2830064858310652	2
218	0.0906446503026555	1
219	0.2830064858310652	2
219	0.1232054097799034	1
220	0.2822558054972958	2
220	0.14647650012675492	1
221	0.2822558054972958	2
221	0.179131094645724	1
222	0.2821619704555746	2
222	0.2867598874999122	1
223	0.28179984822759013	2
223	0.241719067473748	1
224	0.2815989602052476	2
224	-0.06587528919606003	1
225	0.2815989602052476	2
225	0.19763513861614887	1
226	0.28103594995492054	2
226	0.30064747367464617	1
227	0.28094211491319937	2
227	-0.09402271180461781	1
228	0.28009759953770874	2
228	0.0011260205006541058	1
229	0.2796284243291029	2
229	-0.26574083815436894	1
230	0.2794931969137108	2
230	0.06183729249425463	1
231	0.2794407542456605	2
231	0.29126396950252864	1
232	0.2792192635368613	2
232	0.3056207308858685	1
233	0.2788777439953335	2
233	-0.07975978546299915	1
234	0.2783147337450064	2
234	0.10303087580985067	1
235	0.27747021836951585	2
235	-0.049732572112223	1
236	0.2770948782026312	2
236	-0.1548278188399395	1
237	0.2762633210729355	2
237	-0.2986769377985015	1
238	0.2762503628271406	2
238	0.05752088057508056	1
239	0.2760626927436982	2
239	-0.08135498117225913	1
240	0.2758750226602559	2
240	0.4744299709422632	1
241	0.2754996824933712	2
241	-0.01219855542375281	1
242	0.2753120124099288	2
242	0.22858216163278344	1
243	0.2753120124099288	2
243	0.17697288868613695	1
244	0.2745613320761594	2
244	0.10340621597673536	1
245	0.2743994042324879	2
245	-0.11073054309309234	1
246	0.2743736619927171	2
246	0.2762503628271406	1
247	0.2742798269509959	2
247	-0.13437177974472325	1
248	0.2742586384642427	2
248	-0.411129887121248	1
249	0.27409215686755356	2
249	0.12001501836138344	1
250	0.27324764149206293	2
250	-0.2632072920278972	1
251	0.27315380645034176	2
251	-0.3263266640730751	1
252	0.27287230132517826	2
252	0.09852679380723425	1
253	0.2719594642495724	2
253	-0.11805001967043235	1
254	0.27185286723787166	2
254	0.32344938881289187	1
255	0.2717462808245241	2
255	-0.24115605722342096	1
256	0.2711832705741971	2
256	0.2778455585364006	1
257	0.27108943553247594	2
257	0.09749460834830131	1
258	0.27033875519870654	2
258	0.30496388559382026	1
259	0.2681805492391195	2
259	-0.3292671613996047	1
260	0.2681805492391195	2
260	-0.09008164005232844	1
261	0.26808671419739827	2
261	-0.14287055242307892	1
262	0.267899044113956	2
262	0.035657315854046676	1
263	0.2678052090722348	2
263	0.3430609125326175	1
264	0.26752370394707126	2
