Rank(ACPA–)	Rho	RA_phenotype
1	0.6759330759330759	2
1	0.009957915967940212	1
2	0.6553832306511573	2
2	0.23460375833992475	1
3	0.6549971054170738	2
3	0.06224066390041494	1
4	0.6535392535392535	2
4	0.17817556785493022	1
5	0.6229086229086229	2
5	0.2626993069637561	1
6	0.609009009009009	2
6	0.021101298122539972	1
7	0.6084942084942085	2
7	0.08084879393018124	1
8	0.5971685971685972	2
8	0.16821765188699003	1
9	0.596911196911197	2
9	0.0794262345061898	1
10	0.5963963963963964	2
10	0.07586983594621115	1
11	0.5912483912483912	2
11	0.2610396543024327	1
12	0.5897039897039896	2
12	0.03876474430376726	1
13	0.5868725868725869	2
13	0.23294410567860138	1
14	0.5867816473956453	2
14	0.0	1
15	0.585070785070785	2
15	0.10882579593534661	1
16	0.584041184041184	2
16	0.012447394959925265	1
17	0.5839500623456992	2
17	0.08831723090613641	1
18	0.5783783783783784	2
18	0.11048544859666998	1
19	0.5778635778635779	2
19	0.1690474782176517	1
20	0.5768339768339769	2
20	0.11037344398340249	1
21	0.5752895752895753	2
21	0.102542825146051	1
22	0.5706563706563706	2
22	0.0021338391359871883	1
23	0.5701415701415701	2
23	0.17971667389758766	1
24	0.5698841698841699	2
24	0.07930768788752383	1
25	0.5696267696267696	2
25	-0.06946831853824958	1
26	0.564993564993565	2
26	0.30407207687817434	1
27	0.5611325611325612	2
27	-0.13443186556719286	1
28	0.5608751608751609	2
28	-0.04587754142372455	1
29	0.5606177606177606	2
29	0.10195009205272122	1
30	0.5596241725984351	2
30	-0.006046594355280222	1
31	0.5588159588159588	2
31	0.0764625690395409	1
32	0.5583730256063799	2
32	0.24420603445186712	1
33	0.5570500043712114	2
33	0.1558888035457307	1
34	0.555984555984556	2
34	0.12399976312458884	1
35	0.5554697554697554	2
35	0.09863078673007449	1
36	0.5546975546975547	2
36	0.15043565908709677	1
37	0.5534105534105533	2
37	0.13632861146584815	1
38	0.5528957528957529	2
38	0.11487167348731031	1
39	0.5528957528957529	2
39	-0.08714209512021497	1
40	0.5521235521235521	2
40	0.08298263306616843	1
41	0.5477477477477477	2
41	0.05287179192501589	1
42	0.5474903474903475	2
42	0.21682176554003155	1
43	0.5472681651077613	2
43	0.17807813179668422	1
44	0.5459459459459459	2
44	0.1333649459991993	1
45	0.5456885456885456	2
45	0.08084879393018124	1
46	0.5456885456885456	2
46	0.0641337206982816	1
47	0.5451737451737452	2
47	0.13158674671920995	1
48	0.5444015444015444	2
48	0.01327722129058695	1
49	0.5441441441441441	2
49	-0.12245865708193142	1
50	0.5441441441441441	2
50	0.010313555823938076	1
51	0.5425997425997426	2
51	0.23827870351856936	1
52	0.5423423423423424	2
52	-0.1390551836951651	1
53	0.5420849420849421	2
53	0.07515855623421543	1
54	0.5415701415701415	2
54	-0.004267678271974377	1
55	0.5409614529510632	2
55	0.03141485394647805	1
56	0.5405405405405406	2
56	0.14782763347644576	1
57	0.5384813384813385	2
57	-0.06093296199430082	1
58	0.5382239382239382	2
58	0.05192341897568825	1
59	0.5381991475754179	2
59	-0.06887558544491981	1
60	0.5364221364221363	2
60	0.03947602401576299	1
61	0.5361647361647361	2
61	0.07432872990355373	1
62	0.5356499356499357	2
62	0.12257720370059738	1
63	0.5356499356499357	2
63	0.10266137176471696	1
64	0.5356499356499357	2
64	0.08677612486347899	1
65	0.5351351351351351	2
65	0.1509098455617606	1
66	0.5341055341055341	2
66	0.03041081278685053	1
67	0.5335907335907336	2
67	0.1624088675723582	1
68	0.5333333333333333	2
68	-0.07480291637821754	1
69	0.5333333333333333	2
69	0.014463544754001186	1
70	0.5323037323037323	2
70	0.01517396718924223	1
71	0.5305019305019305	2
71	0.18078359346558123	1
72	0.5305019305019305	2
72	0.09697113406875112	1
73	0.5302445302445302	2
73	0.0699425050129134	1
74	0.5300894737420643	2
74	0.331337799171344	1
75	0.528957528957529	2
75	0.05500563106100308	1
76	0.5271557271557271	2
76	0.1563629900203945	1
77	0.5271557271557271	2
77	0.22454060462359215	1
78	0.52645128509223	2
78	0.1795981272789217	1
79	0.5261261261261261	2
79	0.07112797119957295	1
80	0.5256113256113256	2
80	-0.03769782473577366	1
81	0.5256113256113256	2
81	0.11155236816466356	1
82	0.5253539253539253	2
82	0.1004089860100638	1
83	0.525096525096525	2
83	0.16169758786036248	1
84	0.5248391248391248	2
84	0.022879497402529297	1
85	0.5245817245817246	2
85	0.08286408644750248	1
86	0.5245817245817246	2
86	0.007705530213287069	1
87	0.5243243243243243	2
87	0.0665046530716007	1
88	0.5243243243243243	2
88	-0.10823306284201684	1
89	0.5241343845710417	2
89	-0.19939541259613616	1
90	0.524066924066924	2
90	0.16477979994567732	1
91	0.524066924066924	2
91	-0.23021753344928442	1
92	0.5235521235521235	2
92	0.10574358385003178	1
93	0.5227799227799227	2
93	0.10420247780737436	1
94	0.5227799227799227	2
94	-0.004741864746638197	1
95	0.5225225225225225	2
95	0.01185466186659549	1
96	0.522007722007722	2
96	0.06460790717294543	1
97	0.5208829407787183	2
97	-0.020152925173212335	1
98	0.5204633204633204	2
98	0.194535001230832	1
99	0.5202059202059202	2
99	0.08582775191415136	1
100	0.5194337194337194	2
100	-0.004149131653308422	1
101	0.5191763191763191	2
101	0.06496354702894329	1
102	0.5181467181467181	2
102	-0.00699425050129134	1
103	0.5173745173745173	2
103	0.1529251380790818	1
104	0.5168597168597169	2
104	-0.1479461800951117	1
105	0.5163449163449163	2
105	0.1863552845428811	1
106	0.5155727155727156	2
106	0.10550649061269986	1
107	0.5150579150579151	2
107	0.06733447940226239	1
108	0.5148005148005148	2
108	0.16975875792964742	1
109	0.5148005148005148	2
109	0.05986959098992294	1
110	0.5142857142857142	2
110	0.09211072270344696	1
111	0.514028314028314	2
111	0.22049671071867616	1
112	0.512998712998713	2
112	0.13869954383916724	1
113	0.512998712998713	2
113	0.13502459866052263	1
114	0.5124839124839125	2
114	-0.02679312388855957	1
115	0.51238818562888	2
115	-0.0672831822866966	1
116	0.5114543114543114	2
116	0.11297492758865503	1
117	0.5111969111969111	2
117	0.12992709405788658	1
118	0.5104247104247104	2
118	0.16051212167370296	1
119	0.5104247104247104	2
119	0.18623673792421516	1
120	0.5099099099099099	2
120	0.1901487763401917	1
121	0.5099099099099099	2
121	-0.02442060344518671	1
122	0.5093951093951093	2
122	-0.06638610645293475	1
123	0.5083655083655084	2
123	0.10159445219672335	1
124	0.5083655083655084	2
124	0.10775887636735301	1
125	0.5073359073359073	2
125	0.2169403121586975	1
126	0.5070785070785071	2
126	0.03117776070914614	1
127	0.5065637065637065	2
127	0.16572817289500497	1
128	0.5065637065637065	2
128	0.15742990958838812	1
129	0.5057915057915058	2
129	0.07539564947154732	1
130	0.505019305019305	2
130	0.056428190484994534	1
131	0.505019305019305	2
131	-0.13194238657520782	1
132	0.505019305019305	2
132	0.16276450742835608	1
133	0.5047619047619047	2
133	0.15742990958838812	1
134	0.5037323037323037	2
134	0.043743702287737364	1
135	0.5034749034749034	2
135	0.07291049199762893	1
136	0.5034109965759686	2
