Rank(ACPA–)	Rho	RA_phenotype
1	0.6701862336684808	2
1	-0.17192075277637797	1
2	0.6019247810961784	2
2	0.49800003769790097	1
3	0.5426079326540398	2
3	0.5763950238172314	1
4	0.5405365506449492	2
4	-0.15887319564602784	1
5	0.5348873269837932	2
5	0.06962351914094388	1
6	0.5266959526751168	2
6	0.18452973655780874	1
7	0.5212350364693328	2
7	0.5133501049100776	1
8	0.5131378158883424	2
8	0.5137886782589969	1
9	0.5072061310441284	2
9	0.24889037551172064	1
10	0.5056055176734675	2
10	0.04561162828761048	1
11	0.4988264492800803	2
11	0.30919421098812877	1
12	0.4951544539003288	2
12	0.0967054234367126	1
13	0.4944953778065273	2
13	-0.2937345004387223	1
14	0.4870572333193385	2
14	0.19417835023403404	1
15	0.4861156960424792	2
15	-0.13990489830526676	1
16	0.48555077367636357	2
16	0.17806077966124859	1
17	0.4844209289441323	2
17	-0.05547952863829544	1
18	0.48340791238845565	2
18	0.18825761002362304	1
19	0.48065477983669497	2
19	0.013924703828188776	1
20	0.4797132425598356	2
20	0.4493183959678551	1
21	0.47943078137677786	2
21	0.13793131823512977	1
22	0.4770769381846294	2
22	0.23025100818264904	1
23	0.4754763248139685	2
23	0.24088641189394286	1
24	0.47284002043876244	2
24	0.4668613299246284	1
25	0.47208679061727493	2
25	0.16556143921704766	1
26	0.4710510996127296	2
26	0.19901354551671874	1
27	0.47095694588504367	2
27	0.4748652935424062	1
28	0.46594157663698343	2
28	0.19911230040937652	1
29	0.4626714178486815	2
29	0.05756275204566226	1
30	0.4625011180035563	2
30	0.03881586507598812	1
31	0.4605058821119051	2
31	0.351626182496074	1
32	0.4601292672011613	2
32	0.2484518021628013	1
33	0.4593760373796738	2
33	-0.010416117036834123	1
34	0.45843450010281445	2
34	0.5438309526599711	1
35	0.4535385062631459	2
35	-0.060526433677811985	1
36	0.4519590922213843	2
36	0.28916112235234875	1
37	0.4478892826019898	2
37	-0.10953369389260305	1
38	0.44757565181123954	2
38	0.16654822925211615	1
39	0.4464769766867008	2
39	0.3242508300325731	1
40	0.44619451550364303	2
40	0.05054557846295296	1
41	0.44449974840529616	2
41	0.3464729456462719	1
42	0.44327574994537905	2
42	0.10646368045016773	1
43	0.4427108275792634	2
43	-0.17597755625388178	1
44	0.4415809828470322	2
44	0.4311176019877029	1
45	0.44026283065942917	2
