Rank(ACPA–)	Rho	RA_phenotype
1	0.6830034050253775	2
1	-0.20690190612047749	1
2	0.67475916708171	2
2	0.12404191014417117	1
3	0.6520284932430211	2
3	0.2004517267929806	1
4	0.6335379773633725	2
4	0.129003586549938	1
5	0.6164153293265247	2
5	-0.08806975620236152	1
6	0.5618765244684165	2
6	-0.3083681886184095	1
7	0.5568031472723134	2
7	0.14415445369236576	1
8	0.5466563928801073	2
8	-0.14314436430637353	1
9	0.5441197042820557	2
9	0.0004961676405766846	1
10	0.5428513599830299	2
10	-0.22253118679864303	1
11	0.5390463270859526	2
11	-0.09451993552985842	1
12	0.5384121549364397	2
12	-0.23716813219565525	1
13	0.5373078490625657	2
13	-0.2525804369343001	1
14	0.5365915421046652	2
14	-0.1453771186889686	1
15	0.536509638487901	2
15	0.2302501429027804	1
16	0.536509638487901	2
16	-0.16139840297226146	1
17	0.5301679169927722	2
17	-0.003721257304325135	1
18	0.5225578511986175	2
18	-0.28504830951130533	1
19	0.5214487035766576	2
19	-0.09428346368863853	1
20	0.5212895068995917	2
20	-0.09228718114726334	1
21	0.5174844740025145	2
21	-0.09228718114726334	1
22	0.5143136132549501	2
22	-0.08261191215601799	1
23	0.5098744082083598	2
23	0.47880177315650063	1
24	0.5079718917598213	2
24	-0.15058687891502376	1
25	0.4990934816666408	2
25	0.0803791577734229	1
26	0.4985354043667457	2
26	0.02927389079402439	1
27	0.497825137367615	2
27	0.28207130366784516	1
28	0.4971909652181022	2
28	-0.15157921419617715	1
29	0.4952884487695635	2
29	-0.10816454564571724	1
30	0.48894672727443467	2
30	-0.06375754181410398	1
31	0.48894672727443467	2
31	0.006946346968073585	1
32	0.4876783829754089	2
32	0.09774502519360687	1
33	0.4876783829754089	2
33	-0.16274298610915255	1
34	0.4864100386763831	2
34	-0.12056873666013435	1
35	0.4864100386763831	2
35	-0.01711778359989562	1
36	0.4851416943773573	2
36	-0.21558483983056945	1
37	0.4826050057793058	2
37	-0.27487687287948326	1
38	0.48133666148028004	2
38	-0.22724477938412155	1
39	0.48006831718125426	2
39	-0.003721257304325135	1
40	0.48006831718125426	2
40	-0.10270670159937371	1
41	0.4787999728822285	2
41	-0.00967526899124535	1
42	0.4787999728822285	2
42	-0.2498204070303607	1
43	0.47816580073271564	2
43	-0.23964897039853866	1
44	0.4756291121346641	2
44	-0.04936868023738012	1
45	0.4737265956861254	2
45	-0.13570184969772325	1
46	0.4724582513870996	2
46	-0.26371310096650785	1
47	0.4718240792375868	2
47	-0.12652274834705457	1
48	0.46738487419099656	2
48	0.14514691120487774	1
49	0.4655534183272155	2
49	0.06772688293871745	1
50	0.4655534183272155	2
50	0.08112340923428794	1
51	0.4654823577424579	2
51	-0.22451585736094978	1
52	0.4654823577424579	2
52	0.09253526496755168	1
53	0.46231149699489343	2
53	-0.20764615758134253	1
54	0.4610431526958677	2
54	0.10469137216168045	1
55	0.4604089805463548	2
55	0.1724182551003979	1
56	0.4597748083968419	2
56	-0.12853908268190278	1
57	0.45850646409781615	2
57	-0.16150256700771085	1
58	0.45787229194830326	2
58	0.43365051786402237	1
59	0.45723811979879037	2
59	-0.04539933911276665	1
60	0.45406725905122597	2
60	-0.053834189002570275	1
61	0.4534330869017131	2
61	-0.1518272980164655	1
62	0.45279891475220013	2
62	-0.23964897039853866	1
63	0.4521647426026873	2
63	-0.0352279024809446	1
64	0.4521647426026873	2
64	0.1806050211699132	1
65	0.44962805400463574	2
65	-0.17440292566270466	1
66	0.44962805400463574	2
66	0.03473173484036792	1
67	0.4477255375560971	2
67	-0.026793052591140967	1
68	0.44518884895804556	2
68	-0.13743843643974163	1
69	0.44518884895804556	2
69	0.014636945397012196	1
70	0.44392050465901983	2
70	0.00446605880630393	1
71	0.4432863325095069	2
71	-0.12776316744849628	1
72	0.4432863325095069	2
72	-0.04713592585478504	1
73	0.442652160359994	2
73	-0.4110748902177832	1
74	0.442652160359994	2
74	0.004217424944901819	1
75	0.442652160359994	2
75	-0.04862442877651509	1
76	0.44138381606096827	2
76	-0.041181914167864826	1
77	0.44011547176194243	2
77	-0.1711778359989562	1
78	0.44011547176194243	2
78	0.3642319070918983	1
79	0.44011547176194243	2
79	-0.18804753577856345	1
80	0.4394812996124296	2
80	-0.30042950636918253	1
81	0.4394812996124296	2
81	-0.07789831957053948	1
82	0.4382129553134038	2
82	-0.340619085255894	1
83	0.4375787831638909	2
83	-0.05457844046343531	1
84	0.4354256426180292	2
84	-0.4480393794407462	1
85	0.4350420945658394	2
85	-0.31060094300100455	1
86	0.4344079224163265	2
86	-0.1602621479062691	1
87	0.4337737502668136	2
87	-0.1912726254423119	1
88	0.43313957811730075	2
88	-0.12677083216734292	1
89	0.43313957811730075	2
89	-0.21707334275229953	1
90	0.4293345452202234	2
90	-0.05036101551853349	1
91	0.4267978566221719	2
91	-0.01811011888104899	1
92	0.4248953401736332	2
92	0.07070388878217755	1
93	0.42426116802412034	2
93	0.10742029418485222	1
94	0.42426116802412034	2
94	-0.30737585333725614	1
95	0.42362699587460745	2
95	0.03622469920668744	1
96	0.42362699587460745	2
96	-0.16447957285117096	1
97	0.42299282372509456	2
97	0.0451512552924783	1
98	0.4223586515755817	2
98	0.06550219582579098	1
99	0.4223586515755817	2
99	0.1414077775643551	1
100	0.4223586515755817	2
100	0.02034287326364407	1
101	0.4217244794260688	2
101	-0.20342873263644068	1
102	0.4217244794260688	2
102	-0.19623430184807875	1
103	0.4217244794260688	2
103	0.2592475922013177	1
104	0.4217244794260688	2
104	-0.1736586742018396	1
105	0.4210903072765559	2
105	-0.2103750796045143	1
106	0.4185536186785043	2
106	-0.20690190612047749	1
107	0.4172852743794786	2
107	-0.07690598428938612	1
108	0.4172852743794786	2
108	0.03622023776209798	1
109	0.4160804392679201	2
109	-0.19325729600461866	1
110	0.4160169300804528	2
110	-0.2819819907424676	1
111	0.4160169300804528	2
111	-0.08806975620236152	1
112	0.4153827579309399	2
112	0.14909837599329373	1
113	0.41284606933288837	2
113	-0.22029843241604796	1
114	0.41164055653182946	2
114	-0.40164770504682623	1
115	0.41157772503386264	2
115	0.14612137014983362	1
116	0.41094355288434975	2
116	-0.11065901264508626	1
117	0.41094355288434975	2
117	-0.2309660366884467	1
118	0.41030938073483686	2
118	-0.11188580295004237	1
119	0.4091034806826348	2
119	0.06772688293871745	1
120	0.4090410364358111	2
120	0.25899950838102936	1
121	0.4084068642862982	2
121	-0.14760987307156367	1
122	0.4084068642862982	2
122	0.0007442514608650269	1
123	0.40713851998727246	2
123	0.1424001128455085	1
124	0.4065043478377595	2
124	-0.03894915978526974	1
125	0.4058701756882466	2
125	0.009179101350668666	1
126	0.4052360035387338	2
126	-0.01513311303758888	1
127	0.4046018313892209	2
127	-0.06226903889237392	1
128	0.4046018313892209	2
128	-0.12329765868330612	1
129	0.403967659239708	2
129	-0.06673454765756408	1
130	0.4033334870901951	2
130	-0.1337171791354165	1
131	0.40269931494068223	2
131	-0.018606286521625673	1
132	0.40212652209734956	2
132	0.10667604272398719	1
133	0.4007967984921436	2
133	-0.23146220432902334	1
134	0.4007967984921436	2
134	0.13694226879916496	1
135	0.40016262634263067	2
135	0.05482652428372365	1
136	0.39889428204360494	2
136	-0.0932795164284167	1
137	0.39889428204360494	2
137	-0.3770874068382803	1
138	0.3980037738424083	2
138	-0.23493537781306018	1
139	0.3976259377445791	2
139	-0.16497574049174762	1
140	0.39699176559506627	2
140	-0.015629280678165568	1
141	0.39699176559506627	2
141	-0.2738845375983299	1
142	0.3963575934455534	2
142	-0.12579398971089403	1
143	0.39584427132826566	2
143	-0.5108675045655441	1
144	0.39546669799321366	2
144	-0.16350737518634945	1
145	0.3950892491465276	2
145	0.05482652428372365	1
146	0.3938209048475018	2
146	-0.22724477938412155	1
147	0.3931867326979889	2
147	0.3096086077198512	1
148	0.3925525605484761	2
148	-0.2597437598418944	1
149	0.39128421624945026	2
149	0.06524604473583402	1
150	0.39128421624945026	2
150	-0.064501793274969	1
151	0.39065004409993737	2
151	-0.11188580295004237	1
152	0.3903925462948244	2
152	0.052345686080840226	1
153	0.3894411428513764	2
153	-0.051849518440263545	1
154	0.38938169980091164	2
154	-0.06226903889237392	1
155	0.38938169980091164	2
155	0.3684044731281883	1
156	0.38874752765139875	2
156	0.0339874833795029	1
157	0.38874752765139875	2
157	-0.09005442676466827	1
158	0.38874752765139875	2
158	-0.07467322990679102	1
159	0.3868450112028601	2
159	-0.009427185170957007	1
160	0.38626979803988315	2
160	-0.06003628450977884	1
161	0.38621083905334724	2
161	0.4177731533655685	1
162	0.38621083905334724	2
162	-0.3289591457023419	1
163	0.3849424947543214	2
163	-0.06202095507208558	1
164	0.3849424947543214	2
164	0.07665790046909778	1
165	0.3843083226048085	2
165	0.09501610317043511	1
166	0.3836741504552957	2
166	-0.0404376627069998	1
167	0.3830399783057828	2
167	-0.08806975620236152	1
168	0.3824058061562699	2
168	-0.1602621479062691	1
169	0.3824058061562699	2
169	-0.07640981664880944	1
170	0.3824058061562699	2
170	-0.057307362486607075	1
171	0.3824058061562699	2
171	-0.28430405805044023	1
172	0.381771634006757	2
172	-0.07640981664880944	1
173	0.3811374618572441	2
173	-0.12404191014417117	1
174	0.38050328970773123	2
174	-0.2408893894999804	1
175	0.37992710841689653	2
175	0.19499388274663704	1
176	0.3798691175582184	2
176	-0.1143666411529258	1
177	0.37860077325919256	2
177	-0.0808753254139996	1
178	0.37796660110967967	2
178	-0.28207130366784516	1
179	0.37796660110967967	2
179	0.11486280879350248	1
180	0.37796660110967967	2
180	-0.005209760226055188	1
181	0.37796660110967967	2
181	-0.25279741287382085	1
182	0.37542991251162816	2
182	-0.05581885956487702	1
183	0.37485295671850727	2
183	-0.30191800929091256	1
184	0.37479574036211527	2
184	-0.05879586540833713	1
185	0.3742186877562086	2
185	-0.1905283739814469	1
186	0.3741615682126024	2
186	-0.08509275035890142	1
187	0.3735273960630895	2
187	-0.09600843845158848	1
188	0.3735273960630895	2
188	-0.08633316946034313	1
189	0.3735273960630895	2
189	0.03969341124613477	1
190	0.37289322391357665	2
190	-0.4287416454051773	1
191	0.3716248796145508	2
191	-0.053338021361993594	1
192	0.370990707465038	2
192	-0.03994149506642311	1
193	0.36972236316601215	2
193	-0.40437662706999794	1
194	0.36972236316601215	2
194	-0.08931017530380322	1
195	0.36914453605781933	2
195	0.13743843643974163	1
196	0.3690881910164993	2
196	0.18383011083366166	1
197	0.3690881910164993	2
197	-0.05259376990112857	1
198	0.3690881910164993	2
198	-0.23295070725075342	1
199	0.3690881910164993	2
199	-0.06822305057929413	1
200	0.36781984671747353	2
200	-0.04837634495622675	1
201	0.36781984671747353	2
201	-0.1131262220514841	1
202	0.36724172917092335	2
202	-0.1741548418424163	1
203	0.36591733026893486	2
203	0.015134977065807765	1
204	0.36591733026893486	2
204	-0.11039730002831233	1
205	0.36528315811942197	2
205	-0.007938682249226954	1
206	0.36464898596990913	2
206	0.1314844247528214	1
207	0.36401481382039624	2
207	-0.2542859157955509	1
208	0.36274646952137046	2
208	-0.14415445369236576	1
209	0.3625400658078587	2
209	0.1531054324608765	1
210	0.36211229737185757	2
210	-0.0176139512404723	1
211	0.36211229737185757	2
211	-0.027289220231717655	1
212	0.36211229737185757	2
212	-0.2103750796045143	1
213	0.3602097809233189	2
213	-0.0451512552924783	1
214	0.359575608773806	2
214	0.01910245416220236	1
215	0.3589414366242931	2
215	-0.22426777354066144	1
216	0.3589414366242931	2
216	-0.21360016926826272	1
217	0.3583072644747803	2
217	-0.10270670159937371	1
218	0.3583072644747803	2
218	-0.17737993150616474	1
219	0.3576730923252674	2
219	-0.04887251259680343	1
220	0.3576730923252674	2
220	0.21285591780739768	1
221	0.3570934257741448	2
221	-0.17638759622501138	1
222	0.35703892017575445	2
222	-0.17489909330328132	1
223	0.3557705758767287	2
223	-0.18854370341914015	1
224	0.35556204179405915	2
224	0.19921130769153889	1
225	0.35513640372721583	2
225	-0.05879586540833713	1
226	0.35450223157770294	2
226	-0.1987151400509622	1
227	0.35450223157770294	2
227	0.14711370543098698	1
228	0.35386805942819005	2
228	-0.12801125126878463	1
229	0.35323388727867716	2
229	0.12652274834705457	1
230	0.35323388727867716	2
230	-0.07814640339082783	1
231	0.35323388727867716	2
231	-0.10245861777908537	1
232	0.3526535430380542	2
232	-0.14612137014983362	1
233	0.35259971512916427	2
233	0.1354537658774349	1
234	0.35259971512916427	2
234	0.033243231918637865	1
235	0.35196554297965144	2
235	0.27487687287948326	1
236	0.35133137083013855	2
236	0.0017365867420183962	1
237	0.3506971986806256	2
237	0.047880177315650065	1
238	0.3506971986806256	2
238	0.04267041708959488	1
239	0.3500630265311127	2
239	-0.06673454765756408	1
240	0.3494288543815999	2
240	-0.13793460408031832	1
241	0.3494288543815999	2
241	-0.06599029619669905	1
242	0.3494288543815999	2
242	-0.020839040904220753	1
243	0.3494288543815999	2
243	-0.03101047753604279	1
244	0.3488479292642622	2
244	-0.24461064680430553	1
245	0.34816051008257404	2
245	-0.14885029217300538	1
246	0.34816051008257404	2
246	-0.20963082814364925	1
247	0.3475263379330612	2
247	-0.07516939754736772	1
248	0.3475263379330612	2
