Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.5657536360629255	0.00014210206382783726	2	glutamate
1	0.19877999445196012	0.22507521702690356	1	glutamate
2	0.4493559749390228	0.0036286277005511255	2	mannose
2	0.43766269708696104	0.005330433253252905	1	mannose
3	0.4352859279899796	0.004997828523614303	2	erythritol
3	-0.16722944882092225	0.30888835443005475	1	erythritol
4	0.424954774635787	0.006269865749825606	2	dimethylglycine
4	-0.3476338507624977	0.030122401597276666	1	dimethylglycine
5	0.41974000199033756	0.007011947099975976	2	5-(galactosylhydroxy)-lysine
5	-0.23726472593597334	0.14584381736711902	1	5-(galactosylhydroxy)-lysine
6	0.40990080831967796	0.008619721753709566	2	N-acetylglucosamine/N-acetylgalactosamine
6	0.3961731517333252	0.012535261558066928	1	N-acetylglucosamine/N-acetylgalactosamine
7	0.4066538744083602	0.009215399389792841	2	4-hydroxyphenylpyruvate
7	0.14550233314826616	0.3767962743021007	1	4-hydroxyphenylpyruvate
8	0.3969130726744073	0.011218424548154266	2	pro-hydroxy-pro
8	0.04276081276001468	0.7960434019091323	1	pro-hydroxy-pro
9	0.39661789686428744	0.011284498503331908	2	palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*
9	0.02380737142854871	0.8856110532943214	1	palmitoyl-oleoyl-glycerol (16:0/18:1) [2]*
10	0.39228865164919724	0.012292340784377265	2	X-24337
10	-0.01687318557557336	0.9187949397133701	1	X-24337
11	0.38884493386446645	0.013147747493214063	2	C-glycosyltryptophan
11	-0.025772057420225064	0.8762413540067725	1	C-glycosyltryptophan
12	0.3842205128392564	0.01437547289446624	2	X-12117
12	0.02831459223298269	0.8641406837224568	1	X-12117
13	0.37864222575543005	0.01598426208665121	2	X-18887
13	0.06796878161471291	0.680976649122419	1	X-18887
14	0.3750384580918035	0.017102334239845456	2	X-12718
14	0.09409283713329306	0.5688418904689617	1	X-12718
15	0.3689697626497341	0.019133822763939205	2	alpha-hydroxyisovalerate
15	0.2105681104020182	0.1982001657298666	1	alpha-hydroxyisovalerate
16	0.3607048399663801	0.0222228092236016	2	N1-methylinosine
16	0.18619231307873746	0.25641809254607373	1	N1-methylinosine
17	0.35962252866260747	0.02265653162378204	2	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
17	0.04114283606098709	0.803606327720014	1	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
18	0.35735951411835576	0.023586244632694934	2	X-24588
18	-0.24477676061002995	0.13313631224472525	1	X-24588
19	0.35145599791596005	0.026162125877474386	2	N6-carbamoylthreonyladenosine
19	-0.01906901109568222	0.9082693431610168	1	N6-carbamoylthreonyladenosine
20	0.34948815918182813	0.02707094431426832	2	3-(3-amino-3-carboxypropyl)uridine*
20	-0.1089822876559293	0.5089829441489431	1	3-(3-amino-3-carboxypropyl)uridine*
21	0.3482090640046423	0.02767558253440663	2	N1-methyladenosine
21	-0.19704644798871626	0.2292282038830545	1	N1-methyladenosine
22	0.347323536574283	0.02810069127571667	2	N-stearoyl-sphinganine (d18:0/18:0)*
22	0.19739315728136506	0.2283934530463363	1	N-stearoyl-sphinganine (d18:0/18:0)*
23	0.3405344929415279	0.03154255566440088	2	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
23	0.11718774091528346	0.47740633744654215	1	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
24	0.3403377090681147	0.03164727296963028	2	mannonate*
24	0.15601918169194542	0.34289312681375406	1	mannonate*
25	0.3401409251947015	0.031752276216133676	2	quinolinate
25	0.14284422857129228	0.3856685760451678	1	quinolinate
26	0.3367180504873874	0.03362504740924062	2	1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*
26	0.12314581600583165	0.4551397156761915	1	1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*
27	0.33285992187841346	0.03584367525444906	2	5,6-dihydrouridine
27	-0.2111459592230995	0.19694335180358863	1	5,6-dihydrouridine
28	0.3301554335946306	0.03746922022086436	2	1,2-dipalmitoyl-GPE (16:0/16:0)*
28	0.02808345270455018	0.865239525384346	1	1,2-dipalmitoyl-GPE (16:0/16:0)*
29	0.32941620409368255	0.037923863859543244	2	pseudouridine
29	-0.14665803079042872	0.372976721505485	1	pseudouridine
30	0.32715318954943085	0.03934373640729631	2	gamma-glutamylisoleucine*
30	-0.001849116227460094	0.991086209842411	1	gamma-glutamylisoleucine*
31	0.32489017500517914	0.0408066261945878	2	palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*
31	0.019739639755679543	0.905057705972536	1	palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*
32	0.3244966072583528	0.04106550081845395	2	N-palmitoyl-sphingosine (d18:1/16:0)
32	0.4799612307901107	0.0019878036554578857	1	N-palmitoyl-sphingosine (d18:1/16:0)
33	0.3222335927141011	0.042580061538203824	2	X-12127
33	-0.04044941747568956	0.8068530294496663	1	X-12127
34	0.3218551217154111	0.04283772890559129	2	6-oxopiperidine-2-carboxylate
34	0.16861628599151732	0.30483566915654775	1	6-oxopiperidine-2-carboxylate
35	0.32016736204326257	0.04400221781928447	2	X-12411
35	-0.31423418890399973	0.05138968951423343	1	X-12411
36	0.31839630718254386	0.045251619595862665	2	isoleucine
36	0.2838393409151244	0.07992512394767123	1	isoleucine
37	0.31688149421137496	0.046342885818416425	2	N-acetyl-1-methylhistidine*
37	-0.1490849958389701	0.36503086499770065	1	N-acetyl-1-methylhistidine*
38	0.3126895748535613	0.049473925964349144	2	gamma-glutamylvaline
38	-0.09777202052695248	0.5537555463991424	1	gamma-glutamylvaline
39	0.305703747347393	0.05506830292099692	2	hypoxanthine
39	0.29759214285685887	0.06577836623311557	1	hypoxanthine
40	0.3056806002138975	0.05508764680661245	2	X-12096
40	-0.11108503253697129	0.5007924138652822	1	X-12096
41	0.30098093438547635	0.059129157474375915	2	N-stearoyl-sphingosine (d18:1/18:0)*
41	0.2566804463243043	0.11470977978178112	1	N-stearoyl-sphingosine (d18:1/18:0)*
42	0.2967500811070928	0.06296633725911302	2	X-24728
42	-0.06552805631061709	0.6918580677936839	1	X-24728
43	0.2943886746261345	0.06519238736923867	2	hydantoin-5-propionate
43	0.3627734898748272	0.023222832328104608	1	hydantoin-5-propionate
44	0.2931095794489488	0.06642391353126073	2	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
44	0.09673189264900617	0.5580014410771226	1	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
45	0.29271601170212236	0.06680652196913	2	hydroxyasparagine**
45	-0.14018612399431837	0.3946620585095747	1	hydroxyasparagine**
46	0.2924208358920026	0.06709461952999872	2	X-24334
