Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.5487117958138681	0.0005299455719465334	2	valylglycine
1	0.15657436546411957	0.3547364421517869	1	valylglycine
2	0.49214929214929215	0.0022972165971332716	2	N-acetylneuraminate
2	0.2792958335769898	0.09411473252308632	1	N-acetylneuraminate
3	0.4692406692406692	0.0038888888537796464	2	inosine 5'-monophosphate (IMP)
3	0.3158081921261039	0.056896574438595804	1	inosine 5'-monophosphate (IMP)
4	0.4597168597168597	0.004790749064214077	2	hypoxanthine
4	0.3842095910963599	0.01888689747050169	1	hypoxanthine
5	0.4585479039728037	0.00491300291977978	2	leucylglycine
5	0.2610396543024327	0.11863242295151133	1	leucylglycine
6	0.4535392535392535	0.0054678191889087025	2	5-(galactosylhydroxy)-lysine
6	-0.04137276991441826	0.8079069397772496	1	5-(galactosylhydroxy)-lysine
7	0.4401544401544401	0.007222612787251078	2	3-phosphoglycerate
7	0.3453263001739266	0.03632032206661617	1	3-phosphoglycerate
8	0.43397683397683395	0.008182948006735044	2	3-bromo-5-chloro-2,6-dihydroxybenzoic acid*
8	0.29624800004622137	0.07501656692949364	1	3-bromo-5-chloro-2,6-dihydroxybenzoic acid*
9	0.42393822393822395	0.00997593026478112	2	glutamate
9	0.047655740703713874	0.7794097585098432	1	glutamate
10	0.4185328185328185	0.011072696802914318	2	N-stearoyl-sphingosine (d18:1/18:0)*
10	0.003674945178644602	0.9827777056061082	1	N-stearoyl-sphingosine (d18:1/18:0)*
11	0.40669240669240664	0.01383658640367923	2	2-hydroxynervonate*
11	-0.08606484515148326	0.6125160468327574	1	2-hydroxynervonate*
12	0.4054054054054054	0.014169314202996849	2	sphingadienine
12	0.2074565826654211	0.217928710820061	1	sphingadienine
13	0.4031925983275747	0.014757146316184501	2	isoleucylglycine
13	0.019939482142450803	0.906752473688992	1	isoleucylglycine
14	0.4018018018018018	0.015137010032903206	2	inosine
14	0.3642937591604794	0.02664709913568223	1	inosine
15	0.4015444015444016	0.015208206771414639	2	aspartate
15	0.31438563270211245	0.05808406349972048	1	aspartate
16	0.4005148005148005	0.015495815340729706	2	glycosyl ceramide (d18:1/23:1, d17:1/24:1)*
16	0.17652637818612923	0.2959539636595073	1	glycosyl ceramide (d18:1/23:1, d17:1/24:1)*
17	0.39665379665379663	0.016615380377926526	2	4-hydroxyphenylpyruvate
17	0.28700136379027685	0.08501788214553885	1	4-hydroxyphenylpyruvate
18	0.38944658944658944	0.018886948256189376	2	C-glycosyltryptophan
18	-0.005927330933297745	0.972225409610658	1	C-glycosyltryptophan
19	0.38635778635778634	0.01993692556212641	2	X-12117
19	-0.10716614327402324	0.5278347783551132	1	X-12117
20	0.38389202567009306	0.020809632585841783	2	1H-indole-7-acetic acid
20	0.06456416111707466	0.704208534217408	1	1H-indole-7-acetic acid
21	0.3696267696267696	0.026505116770878065	2	X-12127
21	-0.037934917973105574	0.8236060914905524	1	X-12127
22	0.36859716859716857	0.02696159318569013	2	pro-hydroxy-pro
22	-0.0662675598342688	0.6967705197533981	1	pro-hydroxy-pro
23	0.36366009576954805	0.029241406156787116	2	5-acetylamino-6-formylamino-3-methyluracil
23	-0.19595288700706115	0.24509920711896882	1	5-acetylamino-6-formylamino-3-methyluracil
24	0.36087516087516086	0.03059576681352659	2	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
24	0.07314326371689418	0.6670358693862868	1	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
25	0.3603603603603603	0.03085166870136978	2	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
25	0.265544425811739	0.11217963005470134	1	glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)
26	0.3572715572715573	0.032424174019518553	2	sphingosine
26	0.21207990079339334	0.20761614463257655	1	sphingosine
27	0.35389575913677157	0.034217149175254535	2	X-18887
27	-0.06970954356846473	0.6818262546742195	1	X-18887
28	0.3513513513513513	0.03562134843878961	2	flavin adenine dinucleotide (FAD)
28	-0.24580542275325798	0.14252175559940608	1	flavin adenine dinucleotide (FAD)
29	0.349034749034749	0.036940312483764996	2	N-acetylvaline
29	-0.4376741161147055	0.006747519621029318	1	N-acetylvaline
30	0.3462033462033462	0.038606022525303825	2	beta-citrylglutamate
30	0.24503586078252879	0.14381583983172974	1	beta-citrylglutamate
31	0.3387387387387387	0.04329113165278854	2	ceramide (d16:1/24:1, d18:1/22:1)*
31	-0.09934795494961471	0.5585349795778104	1	ceramide (d16:1/24:1, d18:1/22:1)*
32	0.3341055341055341	0.04642280586372443	2	mannose
32	0.22476438899065052	0.181075796951897	1	mannose
33	0.33178893178893176	0.04805554973139742	2	N-palmitoyl-sphingosine (d18:1/16:0)
