Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.5202934991924734	0.0005787539174534611	2	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
1	-0.061180982174246744	0.7151946600723496	1	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
2	0.4798073962875215	0.001730586911662176	2	5-(galactosylhydroxy)-lysine
2	-0.3203778313855717	0.049878708381084165	1	5-(galactosylhydroxy)-lysine
3	0.45721050164289734	0.0030169582579977587	2	mannose
3	0.3810105968736693	0.018272771173829482	1	mannose
4	0.4435582111284368	0.004147025111169695	2	N-stearoyl-sphingosine (d18:1/18:0)*
4	0.21610701768000062	0.19252918020706491	1	N-stearoyl-sphingosine (d18:1/18:0)*
5	0.4147471704565409	0.007792156649719176	2	4-hydroxyphenylpyruvate
5	-0.09835007349516009	0.5569047710724992	1	4-hydroxyphenylpyruvate
6	0.4075914871524099	0.009039872022844292	2	quinolinate
6	-0.0480237817066668	0.7746372795766776	1	quinolinate
7	0.3994001128437336	0.010674684308029458	2	C-glycosyltryptophan
7	-0.062277415546545076	0.7103095908491013	1	C-glycosyltryptophan
8	0.39384504291026345	0.011921545486181831	2	N-palmitoyl-heptadecasphingosine (d17:1/16:0)*
8	0.18595509994179654	0.2636542906384529	1	N-palmitoyl-heptadecasphingosine (d17:1/16:0)*
9	0.38998474007514017	0.012859199341135498	2	hydantoin-5-propionate
9	-0.08223250292237466	0.6235577901720466	1	hydantoin-5-propionate
10	0.38808032919360597	0.013344374751607681	2	X-12104
10	0.05471202527768661	0.744238539318562	1	X-12104
11	0.3872411031839798	0.013563057294215966	2	valylglycine
11	0.1889029964369975	0.25602364542504996	1	valylglycine
12	0.38339397913712475	0.014604822222432324	2	X-12117
12	-0.03004227440097421	0.8579008870474787	1	X-12117
13	0.3791570613912577	0.015829685249423558	2	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
13	0.04111625146118733	0.8063833658846884	1	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
14	0.373239451627304	0.017684669559245293	2	X-12096
14	-0.07786381119552062	0.6421768361231428	1	X-12096
