Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.6062685749343184	0.0008021395101457267	2	dimethyl sulfone
1	0.05457844046343531	0.7785608781013287	1	dimethyl sulfone
2	0.5396804992354655	0.0036684657381784312	2	isoursodeoxycholate
2	-0.10469137216168045	0.5888728742411511	1	isoursodeoxycholate
3	0.47254585429504625	0.012810392022671568	2	1,3,7-trimethylurate
3	0.011665687613824105	0.9521076944405416	1	1,3,7-trimethylurate
4	0.469993301063306	0.013371718951303931	2	N-carbamoylalanine
4	0.20030233839055434	0.2974956278740485	1	N-carbamoylalanine
5	0.41982196297753016	0.029250196875585888	2	X-25519
5	0.27686154344179004	0.14595732808014641	1	X-25519
6	0.4191877908280172	0.029520613875909953	2	glycoursodeoxycholate
6	0.03646832158238632	0.8510243935197972	1	glycoursodeoxycholate
7	0.4134802414824013	0.03204624288788409	2	docosapentaenoate (n3 DPA; 22:5n3)
7	-0.09253526496755168	0.6330598049884464	1	docosapentaenoate (n3 DPA; 22:5n3)
8	0.39445507699701476	0.04174381707800049	2	dihomo-linolenate (20:3n3 or n6)
8	-0.1252823292456129	0.5172771558948378	1	dihomo-linolenate (20:3n3 or n6)
9	0.39065004409993737	0.043937279972968805	2	5-(galactosylhydroxy)-lysine
9	-0.03969341124613477	0.838014889897028	1	5-(galactosylhydroxy)-lysine
10	0.38874752765139875	0.04506772146111082	2	X-23639
10	0.08236382833572965	0.6710149043298032	1	X-23639
11	0.38747918335237297	0.04583404208468693	2	pyridoxate
11	-0.29571591378370404	0.11935247970841369	1	pyridoxate
12	0.3850012601152858	0.04736086532215183	2	X-26058
12	0.05185590502875119	0.789354714004815	1	X-26058
13	0.38443741487851774	0.04771383010027201	2	11beta-hydroxyetiocholanolone glucuronide*
13	-0.025813436422078874	0.8942591572142691	1	11beta-hydroxyetiocholanolone glucuronide*
14	0.3810340056576918	0.049888613309063766	2	valylglycine
14	-0.09798666962959467	0.6130790887596174	1	valylglycine
15	0.3792349454087055	0.051069301440373825	2	hydroxyasparagine**
15	0.011411855733263747	0.9531486325630982	1	hydroxyasparagine**
16	0.37391307803473045	0.05469079435051362	2	3-hydroxy-2-methylpyridine sulfate
16	-0.016629810002685427	0.9317679125889111	1	3-hydroxy-2-methylpyridine sulfate
17	0.36591733026893486	0.060505999476338994	2	N1-methyl-2-pyridone-5-carboxamide
17	-0.10816454564571724	0.576499648259736	1	N1-methyl-2-pyridone-5-carboxamide
18	0.36591733026893486	0.060505999476338994	2	N1-methyl-4-pyridone-3-carboxamide
