Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.668483137336246	2.4280063144960967e-06	2	TRIAP1_18277-28
1	0.30374172920713943	0.056727345384353076	1	TRIAP1_18277-28
2	0.6536425674754722	4.804632612586773e-06	2	MYL3_18376-19
2	0.3325666784703826	0.03601709121321827	1	MYL3_18376-19
3	0.646597993174472	6.558452116791632e-06	2	MLN_5631-83
3	0.2823342750311803	0.07754289616367835	1	MLN_5631-83
4	0.6213314533482179	1.881386119350173e-05	2	TAGLN_9756-6
4	0.49856834067694294	0.0010592552269684337	1	TAGLN_9756-6
5	0.5882689179621904	6.549741050510121e-05	2	TAGLN_15640-54
5	0.5026996037635315	0.0009471309837473487	1	TAGLN_15640-54
6	0.5855450158991369	7.215135068694287e-05	2	TFPI_3336-50
6	0.14318582288744594	0.37808802074483994	1	TFPI_3336-50
7	0.584022603375647	7.613190063491245e-05	2	MYL6B_14227-21
7	0.14299803820169193	0.3787203047577218	1	MYL6B_14227-21
8	0.5813182713185368	8.369687343099156e-05	2	ACSS2_25094-9
8	-0.0070419257157760306	0.9656016805778894	1	ACSS2_25094-9
9	0.5779368756540567	9.411173244148644e-05	2	PDLIM3_22527-4
9	0.4454252746085532	0.003973462803334616	1	PDLIM3_22527-4
10	0.5731465651293766	0.00011087895636451086	2	TAGLN2_11636-33
10	0.08600538607534458	0.5977237081091795	1	TAGLN2_11636-33
11	0.5568031527510561	0.00019040621157826858	2	PRKAR1A_21483-155
11	-0.07210931932954655	0.6583631799811231	1	PRKAR1A_21483-155
12	0.5568031527510561	0.00019040621157826858	2	PGM5_25117-17
12	0.5272993975973091	0.00047211553268265705	1	PGM5_25117-17
13	0.5561456591496294	0.00019447968036166708	2	EIF2B1_10080-9
13	0.13304544985672845	0.41311823837730666	1	EIF2B1_10080-9
14	0.5554881655482027	0.00019863152819966462	2	SHD_23554-2
14	0.35021843893126126	0.0267306704714698	1	SHD_23554-2
15	0.5527642634851493	0.00021669630671682964	2	CGB3_21391-17
15	0.3289987694410561	0.038182578869384365	1	CGB3_21391-17
16	0.552508396148863	0.00021846698194838204	2	CD79A_7796-10
16	0.2166096350172707	0.17942719118772263	1	CD79A_7796-10
17	0.5497585784500558	0.0002383357800078307	2	CUL4B_13743-56
17	0.05380031246852887	0.7416174056239998	1	CUL4B_13743-56
18	0.5493828678206693	0.00024117314050085522	2	TALDO1_11347-9
18	-0.15745745900475203	0.33187663970601533	1	TALDO1_11347-9
19	0.5476921699884291	0.00025432110213929746	2	CRTAC1_5632-6
19	0.3450543600730255	0.02921474492959694	1	CRTAC1_5632-6
20	0.5470346763870024	0.0002596058888975548	2	CRIM1_6502-50
20	-0.25529328028260034	0.11185979162325715	1	CRIM1_6502-50
21	0.5465650381002691	0.0002634409841475715	2	HSD17B7_9929-16
21	0.08722598653274576	0.5925156102857649	1	HSD17B7_9929-16
22	0.5398275676075341	0.0003243583009112691	2	DKK2_6546-41
22	0.6526456753381225	5.023371785938723e-06	1	DKK2_6546-41
23	0.5356694298480554	0.0003679920680967444	2	PREP_14273-19
23	0.13689503591468605	0.39960794437979086	1	PREP_14273-19
24	0.5344483703025488	0.0003817686893549222	2	ADAMTS5_3168-8
24	0.26065737006877276	0.1042717783933238	1	ADAMTS5_3168-8
25	0.5330394554423487	0.0003982379849791214	2	TIMP4_6462-12
25	0.023566978062130445	0.8852286937305522	1	TIMP4_6462-12
26	0.531254829952762	0.0004200117621421294	2	AGA_10435-2
26	0.42082548077477555	0.006851533602344738	1	AGA_10435-2
27	0.5310669746380687	0.0004223646575134729	2	ARFIP2_12630-8
27	0.29144183229025067	0.06805717838807092	1	ARFIP2_12630-8
28	0.5280612896029753	0.00046165128652792117	2	ACTN2_9844-138
28	0.35150247292955716	0.026140971840306598	1	ACTN2_9844-138
29	0.5234588343929883	0.0005281650887923681	2	TREM1_9266-1
29	0.12619130882670646	0.4378048390108279	1	TREM1_9266-1
30	0.5174474643228016	0.0006278885628066496	2	HSPB6_19127-1
30	0.4529366620387143	0.0033375277511024514	1	HSPB6_19127-1
31	0.5165081877493349	0.0006449027355846503	2	ESAM_7841-84
31	0.07342381212982475	0.6525256395328352	1	ESAM_7841-84
32	0.5162264047772949	0.0006500865780504657	2	GALK1_11448-34
32	0.023848655090761492	0.8838662099621943	1	GALK1_11448-34
33	0.5150053452317882	0.0006729820522213564	2	ASB9_19601-15
33	0.36974804624968005	0.018862487079653042	1	ASB9_19601-15
34	0.510215034707108	0.0007699049663253003	2	VEGFA_2597-8
34	0.19952122861365415	0.21708188844320636	1	VEGFA_2597-8
35	0.509651468763028	0.0007820880303244439	2	HNRNPK_19333-4
35	0.06675745578555677	0.6823341744573419	1	HNRNPK_19333-4
36	0.5091818304762947	0.0007923714021706792	2	HEXB_6075-61
36	0.4691800373564376	0.0022580813527473646	1	HEXB_6075-61
37	0.5088061198469079	0.0008006845921775827	2	FABP4_15386-7
37	0.2741656412008801	0.08690252460764411	1	FABP4_15386-7
38	0.507678987958748	0.0008260919933252988	2	RAB1A_19223-6
38	0.060184991784165795	0.7121964213556322	1	RAB1A_19223-6
39	0.5074911326440548	0.0008303956105337332	2	AMPH_24908-19
39	0.06309565441335323	0.6989162584407279	1	AMPH_24908-19
40	0.5070214943573214	0.0008412420653307938	2	PCDHGA1_6457-50
40	0.16637723157806833	0.3048593464582867	1	PCDHGA1_6457-50
41	0.5065286511786372	0.000852759825321998	2	TNNT2_5315-22
41	0.3809860515324371	0.015290701767728038	1	TNNT2_5315-22
42	0.5041097369795746	0.0009113487963838888	2	CNMD_9928-125
42	-0.016712837032108446	0.9184736959985914	1	CNMD_9928-125
43	0.5036400986928412	0.0009231300828925272	2	NTN1_6649-51
43	0.3701879256110002	0.018710563959108	1	NTN1_6649-51
44	0.5029826050914145	0.0009398512880064411	2	MAP2K2_3628-3
44	0.12215393808299486	0.4527189014673455	1	MAP2K2_3628-3
45	0.5027008221193745	0.000947099536667662	2	REG4_11102-22
45	0.17811377443769505	0.271510481112921	1	REG4_11102-22
46	0.5011979796018278	0.0009866022437299796	2	CBR1_12381-26
46	0.14515756208786323	0.37148678917050837	1	CBR1_12381-26
47	0.5000708477136677	0.0010171827300563228	2	EEF1G_24111-10
47	-0.003098447314941453	0.9848611080662153	1	EEF1G_24111-10
48	0.49978906474162776	0.0010249581378094772	2	CMPK1_8312-139
48	0.09079389556207229	0.5774078060314276	1	CMPK1_8312-139
49	0.4980044392520411	0.0010754395263418428	2	LGALS3_3066-12
49	0.116238720481743	0.47505827530813194	1	LGALS3_3066-12
50	0.49772265628000106	0.001083608781592003	2	THAP4_24490-16
50	0.3228957671540503	0.04213227198414045	1	THAP4_24490-16
51	0.49546839250368097	0.0011509702411685702	2	TNNI2_5440-26
51	0.33594680281395517	0.03405929979433824	1	TNNI2_5440-26
52	0.4883058309044313	0.001390306590326862	2	MUSTN1_21545-51
52	0.5211025029674262	0.0005654287638132828	1	MUSTN1_21545-51
53	0.48823596288798743	0.0013928431866181762	2	OCRL_10011-65
53	0.21013106335875673	0.19311136217137537	1	OCRL_10011-65
54	0.4866391927130941	0.001451941832294714	2	AZGP1_9312-8
54	0.20521134088087273	0.20398310299100444	1	AZGP1_9312-8
55	0.4858877714543207	0.0014805121760574846	2	SMOC1_13118-5
55	0.4929348001043221	0.0012310876144973873	1	SMOC1_13118-5
56	0.48579384379697405	0.001484118182581987	2	GDF15_4374-45
56	0.4394161646644243	0.00455579699432532	1	GDF15_4374-45
57	0.48168362044395946	0.0016497183803203669	2	PEA15_18833-76
57	0.04131263086588604	0.8001857667916304	1	PEA15_18833-76
58	0.48168362044395946	0.0016497183803203669	2	PGM1_9173-21
58	0.12093901032009338	0.4572601380874912	1	PGM1_9173-21
59	0.4785614141812805	0.0017862045024598832	2	EIF4A2_18824-7
59	0.013520497374289979	0.9340079688574694	1	EIF4A2_18824-7
60	0.47771606526516047	0.0018248306248164366	2	EIF4A1_18829-4
60	0.014928882517445183	0.9271512994027256	1	EIF4A1_18829-4
61	0.4765889333770004	0.001877476706546201	2	KATNAL1_24494-67
61	0.11520590471009585	0.47901744032061455	1	KATNAL1_24494-67
62	0.4755557291461871	0.0019269067228193317	2	NAE1_18177-49
62	-0.07971833832434728	0.6248595015683553	1	NAE1_18177-49
63	0.4742407419433337	0.0019914734937859554	2	CAPS_21143-10
63	0.2787663660018538	0.08152904226900819	1	CAPS_21143-10
64	0.4731136100551737	0.00204832490499472	2	ATOX1_19233-75
64	0.12882029442726284	0.4282411557158249	1	ATOX1_19233-75
65	0.4731136100551737	0.00204832490499472	2	RFNG_7203-125
65	-0.2106005250731418	0.19209571710887027	1	RFNG_7203-125
66	0.47200861792724186	0.0021054414172526183	2	KLHL41_23660-112
66	0.317652695584531	0.04578468792102149	1	KLHL41_23660-112
67	0.4708593462788536	0.0021663288531840476	2	SLPI_4413-3
67	0.1975494894132369	0.22175342148181107	1	SLPI_4413-3
68	0.4682293718731469	0.0023115226996407324	2	SUMO2_19555-1
68	-0.09727246722058622	0.5504300897811207	1	SUMO2_19555-1
69	0.46606903575417347	0.0024371163142172412	2	HAVCR1_9021-1
69	0.21961418998933513	0.17332154522824478	1	HAVCR1_9021-1
70	0.4658811804394801	0.0024483154488981404	2	BAGE3_6442-6
70	0.43528490157783567	0.004997942839804824	1	BAGE3_6442-6
71	0.46559939746744017	0.002465198867876979	2	PNMA2_23411-108
71	-0.016431160003477403	0.9198432501204187	1	PNMA2_23411-108
72	0.46559939746744017	0.002465198867876979	2	SPON1_4297-62
72	0.15473458106131865	0.34041092893163705	1	SPON1_4297-62
73	0.46343906134846674	0.0025980697909168634	2	SAR1B_21220-11
73	0.026383748348440858	0.8716191474129433	1	SAR1B_21220-11
74	0.4625937124323467	0.002651748234367292	2	CCL11_5301-7
74	0.4701189607852078	0.00220636914307654	1	CCL11_5301-7
75	0.46137265288684	0.0027310002091390107	2	DNAJB12_8006-12
75	0.2943524949194381	0.0652269714025103	1	DNAJB12_8006-12
76	0.46052730397072	0.002787075982809943	2	EPOR_19575-4
76	0.37914368854523633	0.01583368436212495	1	EPOR_19575-4
77	0.46024552099867994	0.0028059908002644176	2	GLUL_19238-12
77	0.15877195180503023	0.32780458081785757	1	GLUL_19238-12
78	0.45855482316643986	0.0029218593105321865	2	IL15_19568-17
78	0.07394368837505709	0.6502225185535391	1	IL15_19568-17
79	0.4563005593901199	0.003082855927218141	2	GMFG_13062-4
79	0.018778468575402746	0.9084376423262972	1	GMFG_13062-4
80	0.4558309211033865	0.0031173570375966158	2	GMFB_17784-23
80	0.10647391682253358	0.5131701317140591	1	GMFB_17784-23
81	0.4552673551593065	0.0031592038028494286	2	ROCK2_13654-1
81	0.08234358470314104	0.6134663526803639	1	ROCK2_13654-1
82	0.4551734275019598	0.003166225815500046	2	CMPK1_18243-9
82	-0.13633168185742395	0.4015689633500751	1	CMPK1_18243-9
83	0.4547037892152265	0.0032015410029877507	2	CASTOR1_23385-18
83	-0.04657060206699881	0.7753734346753932	1	CASTOR1_23385-18
84	0.4541402232711465	0.0032443734457600956	2	PRKACA_3466-8
84	0.11605093579598898	0.47577683856383046	1	PRKACA_3466-8
85	0.4535766573270665	0.003287705974920584	2	CSTB_19768-13
85	0.16233986083435675	0.31690953408595435	1	CSTB_19768-13
86	0.45141632120809305	0.003458535114489944	2	PDLIM1_11428-31
86	-0.030702796120783495	0.8508231537075523	1	PDLIM1_11428-31
87	0.4479409978862663	0.0037496276895999654	2	MPI_25233-2
87	0.004600724800973673	0.977522599084391	1	MPI_25233-2
88	0.44756528725687955	0.0037823413534939015	2	FLJ44635_22813-5
88	-0.1210272299684707	0.4569295604345258	1	FLJ44635_22813-5
89	0.44662601068341296	0.0038652164941233	2	NPS_6390-18
89	0.4488053989521256	0.003675298400308317	1	NPS_6390-18
90	0.4451231681658662	0.00400110995614021	2	BAIAP2_19331-18
90	0.3341628482992919	0.03508140448870133	1	BAIAP2_19331-18
91	0.4441838915923995	0.004088140701827121	2	TTLL12_23691-2
91	-0.04863623361029311	0.7656841770776655	1	TTLL12_23691-2
92	0.4428689043895462	0.004212751059340709	2	SERPING1_4479-14
92	-0.007135818058653044	0.9651433146647437	1	SERPING1_4479-14
93	0.4414599895293461	0.004349917845227636	2	BRAT1_10876-300
93	0.22815839319114337	0.15677596670713212	1	BRAT1_10876-300
94	0.438642159808946	0.004635946335225928	2	YWHAH_4707-50
94	-0.11441318639365979	0.48206791109358926	1	YWHAH_4707-50
95	0.43751502792078595	0.004754852546808308	2	SPON1_5496-49
95	0.18280839158154574	0.25887010744467326	1	SPON1_5496-49
96	0.437233244948746	0.004784989650989997	2	NADK_13624-17
96	0.021501346518836145	0.895229950315112	1	NADK_13624-17
97	0.436951461976706	0.004815292472304196	2	PAICS_9841-197
97	0.10544110105088643	0.5172886049396094	1	PAICS_9841-197
98	0.4353546918018126	0.004990175149897925	2	MYOM2_13534-20
98	0.4025164739137579	0.010025235213092898	1	MYOM2_13534-20
99	0.4324632192909496	0.005320911376690768	2	CBFB_10048-7
99	0.05380031246852887	0.7416174056239998	1	CBFB_10048-7
100	0.43234900676671917	0.005334356306632763	2	GOLPH3_24721-17
100	-0.041406523208763056	0.7997409088786308	1	GOLPH3_24721-17
101	0.43206722379467916	0.005367653357482411	2	HNRNPDL_10852-114
101	0.02966998034913634	0.8557875982463621	1	HNRNPDL_10852-114
102	0.43147693262662407	0.005437989643748217	2	RIPK2_8993-151
102	-0.054551451211544984	0.7381363007976665	1	RIPK2_8993-151
103	0.43037652596243914	0.0055712421074221715	2	OSMR_10892-8
103	0.05943385304114969	0.7156373914861083	1	OSMR_10892-8
104	0.42877975578754574	0.005769624942121426	2	MYLPF_21112-6
104	0.3601710272762247	0.02243585380529348	1	MYLPF_21112-6
105	0.42849797281550567	0.005805260779826296	2	IL1RL1_4234-8
105	0.1552040427757037	0.3389299536380328	1	IL1RL1_4234-8
106	0.4282161898434657	0.00584108686203383	2	C11orf87_11116-16
106	-0.10215486905019094	0.5305011951055287	1	C11orf87_11116-16
107	0.4268072749832657	0.0060231001837730185	2	FNTA_25473-62
107	0.003943478400834577	0.980733007239283	1	FNTA_25473-62
108	0.42596192606714567	0.006134644822613877	2	CA13_3420-21
108	0.047791202524399994	0.7696438041649033	1	CA13_3420-21
109	0.42502264949367896	0.006260672601949014	2	RNF141_23286-2
109	0.095676297391677	0.5570211340235027	1	RNF141_23286-2
110	0.4249287218363323	0.006273397504236357	2	DUPD1_23323-25
110	0.3616433216209936	0.021852354557715635	1	DUPD1_23323-25
111	0.4245530112069456	0.00632452075670422	2	SPINK4_19213-1
111	0.09187796707935666	0.5728522128012897	1	SPINK4_19213-1
112	0.42436515589225227	0.006350217018630339	2	VHLL_22826-2
112	-0.15417122700405655	0.3421933437765162	1	VHLL_22826-2
113	0.42427122823490565	0.006363098921173826	2	CHMP3_12508-9
113	0.016431160003477403	0.9198432501204187	1	CHMP3_12508-9
114	0.4231440963467456	0.006519450488659852	2	REG1B_16770-3
114	-0.04807287955303104	0.7683232822520228	1	REG1B_16770-3
115	0.42267445806001225	0.006585569000547837	2	FTH1_25913-17
115	0.16750393969259253	0.30154932069839924	1	FTH1_25913-17
116	0.42229874743062557	0.006638879611028816	2	SEMA3E_5363-51
116	0.04291081344431886	0.7926222403576799	1	SEMA3E_5363-51
117	0.4219230368012389	0.006692562103721916	2	AGR3_17342-13
117	0.21219669490205104	0.1886707368044373	1	AGR3_17342-13
118	0.4204201942836921	0.006911053324748046	2	PPM1M_22862-44
118	-0.008825880230439292	0.9568947595142157	1	PPM1M_22862-44
