Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.6759330759330759	6.065844076192376e-06	2	ADAM17_8959-61
1	0.009957915967940212	0.9533551127315206	1	ADAM17_8959-61
2	0.6553832306511573	1.4377528826252257e-05	2	HECW2_25126-19
2	0.23460375833992475	0.1622169989531296	1	HECW2_25126-19
3	0.6549971054170738	1.4603502947154273e-05	2	USP1|WDR48_21759-23
3	0.06224066390041494	0.7143979170824837	1	USP1|WDR48_21759-23
4	0.6535392535392535	1.5486116325696617e-05	2	HIF1A_13089-6
4	0.17817556785493022	0.2913922097473848	1	HIF1A_13089-6
5	0.6229086229086229	4.963642726642944e-05	2	ZNF580_24430-11
5	0.2626993069637561	0.11622347587755219	1	ZNF580_24430-11
6	0.609009009009009	8.093591164493021e-05	2	CAMK2A_3350-53
6	0.021101298122539972	0.9013450441347782	1	CAMK2A_3350-53
7	0.6084942084942085	8.237867338697914e-05	2	TMUB1_25255-4
7	0.08084879393018124	0.6342989780870183	1	TMUB1_25255-4
8	0.5971685971685972	0.00012059341458799512	2	FMR1_7713-102
8	0.16821765188699003	0.3196275889308745	1	FMR1_7713-102
9	0.596911196911197	0.0001216222397547598	2	SMTN_12546-1
9	0.0794262345061898	0.6402937704337743	1	SMTN_12546-1
10	0.5963963963963964	0.00012370360848641421	2	CARD9_11405-150
10	0.07586983594621115	0.6553786332823712	1	CARD9_11405-150
11	0.5912483912483912	0.00014634919492592546	2	MOSPD1_20382-8
11	0.2610396543024327	0.11863242295151133	1	MOSPD1_20382-8
12	0.5897039897039896	0.00015383399241779942	2	CAMK2D_3419-49
12	0.03876474430376726	0.8198102106975702	1	CAMK2D_3419-49
13	0.5868725868725869	0.0001684542419191212	2	GNAS_5757-45
13	0.23294410567860138	0.16529428206051613	1	GNAS_5757-45
14	0.5867816473956453	0.00016894382001637575	2	MITF_22383-21
14	0.0	1.0	1	MITF_22383-21
15	0.585070785070785	0.0001783955435494745	2	CADPS2_25099-4
15	0.10882579593534661	0.5214253247439163	1	CADPS2_25099-4
16	0.584041184041184	0.00018430967153878312	2	RNF215_9064-12
16	0.012447394959925265	0.9417117664844243	1	RNF215_9064-12
17	0.5839500623456992	0.00018484145958416582	2	C12orf65_24252-85
17	0.08831723090613641	0.60320865771527	1	C12orf65_24252-85
18	0.5783783783783784	0.00022009422627450981	2	VAV1_5275-28
18	0.11048544859666998	0.5150544141929286	1	VAV1_5275-28
19	0.5778635778635779	0.00022363730193321067	2	MARK3_9747-48
19	0.1690474782176517	0.3172113996087752	1	MARK3_9747-48
20	0.5768339768339769	0.00023087709756690534	2	CXCL14_5730-60
20	0.11037344398340249	0.5154831461806052	1	CXCL14_5730-60
21	0.5752895752895753	0.00024213062295212133	2	SEC22A_13713-164
21	0.102542825146051	0.5458897434190881	1	SEC22A_13713-164
22	0.5706563706563706	0.00027889666525093376	2	C2CD2L_23704-11
22	0.0021338391359871883	0.9899994657391857	1	C2CD2L_23704-11
23	0.5701415701415701	0.00028327524960200425	2	PPFIA1_13975-56
23	0.17971667389758766	0.28717050738235944	1	PPFIA1_13975-56
24	0.5698841698841699	0.0002854875041074351	2	IKBKG_21976-4
24	0.07930768788752383	0.6407943582019984	1	IKBKG_21976-4
25	0.5696267696267696	0.00028771519116786324	2	HMG20A_12712-9
25	-0.06946831853824958	0.6828697942382483	1	HMG20A_12712-9
26	0.564993564993565	0.00033056185063811615	2	ATP13A1_13659-36
26	0.30407207687817434	0.06729304776471812	1	ATP13A1_13659-36
27	0.5611325611325612	0.0003705263518876333	2	SERPINH1_10800-15
27	-0.13443186556719286	0.4276254391896763	1	SERPINH1_10800-15
28	0.5608751608751609	0.00037333780714358787	2	SIRPB2_5669-26
28	-0.04587754142372455	0.7874480050082784	1	SIRPB2_5669-26
29	0.5606177606177606	0.00037616827600198144	2	FXR1_13076-4
29	0.10195009205272122	0.5482254741803896	1	FXR1_13076-4
30	0.5596241725984351	0.0003872745438506563	2	DUSP23_17326-44
30	-0.006046594355280222	0.9716667814768893	1	DUSP23_17326-44
31	0.5588159588159588	0.00039652338984126785	2	DAPK3_24261-202
31	0.0764625690395409	0.6528549251696302	1	DAPK3_24261-202
32	0.5583730256063799	0.00040167521511045174	2	TRAPPC4_7007-24
32	0.24420603445186712	0.14522089621350454	1	TRAPPC4_7007-24
