Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.6701862336684808	2.2396057095822894e-06	2	MMP19_6425-87
1	-0.17192075277637797	0.30202617330634474	1	MMP19_6425-87
2	0.6019247810961784	3.978799601138412e-05	2	C9_13722-105
2	0.49800003769790097	0.00146450598574881	1	C9_13722-105
3	0.5426079326540398	0.00029783418269084815	2	C4BPA_9449-150
3	0.5763950238172314	0.00015229878284343494	1	C4BPA_9449-150
4	0.5405365506449492	0.0003174006865622215	2	CD163_5028-59
4	-0.15887319564602784	0.3407349541542841	1	CD163_5028-59
5	0.5348873269837932	0.0003767638163534113	2	LILRB2_5091-28
5	0.06962351914094388	0.6778814560307678	1	LILRB2_5091-28
6	0.5266959526751168	0.0004805536646422517	2	FBLN5_15585-304
6	0.18452973655780874	0.26739717732931323	1	FBLN5_15585-304
7	0.5212350364693328	0.0005632721197068334	2	PLA2G2A_2692-74
7	0.5133501049100776	0.0009805862341381133	1	PLA2G2A_2692-74
8	0.5131378158883424	0.0007093914735760777	2	C9_3060-43
8	0.5137886782589969	0.0009691439001777586	1	C9_3060-43
9	0.5072061310441284	0.0008369628723842378	2	CFI_2567-5
9	0.24889037551172064	0.13185252356964342	1	CFI_2567-5
10	0.5056055176734675	0.000874711549072088	2	GFRA3_2505-49
10	0.04561162828761048	0.7856851049824272	1	GFRA3_2505-49
11	0.4988264492800803	0.001051919747413615	2	C1S_20203-45
11	0.30919421098812877	0.058903876149775006	1	C1S_20203-45
12	0.4951544539003288	0.001160639937462694	2	SRSF7_12987-12
12	0.0967054234367126	0.5635511843039546	1	SRSF7_12987-12
13	0.4944953778065273	0.0011811749425311498	2	TIMD4_15449-33
13	-0.2937345004387223	0.07346473463508219	1	TIMD4_15449-33
14	0.4870572333193385	0.0014362591790654505	2	RGS5_16850-5
14	0.19417835023403404	0.24273835520823242	1	RGS5_16850-5
15	0.4861156960424792	0.0014717940317582761	2	IFI16_13940-19
15	-0.13990489830526676	0.402169051265282	1	IFI16_13940-19
16	0.48555077367636357	0.0014934860317611935	2	HTRA1_15594-47
16	0.17806077966124859	0.2848220808218372	1	HTRA1_15594-47
17	0.4844209289441323	0.0015377194606912513	2	GLUL_19238-12
17	-0.05547952863829544	0.7407734838291875	1	GLUL_19238-12
18	0.48340791238845565	0.001578359129701641	2	MMP17_2838-53
18	0.18825761002362304	0.2576815323347797	1	MMP17_2838-53
19	0.48065477983669497	0.001693640064060671	2	PPP1R10_22533-95
19	0.013924703828188776	0.9338720998345083	1	PPP1R10_22533-95
20	0.4797132425598356	0.0017347356868891882	2	C5|C6_4482-66
20	0.4493183959678551	0.0046562358300113295	1	C5|C6_4482-66
21	0.47943078137677786	0.0017472347054796615	2	LILRB2_5633-65
21	0.13793131823512977	0.40890591612057714	1	LILRB2_5633-65
22	0.4770769381846294	0.0018545208944956092	2	LILRA1_21706-29
22	0.23025100818264904	0.16431145964956245	1	LILRA1_21706-29
23	0.4754763248139685	0.001930752551958186	2	KIF16B_11672-17
23	0.24088641189394286	0.14515189489598657	1	KIF16B_11672-17
24	0.47284002043876244	0.0020623380795077584	2	LBP_3074-6
24	0.4668613299246284	0.003128429484362258	1	LBP_3074-6
25	0.47208679061727493	0.0021013551356133114	2	C1QTNF1_6304-8
25	0.16556143921704766	0.3205279334401397	1	C1QTNF1_6304-8
26	0.4710510996127296	0.002156063542704827	2	ASIC4_6951-26
26	0.19901354551671874	0.23097637762201984	1	ASIC4_6951-26
27	0.47095694588504367	0.002161098603393986	2	FGL1_5581-28
27	0.4748652935424062	0.0025911812964803096	1	FGL1_5581-28
28	0.46594157663698343	0.0024447099666815974	2	C12orf65_24252-85
28	0.19911230040937652	0.23074026417428686	1	C12orf65_24252-85
29	0.4626714178486815	0.0026467737873293235	2	KIR2DL4_5095-21
29	0.05756275204566226	0.7313938602097135	1	KIR2DL4_5095-21
30	0.4625011180035563	0.0026576865310811134	2	CRYBB2_10000-28
30	0.03881586507598812	0.8170265422967002	1	CRYBB2_10000-28
31	0.4605058821119051	0.0027885100011599932	2	SERPINA3_4153-11
31	0.351626182496074	0.030401231017499142	1	SERPINA3_4153-11
32	0.4601292672011613	0.0028138271053075366	2	VEGFA_2597-8
32	0.2484518021628013	0.1325569681219548	1	VEGFA_2597-8
33	0.4593760373796738	0.002865066122740029	2	IL1RN_5353-89
33	-0.010416117036834123	0.950510317702548	1	IL1RN_5353-89
34	0.45843450010281445	0.0029302628166240994	2	SAA1_15515-2
34	0.5438309526599711	0.0004172027941381461	1	SAA1_15515-2
35	0.4535385062631459	0.0032906576005162246	2	ZBP1_22831-11
35	-0.060526433677811985	0.7181162957435636	1	ZBP1_22831-11
36	0.4519590922213843	0.003414902144777879	2	CHEK2_19328-51
36	0.28916112235234875	0.07827277999841407	1	CHEK2_19328-51
37	0.4478892826019898	0.003754115918127986	2	TNC_6259-60
37	-0.10953369389260305	0.5127062039467154	1	TNC_6259-60
38	0.44757565181123954	0.0037814355699220116	2	TRAPPC4_7007-24
38	0.16654822925211615	0.3176114437773831	1	TRAPPC4_7007-24
39	0.4464769766867008	0.0038785106446428586	2	PARP11_12882-7
39	0.3242508300325731	0.04702557464915112	1	PARP11_12882-7
40	0.44619451550364303	0.003903816157167053	2	SRSF6_11573-3
40	0.05054557846295296	0.7631338525041553	1	SRSF6_11573-3
41	0.44449974840529616	0.004058692118812501	2	CFHR5_7885-17
41	0.3464729456462719	0.03309282120708017	1	CFHR5_7885-17
42	0.44327574994537905	0.004173849260791943	2	F8_13499-30
42	0.10646368045016773	0.5246623981454953	1	F8_13499-30
43	0.4427108275792634	0.004227950965714864	2	CSF1R_13682-47
43	-0.17597755625388178	0.2905865199279104	1	CSF1R_13682-47
44	0.4415809828470322	0.004337987812311544	2	CRP_4337-49
44	0.4311176019877029	0.006887015696348484	1	CRP_4337-49
45	0.44026283065942917	0.004469505213030242	2	CLEC4G_19765-17
45	-0.121375174313425	0.46789806782552135	1	CLEC4G_19765-17
46	0.4394154471102557	0.004555870736809596	2	SPA17_18242-8
46	0.31500530786130987	0.05406483026493658	1	SPA17_18242-8
47	0.43386037717678555	0.005158801591608963	2	CPNE7_24277-22
47	0.21233593988601973	0.20059620323301164	1	CPNE7_24277-22
48	0.433201301082984	0.005234731443283655	2	DNAJB9_11214-40
48	0.03377014786678852	0.8404824624276503	1	DNAJB9_11214-40
49	0.43256251451354993	0.00530924636157526	2	STMN4_6267-51
49	-0.15163673538885886	0.3634573635895453	1	STMN4_6267-51
50	0.4294283610877844	0.005688317130626444	2	GCKR_5223-59
50	0.19900265707214668	0.2310024209037469	1	GCKR_5223-59
51	0.427552077421828	0.005926279918503351	2	ACBD4_24686-19
51	0.24461428535975716	0.13884033606588217	1	ACBD4_24686-19
52	0.4269530833814769	0.006004038974746662	2	BATF_19227-18
52	0.14671081206687034	0.37943126605090216	1	BATF_19227-18
53	0.4262339252342249	0.006098561085000821	2	IL15RA_3445-53
53	-0.11293881646403323	0.49960592210565213	1	IL15RA_3445-53
54	0.42510408050199366	0.006249658738552729	2	EWSR1_12988-49
54	-0.07894320280547967	0.637555899528591	1	EWSR1_12988-49
55	0.4245119931833565	0.0063301238344907005	2	TNF_5692-79
55	0.19757729368815885	0.23442890602063138	1	TNF_5692-79
56	0.42284439103753124	0.006561578318233357	2	SAA2_18832-65
56	0.47333028682118855	0.002687460717710024	1	SAA2_18832-65
57	0.4226560835821594	0.006588167588551869	2	CADPS2_25099-4
57	0.39175564392219286	0.014999825198979693	1	CADPS2_25099-4
58	0.42253467215488794	0.006605360297738582	2	PDIA4_7146-16
58	0.027301190970228387	0.8707514361110938	1	PDIA4_7146-16
59	0.4220911612160438	0.006668493951095026	2	HCAR2_13495-48
59	0.34789830903025976	0.03232951692760679	1	HCAR2_13495-48
60	0.420302240390011	0.0069284593528603665	2	ADAM17_8959-61
60	-0.002850726767975655	0.9864477513957242	1	ADAM17_8959-61
61	0.41945485684083766	0.007054619094935407	2	FGG_4989-7
61	0.5880172175635937	0.00010353185692717016	1	FGG_4989-7
62	0.4191723956577798	0.007097109834442762	2	TCL1B_18276-34
62	0.1313527180013398	0.4318213186715847	1	TCL1B_18276-34
63	0.41879578074703605	0.007154106983023294	2	FGA|FGB|FGG_4907-56
63	0.6156473385455117	3.8877790883809534e-05	1	FGA|FGB|FGG_4907-56
64	0.41804255092554865	0.007269284964709006	2	CTSB_3061-61
64	0.08091678287561667	0.6291417795035231	1	CTSB_3061-61
65	0.4176659360148049	0.007327470229311331	2	TLE5_18396-10
65	0.06841744243141572	0.6831682761029002	1	TLE5_18396-10
66	0.41728932110406114	0.0073860559787259075	2	C1S_8840-61
66	0.10887583386922405	0.515256746063377	1	C1S_8840-61
67	0.41712057886265264	0.00741243582196503	2	HECW2_25126-19
67	0.34384150555275594	0.034540782173917754	1	HECW2_25126-19
68	0.4150296316395987	0.007746106586417903	2	TNMD_6578-29
68	0.3130317277911729	0.05567130199364392	1	TNMD_6578-29
69	0.4139662810315242	0.007920692889778	2	VEGFA_4867-15
69	0.2994359539746736	0.06779816123773158	1	VEGFA_4867-15
70	0.41311885773360907	0.008062238275928684	2	DSCC1_23679-43
70	-0.009319683664535795	0.9557143300124908	1	DSCC1_23679-43
71	0.4122050198090207	0.008217306601154254	2	TXNL4A_21651-9
71	0.2776169298659369	0.0915012440738592	1	TXNL4A_21651-9
72	0.41201671235364884	0.00824957658688047	2	CEP43_21793-4
72	0.1869418899768651	0.2610834353007264	1	CEP43_21793-4
73	0.41182840489827693	0.008281955317648335	2	CPN1_7142-5
73	0.15898283898325766	0.3403975257077172	1	CPN1_7142-5
74	0.4106044064383598	0.008495088230146457	2	MRPS14_22845-3
74	0.014911493863257273	0.9291972789569867	1	MRPS14_22845-3
75	0.4086463458835017	0.00884582695723645	2	THOC1_9875-107
75	0.0830000062829835	0.6203099795454703	1	THOC1_9875-107
76	0.40796810206315365	0.008970177891791402	2	CCL3_3040-59
76	0.04298018819409449	0.7977845269420716	1	CCL3_3040-59
77	0.407610606297161	0.009036322802220581	2	SH3BP5_23662-10
77	0.2644597293983569	0.10860504605687878	1	SH3BP5_23662-10
78	0.4068382573309224	0.009180652984055768	2	B2M_3485-28
78	-0.027081904295768722	0.8717809379100272	1	B2M_3485-28
79	0.40655579614786463	0.00923392778267003	2	PDE4C_20221-26
79	-0.005153236849802146	0.9755042625482737	1	PDE4C_20221-26
80	0.4058967200540631	0.009359266119996573	2	CFHR1_5982-50
80	0.39252314728280174	0.01478630824137555	1	CFHR1_5982-50
81	0.40542595141563337	0.009449682641131609	2	FGF2_3025-50
81	0.2518507456169261	0.12717000308382165	1	FGF2_3025-50
82	0.4050493365048897	0.00952255311595843	2	RARRES2_3079-62
82	0.3699366198134561	0.0222520523694451	1	RARRES2_3079-62
83	0.40420195295571626	0.009688271654643537	2	C5_2381-52
83	0.49449145090654634	0.0016009866552135323	1	C5_2381-52
84	0.4029779544957991	0.00993199438387207	2	IL16_2774-10
84	-0.06107133883701691	0.7156837857021734	1	IL16_2774-10
85	0.4023848292933513	0.010051970371601084	2	CCNE1_19767-20
85	0.07115852586216154	0.6711747099620289	1	CCNE1_19767-20
86	0.40222472467431164	0.010084567438997888	2	TNFRSF1B_8368-102
86	-0.08585073305095914	0.6083090299683915	1	TNFRSF1B_8368-102
87	0.4011890336697664	0.010297622406540967	2	CREBBP_13614-6
87	0.37026554982514565	0.0221242383240737	1	CREBBP_13614-6
88	0.3989293442053039	0.01077584697561858	2	VSIG2_8018-43
88	0.05712417869674293	0.7333653773324096	1	VSIG2_8018-43
89	0.3981761143838165	0.010939408120094017	2	CXCL9_9188-119
89	0.20689697735269463	0.21264255596502502	1	CXCL9_9188-119
90	0.39808196065613055	0.010960001336608823	2	ERO1A_7060-2
90	0.30963278433704805	0.05852705818472015	1	ERO1A_7060-2
91	0.39798780692844465	0.010980627598820666	2	CFHR5_3666-17
91	0.3144570911751607	0.05450730993025399	1	CFHR5_3666-17
92	0.39732873083464304	0.011125940266820528	2	CELF2_7245-2
92	0.04692734833436848	0.7796537443619206	1	CELF2_7245-2
93	0.3954456562809244	0.011550183162160537	2	ST3GAL2_6281-51
93	0.008113606955007633	0.9614408241717685	1	ST3GAL2_6281-51
94	0.3952573488255525	0.011593355094833613	2	TCEAL1_20924-85
94	0.1466559873986839	0.3796113458564221	1	TCEAL1_20924-85
95	0.39516319509786657	0.011614992532432655	2	XRCC6_2835-1
95	0.05558917197552527	0.740278884917355	1	XRCC6_2835-1
96	0.3950690413701807	0.011636664341953647	2	CDC42EP4_23403-64
96	0.3457054422856631	0.033509908941365095	1	CDC42EP4_23403-64
97	0.3945982727317509	0.01174554048707443	2	MCL1_9819-110
97	0.09615720675056343	0.5657747610270429	1	MCL1_9819-110
98	0.39440996527637906	0.011789333068768617	2	RBL2_13565-2
98	0.35688906268310605	0.027840882695535255	1	RBL2_13565-2
99	0.39422165782100715	0.011833264529568661	2	RBPMS2_23300-3
99	0.21226950087695645	0.20074041348758126	1	RBPMS2_23300-3
100	0.3940518335305194	0.011873003324102177	2	SIRT6_21833-6
100	0.13453973572948424	0.4206321414167197	1	SIRT6_21833-6
101	0.39365673545489166	0.011965895682277879	2	ZFAND5_18317-111
101	-0.0021928667445966577	0.9895749973785233	1	ZFAND5_18317-111
102	0.39150956363677414	0.012481603502952947	2	SIGLEC11_8913-22
102	0.08892074649339446	0.5954970378009476	1	SIGLEC11_8913-22
103	0.3906438161689417	0.01269481729347707	2	MCEMP1_6283-60
103	0.24132498524286217	0.14439862750220095	1	MCEMP1_6283-60
104	0.39007889380282607	0.012835606124263401	2	ITIH3_7145-1
104	0.25985470923470394	0.11513094392728686	1	ITIH3_7145-1
105	0.38998474007514017	0.012859199341135498	2	CFH_4159-130
105	0.5126922448866985	0.0009979742269716147	1	CFH_4159-130
106	0.38932566398133867	0.01302538507252096	2	PTGR2_18943-4
106	0.21720345105229893	0.1902271738000987	1	PTGR2_18943-4
107	0.3889490490705949	0.0131211641587312	2	YBX1_9751-72
107	0.19121798012882854	0.2501353178909527	1	YBX1_9751-72
108	0.38866658788753705	0.013193390072039481	2	ITIH4_4811-33
108	0.4674095466107776	0.00308875514799902	1	ITIH4_4811-33
109	0.3886377402382841	0.013200785423223626	2	LGALS9_9197-4
109	0.162710712449072	0.32904714442713945	1	LGALS9_9197-4
110	0.3881016655214215	0.013338854222407305	2	RPS14_20964-13
110	0.16347821580968083	0.32673981129812923	1	RPS14_20964-13
111	0.38800751179373555	0.013363230010137497	2	CSF1R_2638-12
111	-0.1586539089715682	0.3414104262697555	1	CSF1R_2638-12
112	0.38779031694036903	0.013419604476681984	2	ITM2A_7765-15
112	0.029055484365905715	0.8625231085265717	1	ITM2A_7765-15
113	0.38744258942761994	0.013510279502590566	2	RPS7_3864-5
113	0.16733404350006986	0.3153008984193736	1	RPS7_3864-5
114	0.38621859096770284	0.0138335988192542	2	HMGN1_9187-2
114	-0.2980105905906858	0.06918143181365877	1	HMGN1_9187-2
115	0.3861425494166452	0.013853899652883361	2	RBBP5_13631-1
115	0.07828534278210068	0.640370644054042	1	RBBP5_13631-1
116	0.3852770536908435	0.014086745498602183	2	RPL11_21286-29
116	0.014528537069402332	0.9310112299083628	1	RPL11_21286-29
117	0.38508874623547157	0.014137842770220567	2	ABL2_5261-13
117	-0.026973736747720557	0.872288837034243	1	ABL2_5261-13
118	0.3847121313247278	0.01424050826241969	2	LRRN1_11586-2
118	-0.2584293458507161	0.1172095282585844	1	LRRN1_11586-2
119	0.38461797759704186	0.014266273025363369	2	TNFRSF1B_3152-57
119	-0.11359049737010686	0.4971183132545979	1	TNFRSF1B_3152-57
120	0.3840530552309263	0.014421691724013325	2	RPL5_20999-12
120	0.14308455508493192	0.39145038584644987	1	RPL5_20999-12
121	0.38329982540943885	0.014631143616672632	2	TYMSOS_8263-64
121	0.0893593198423138	0.5936764206379391	1	TYMSOS_8263-64
122	0.3829232104986951	0.014736830841935155	2	DCBLD1_9402-18
122	0.18919992991134885	0.25526326308538166	1	DCBLD1_9402-18
123	0.38245244186026545	0.014869847178788712	2	VEGFA_19437-61
123	0.21983489114581492	0.18478172385226593	1	VEGFA_19437-61
124	0.38119924684547385	0.015228896571396701	2	SPDEF_10012-5
124	0.03080977776158304	0.8543090405610151	1	SPDEF_10012-5
125	0.3810401359449764	0.015275002703377243	2	GLRX_18386-36
125	-0.031357994447732206	0.8517452008601526	1	GLRX_18386-36
126	0.3810401359449764	0.015275002703377243	2	HACL1_23645-49
126	0.08081156090678883	0.6295892311034702	1	HACL1_23645-49
127	0.3805872189080907	0.01540689220166789	2	RSPO2_4566-24
127	0.16084677571616485	0.33469264241782903	1	RSPO2_4566-24
128	0.37955147932175004	0.01571211839112568	2	ZKSCAN7_23570-87
128	-0.060087836332320586	0.7200762281030386	1	ZKSCAN7_23570-87
129	0.3794395225743155	0.015745414947806857	2	GABARAP_22966-20
129	0.156789972238661	0.34718503163440717	1	GABARAP_22966-20
130	0.3792690048891117	0.015796242276261318	2	ILF3_12759-47
130	0.0049339501753424796	0.9765463404040959	1	ILF3_12759-47
131	0.37884529324015415	0.015923140677673597	2	C7orf69_9544-24
131	0.2361298458789277	0.15350741105268256	1	C7orf69_9544-24
132	0.3754850660115063	0.01696029631645959	2	ACOT8_17400-71
132	0.16128534906508415	0.3333589435326597	1	ACOT8_17400-71
133	0.3752026048284485	0.01705001351783415	2	CST7_3302-58
133	-0.09791150014624077	0.5586735665434641	1	CST7_3302-58
134	0.37473183619001876	0.017200430121642716	2	H6PD_7161-25
134	0.21786131107567794	0.18885532378615133	1	H6PD_7161-25
135	0.374355221279275	0.017321566216488497	2	GCH1_11185-145
135	0.19691943366477985	0.23602192893016913	1	GCH1_11185-145
136	0.3736961451854735	0.017535282009224492	2	PILRA_6402-8
136	0.1757582695794221	0.2911976437003307	1	PILRA_6402-8
137	0.37275460790861414	0.017844435090513512	2	THSD7A_11174-8
137	-0.015130780537716939	0.9281587420660729	1	THSD7A_11174-8
138	0.37247748595399915	0.017936296010221064	2	GRK5_21510-24
138	0.04468454962403569	0.7899423372720746	1	GRK5_21510-24
139	0.37218968554249854	0.018032117114150942	2	YBX2_6372-7
139	0.16753501928718464	0.31471166781006304	1	YBX2_6372-7
140	0.37162476317638293	0.01822145545871876	2	RPN2_21828-6
140	0.05547952863829544	0.7407734838291875	1	RPN2_21828-6
141	0.3706832258995236	0.01854073066334586	2	HOGA1_10024-44
141	0.22180847121595193	0.18077077881350792	1	HOGA1_10024-44
142	0.3695112261113621	0.018944706531546115	2	DHX8_11601-26
142	0.04484412492700165	0.7892091208573049	1	DHX8_11601-26
143	0.36851769016274716	0.0192929281992198	2	CMPK1_8312-139
143	0.002631440093515989	0.9874901468398469	1	CMPK1_8312-139
144	0.3684235364350612	0.019326204516475966	2	RPS3A_5484-63
144	0.09593792007610377	0.566665319945629	1	RPS3A_5484-63
145	0.3682352289796894	0.019392901552514566	2	ARL5B_17404-5
145	0.4116010879607926	0.010244982776433447	1	ARL5B_17404-5
146	0.36804692152431745	0.01945979147996811	2	IL10RA_9768-5
146	0.1217041043251145	0.46668382713874934	1	IL10RA_9768-5
147	0.3669170767920863	0.019865205755327287	2	C1RL_9348-1
147	0.251302528930777	0.12802765204800776	1	C1RL_9348-1
148	0.3662580006982847	0.020104948247230883	2	PRMT3_12696-166
148	0.3336446751903815	0.04064901052451825	1	PRMT3_12696-166
149	0.3661638469705988	0.020139394151545906	2	SSR1_8106-15
149	0.06830779909418588	0.6836496394644572	1	SSR1_8106-15
150	0.3659755395152268	0.020208434234021223	2	LY6D_19784-16
150	0.1847490232322684	0.26681908358286804	1	LY6D_19784-16
151	0.3658813857875409	0.020243028520600382	2	COA3_7888-58
151	0.25996435257193373	0.11497221029400785	1	COA3_7888-58
152	0.3646573873276238	0.020697284842386393	2	H1-2_2987-37
152	0.03355086119232886	0.8415050913500721	1	H1-2_2987-37
153	0.36428077241688006	0.020838759890540497	2	RNF215_9064-12
153	0.20009909044444502	0.2283899637866377	1	RNF215_9064-12
154	0.3635275425953926	0.02112413734809231	2	FOXP3_22148-135
154	0.0640317089422224	0.7025172068823577	1	FOXP3_22148-135
155	0.3626801590462192	0.02144908505758106	2	CTSG_2431-17
155	0.10394188369388156	0.5345847681090587	1	CTSG_2431-17
156	0.36173862176935984	0.021815026069048636	2	TBPL1_18434-141
156	0.276849426505328	0.09243820073182532	1	TBPL1_18434-141
157	0.36107954567555833	0.022074274857537636	2	MZB1_7780-34
157	0.2597450658974741	0.11528984254723573	1	MZB1_7780-34
158	0.3604204695817567	0.022336090302154967	2	IMPDH1_5229-90
158	0.10010436689083742	0.549855843160505	1	IMPDH1_5229-90
159	0.3604204695817567	0.022336090302154967	2	RPS4X_9758-17
159	0.16314928579799132	0.32772743303694885	1	RPS4X_9758-17
160	0.3597613934879552	0.022600491638169223	2	CARD9_11405-150
160	0.0903461098773823	0.5895889807759263	1	CARD9_11405-150
161	0.35947893230489747	0.022714602879206066	2	SF1_12777-11
161	0.2588679191996354	0.11656698201566801	1	SF1_12777-11
162	0.3589140099387818	0.022944266980574904	2	PDE6H_20393-10
162	0.1664385859148863	0.3179346729749352	1	PDE6H_20393-10
163	0.35881985621109586	0.02298273186768845	2	RNASEH1_8470-213
163	-0.01217041043251145	0.9421881888558992	1	RNASEH1_8470-213
164	0.358631548755724	0.023059822898069023	2	NEFL_10082-251
164	0.018092140501519884	0.914145969788571	1	NEFL_10082-251
165	0.35693678165737724	0.023763389248757132	2	ITPA_18916-25
165	0.15262352542392735	0.36030654866107914	1	ITPA_18916-25
166	0.35684262792969135	0.023802994493596984	2	COL18A1_2201-17
166	-0.011073977060213121	0.9473888666120001	1	COL18A1_2201-17
167	0.3566543204743194	0.02388236983606031	2	LRP5_25922-7
167	0.06161955552316608	0.7132392789533715	1	LRP5_25922-7
168	0.35652981306172327	0.02393497308437514	2	PRKCZ_2645-54
168	0.10854690385753456	0.516534378638603	1	PRKCZ_2645-54
169	0.3564660130189476	0.02396196536525174	2	PAPPA_4148-49
169	-0.0653474289889804	0.6966924535161413	1	PAPPA_4148-49
