Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.44090462434143596	0.004405044126956439	2	CABYR
1	-0.026836821932256186	0.8694333689041618	1	CABYR
2	0.4369369446328534	0.004816858164005674	2	ELMOD3
2	0.042225768774528966	0.7958620189387178	1	ELMOD3
3	0.4358842141249271	0.004931579482715437	2	CD5L
3	-0.0015483508144373084	0.9924344917597256	1	CD5L
4	0.4302271096798359	0.0055895516912595825	2	STYXL1
4	-0.2137662518356478	0.1853452339778314	1	STYXL1
5	0.4081077389083548	0.008944454786550593	2	REG3A
5	0.04175659356592309	0.7980828412648185	1	REG3A
6	0.39437876070007866	0.011796603376192639	2	SIVA1
6	-0.2827249807059017	0.0771158156794962	1	SIVA1
7	0.3867123458361301	0.013702393167758977	2	PSMB8
7	-0.05198461311353121	0.7500530167710807	1	PSMB8
8	0.38059492922108773	0.01540463893615873	2	CARD8
8	-0.15056538677361583	0.3537372466747266	1	CARD8
9	0.3772991808196708	0.016393510273012897	2	RHOT2
9	-0.15994933110353893	0.3241838171312259	1	RHOT2
10	0.37725225889692243	0.016407966375803135	2	ODF1
10	-0.007790501220198986	0.9619475819022517	1	ODF1
11	0.3722316131628465	0.018018130894460704	2	FGFR4_int
11	0.23736449413719943	0.14026865545385148	1	FGFR4_int
12	0.371680600257576	0.018202667122728836	2	CA4
12	-0.08473304267422145	0.6031737292852162	1	CA4
13	0.3713226771350563	0.01832338562093032	2	MPP1
13	-0.09561790751387782	0.5572629404697669	1	MPP1
14	0.370618881310312	0.01856272032171735	2	DUSP18
14	0.06747689053767175	0.679093228058314	1	DUSP18
15	0.36203257224843244	0.021700222718461257	2	NTRK3_ext
15	0.12508797791787465	0.44185337029156047	1	NTRK3_ext
16	0.36034346226904623	0.022366849511455365	2	GK2
16	0.012761565674079866	0.9377047798649917	1	GK2
17	0.3576221184133686	0.02347675592353191	2	SCP2
17	-0.250258056270375	0.11935622625577016	1	SCP2
18	0.35301572750825083	0.025459895679412127	2	ASCL1
18	-0.06525419251496176	0.689124274870653	1	ASCL1
19	0.3502252313938593	0.026727522240644373	2	MMP14
19	0.018392530886649237	0.9103117362811444	1	MMP14
20	0.3489277872309647	0.027334475763389373	2	RHOB
20	-0.04312124700575518	0.7916277247578376	1	RHOB
21	0.34634696040233326	0.028575756822107334	2	NFYB
21	-0.07535660793388772	0.6439793293720376	1	NFYB
22	0.3446561082418775	0.029413979101591322	2	ARL1
22	0.05498733444860883	0.7361185833317729	1	ARL1
23	0.339026005738607	0.032352620691350475	2	CALML4
23	0.03659566627125844	0.8226118101268369	1	CALML4
24	0.3387611464943046	0.032496601341707156	2	HDAC1
24	0.05204129539578664	0.7497892347798394	1	HDAC1
25	0.33791583532053016	0.03295964985822236	2	NICN1
25	-0.09862525490749158	0.5448730601267737	1	NICN1
26	0.33499109894459644	0.03460378221539264	2	LDHC
26	0.0018299549871865638	0.9910585764018216	1	LDHC
27	0.3322070490306909	0.03623070260673478	2	PDGFRB_ext
27	0.29699159933211355	0.06274210504084246	1	PDGFRB_ext
28	0.3298301716499318	0.03766871252427959	2	MEIS3
28	-0.06455850870416872	0.6922748080367664	1	MEIS3
29	0.327373410656604	0.03920368942504137	2	CT47A1
29	-0.2818732138107053	0.07804925838531376	1	CT47A1
30	0.32338448578478474	0.04180423911857623	2	PKDCC
30	0.14704640764989466	0.3652278942270729	1	PKDCC
31	0.32298021360428597	0.04207544178003934	2	SSX2b
31	-0.20846432328924125	0.19674779914141516	1	SSX2b
32	0.32185419310363184	0.04283836266727493	2	TP63
