Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.43213738601536855	0.005359345806073997	2	ZC4H2
1	0.3961354146973139	0.012544432505510338	1	ZC4H2
2	0.40321015662362947	0.009885359616605159	2	LEMD1
2	-0.225823319278564	0.16687524524161593	1	LEMD1
3	0.3946193719473115	0.011740642312870178	2	FGF1
3	-0.08962888813939224	0.5873947788883587	1	FGF1
4	0.39389987557767675	0.011908657609841805	2	GADD45G
4	-0.052129878717687206	0.7526299926405001	1	GADD45G
5	0.37710478568459577	0.016453471153363902	2	PAGE1
5	-0.2514798069345728	0.1225079481016142	1	PAGE1
6	0.375562022409076	0.01693592194113195	2	ATP5B
6	0.01895440058653814	0.9088183575895152	1	ATP5B
7	0.3743356048039507	0.017327895368264363	2	PDGFRB
7	0.1887923166847458	0.24971767764074573	1	PDGFRB
8	0.37113438525727915	0.018387161244999714	2	SUFU
8	0.1018799031526425	0.5371367120593915	1	SUFU
9	0.3627710706372185	0.02141402423120356	2	TPI1
9	0.06714943134621135	0.6846225748754806	1	TPI1
10	0.3589506218336348	0.022929324317542077	2	GUK1
10	-0.10962346924592334	0.5064783287480313	1	GUK1
11	0.3559987252725029	0.024160436966725797	2	CALM2
11	0.14053283328696714	0.39348214876510057	1	CALM2
12	0.3467986476569752	0.028355210313714522	2	HAGH
12	-0.07454249791948506	0.6519893414218098	1	HAGH
13	0.3458309050006858	0.028829465881907886	2	CMC4
13	-0.03907246831444286	0.8133095536967443	1	CMC4
14	0.33446557009455996	0.0349062133803357	2	PPP1R2P9
14	-0.2520576557556541	0.12162238291799761	1	PPP1R2P9
15	0.3321687260819494	0.03625352650459338	2	NFIL3
15	0.23804002374260183	0.1444925816888212	1	NFIL3
16	0.3306952992708683	0.03714001058143889	2	CALM3
16	-0.20062911067942021	0.22070248023639696	1	CALM3
17	0.33020333958733533	0.03743991116460299	2	TOM1
17	0.16833588081885856	0.3056523415948959	1	TOM1
18	0.3265274871236482	0.03974387017223722	2	DEK
