Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.6370472530910556	9.877035404262376e-06	2	5-hydroxyindoleacetate
1	0.07725200891946085	0.635642015608502	1	5-hydroxyindoleacetate
2	0.5858267988711768	7.143564452946297e-05	2	X-24728
2	0.2236515607330467	0.1653537970890036	1	X-24728
3	0.5826332585213901	7.993722151905381e-05	2	N,N,N-trimethyl-5-aminovalerate
3	0.2981081886345186	0.06171365693224381	1	N,N,N-trimethyl-5-aminovalerate
4	0.5609359696743095	0.00016651505059629218	2	cystine
4	0.2436506297658506	0.12975871860890234	1	cystine
5	0.5553942378908561	0.00019923112478415124	2	X-12410
5	-0.08126763465220561	0.6181251741766698	1	X-12410
6	0.5374540553376421	0.00034865843881843277	2	X-12015
6	0.3038926424047082	0.05659833572165239	1	X-12015
7	0.5348240809319355	0.00037748128511014143	2	ceramide (d18:2/24:1, d18:1/24:2)*
7	-0.14318582288744594	0.37808802074483994	1	ceramide (d18:2/24:1, d18:1/24:2)*
8	0.5322880341835753	0.00040727946072669066	2	N-acetyltaurine
8	0.2838365525172125	0.0759108140557813	1	N-acetyltaurine
9	0.5201304468036392	0.0005814732756385415	2	N-carbamoylvaline
9	0.2438589293068175	0.12942079647707855	1	N-carbamoylvaline
10	0.5040164527235471	0.0009136782180413232	2	X-26108
10	0.2958547724054703	0.06380311875521007	1	X-26108
11	0.5022311838326411	0.0009592903864889516	2	2-hydroxyhippurate (salicylurate)
11	0.25012920142436457	0.11955290213390167	1	2-hydroxyhippurate (salicylurate)
12	0.5013858349165211	0.000981585673900125	2	X-25810
12	0.2886250620039402	0.07088751359929629	1	X-25810
13	0.5005404860004011	0.0010043400519057343	2	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*
13	0.49115084558965877	0.00129042613880016	1	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*
14	0.48532420551024064	0.0015022649234189623	2	X-22162
14	0.48824018296047145	0.0013926898584993188	1	X-22162
15	0.483821362992694	0.0015616593566272765	2	X-23654
15	0.5648563347481147	0.00014638784638048614	1	X-23654
16	0.482694231104534	0.0016075569731923227	2	guaiacol sulfate
16	0.0	1.0	1	guaiacol sulfate
17	0.4810974609296407	0.0016746168998017783	2	X-25422
17	0.4193232032887434	0.007074396436839809	1	X-25422
18	0.4730879774762798	0.002049634229926181	2	X-24531
18	0.43602396127474036	0.004916215343072635	1	X-24531
19	0.4717046951949737	0.0021213947245874933	2	adenosine 3',5'-cyclic monophosphate (cAMP)
19	0.5860760042383197	7.080805613326414e-05	1	adenosine 3',5'-cyclic monophosphate (cAMP)
