Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.5916299380520114	5.805672676953056e-05	2	X-23654
1	0.36605049775430554	0.02018092822433516	1	X-23654
2	0.5829971142136632	7.892433007261532e-05	2	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*
2	0.08942479476028022	0.5831844597758429	1	1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*
3	0.5009387996672316	0.0009935608772107518	2	indoleacetylglutamine
3	0.007232085718219417	0.9646733643536205	1	indoleacetylglutamine
4	0.48090458882102427	0.0016828818106983266	2	N,N,N-trimethyl-5-aminovalerate
4	0.05733321049163822	0.7252897343874972	1	N,N,N-trimethyl-5-aminovalerate
5	0.46157457022646214	0.0027177533691284425	2	erythronate*
5	0.022895750179966815	0.8884767577595161	1	erythronate*
6	0.4421507165901788	0.004282193365935921	2	5-(galactosylhydroxy)-lysine
6	0.5087735962122134	0.00080140786731153	1	5-(galactosylhydroxy)-lysine
7	0.4361452739200236	0.004902911637181955	2	sphingomyelin (d18:2/14:0, d18:1/14:1)*
7	0.11025617402238119	0.49822916333594314	1	sphingomyelin (d18:2/14:0, d18:1/14:1)*
8	0.4354884286279754	0.004975319430800457	2	hydroxyasparagine**
8	0.27822089870328526	0.08215226226034301	1	hydroxyasparagine**
9	0.43156202721536724	0.005427801190287056	2	X-12096
9	0.24636321084569873	0.12540932267889732	1	X-12096
10	0.4312658517505224	0.0054633340901268715	2	1-stearoyl-GPC (18:0)
10	-0.04363329440034659	0.7892091350650783	1	1-stearoyl-GPC (18:0)
11	0.42638642958102135	0.006078410038240552	2	carnitine
11	0.045134655067885394	0.7821289620462165	1	carnitine
12	0.4244273450703812	0.006341700351459533	2	myristoyl-linoleoyl-glycerol (14:0/18:2) [2]*
12	0.21445330925044634	0.18390270225332794	1	myristoyl-linoleoyl-glycerol (14:0/18:2) [2]*
13	0.42385288345454963	0.006420748104596973	2	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*
13	0.2832074398770786	0.07659098041845029	1	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [2]*
14	0.4217885125366837	0.0067118740922940566	2	5-methylthioadenosine (MTA)
14	0.29079479429392274	0.06869930664277278	1	5-methylthioadenosine (MTA)
15	0.4167878874135337	0.007464683815438206	2	S-adenosylhomocysteine (SAH)
15	0.4008632982328616	0.010365419987824432	1	S-adenosylhomocysteine (SAH)
16	0.4153138946579226	0.007699999198664774	2	diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*
16	0.09815145364034954	0.5468163110791727	1	diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*
17	0.4116543280307968	0.008311984139793489	2	palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*
17	0.08355663570589561	0.6082318100242852	1	palmitoyl-oleoyl-glycerol (16:0/18:1) [1]*
18	0.4109036476970274	0.0084425519320341	2	1-linoleoylglycerol (18:2)
18	-0.08126114613053796	0.6181533142257616	1	1-linoleoylglycerol (18:2)
19	0.4012386383997463	0.010287331130790488	2	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*
19	0.3256075947724789	0.040338148937415476	1	palmitoyl-arachidonoyl-glycerol (16:0/20:4) [1]*
20	0.3972037316057358	0.011153684118710698	2	palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*
20	0.11081918427270823	0.49602427533830484	1	palmitoyl-linoleoyl-glycerol (16:0/18:2) [2]*
21	0.3971098965640146	0.011174549736522953	2	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
