Rank(ACPA–)	Rho	pvalue	RA_phenotype	feature_name
1	0.6830034050253775	8.641359174522702e-05	2	CXCL12_2330-2
1	-0.20690190612047749	0.281526544714228	1	CXCL12_2330-2
2	0.67475916708171	0.0001132047862573268	2	PAPPA_4148-49
2	0.12404191014417117	0.5214664610383908	1	PAPPA_4148-49
3	0.6520284932430211	0.0002286705459936544	2	BLMH_14250-115
3	0.2004517267929806	0.29712796039976563	1	BLMH_14250-115
4	0.6335379773633725	0.0003888989256659019	2	NLGN3_8941-4
4	0.129003586549938	0.5048086653124053	1	NLGN3_8941-4
5	0.6164153293265247	0.0006174803772027599	2	GFRA1_3314-74
5	-0.08806975620236152	0.6496180875864026	1	GFRA1_3314-74
6	0.5618765244684165	0.0022885475881232195	2	CCL22_3508-78
6	-0.3083681886184095	0.1036288482215424	1	CCL22_3508-78
7	0.5568031472723134	0.0025564714484729552	2	CHST12_6626-81
7	0.14415445369236576	0.4556321833531749	1	CHST12_6626-81
8	0.5466563928801073	0.003173767615439763	2	TPSG1_3404-51
8	-0.14314436430637353	0.45882936695432497	1	TPSG1_3404-51
9	0.5441197042820557	0.0033466167031510076	2	FBLN5_10738-11
9	0.0004961676405766846	0.997961880672368	1	FBLN5_10738-11
10	0.5428513599830299	0.0034360130152595414	2	PTN_3045-72
10	-0.22253118679864303	0.24593712191329545	1	PTN_3045-72
11	0.5390463270859526	0.0037165300272560707	2	FABP4_15386-7
11	-0.09451993552985842	0.625755266379683	1	FABP4_15386-7
12	0.5384121549364397	0.003765129968428914	2	CCDC80_3234-23
12	-0.23716813219565525	0.21542831611578148	1	CCDC80_3234-23
13	0.5373078490625657	0.003851051534877448	2	IGF1_8406-17
13	-0.2525804369343001	0.18619810027311465	1	IGF1_8406-17
14	0.5365915421046652	0.003907672818845108	2	NRP2_15387-44
14	-0.1453771186889686	0.45177802023843705	1	NRP2_15387-44
15	0.536509638487901	0.003914191911495546	2	CTF1_13732-79
15	0.2302501429027804	0.2295104797018534	1	CTF1_13732-79
16	0.536509638487901	0.003914191911495546	2	BAMBI_8811-24
16	-0.16139840297226146	0.40291340986775237	1	BAMBI_8811-24
17	0.5301679169927722	0.004447901963368273	2	ANGPT2_2602-2
17	-0.003721257304325135	0.9847149713024661	1	ANGPT2_2602-2
18	0.5225578511986175	0.005168813788758012	2	CCL22_22993-9
18	-0.28504830951130533	0.13392442265722784	1	CCL22_22993-9
19	0.5214487035766576	0.0052817227172144605	2	TLR2_3835-11
19	-0.09428346368863853	0.626623797729347	1	TLR2_3835-11
20	0.5212895068995917	0.005298098744892307	2	CAPG_4968-50
20	-0.09228718114726334	0.6339752682311965	1	CAPG_4968-50
21	0.5174844740025145	0.005702504755398757	2	DNAJB12_8006-12
21	-0.09228718114726334	0.6339752682311965	1	DNAJB12_8006-12
22	0.5143136132549501	0.006059164996051082	2	EDN3_15383-200
22	-0.08261191215601799	0.6700792063395482	1	EDN3_15383-200
23	0.5098744082083598	0.006590009326598535	2	GDF7_22967-15
23	0.47880177315650063	0.008598129111518428	1	GDF7_22967-15
24	0.5079718917598213	0.006829230871619588	2	PRSS57_8351-17
24	-0.15058687891502376	0.43555202403319304	1	PRSS57_8351-17
25	0.4990934816666408	0.008044615091300606	2	EFEMP1_8480-29
25	0.0803791577734229	0.6785177145643024	1	EFEMP1_8480-29
26	0.4985354043667457	0.00812671590337933	2	KIF1C_9899-28
26	0.02927389079402439	0.8801789396220427	1	KIF1C_9899-28
27	0.497825137367615	0.008232221945570039	2	SPATA9_7809-22
27	0.28207130366784516	0.13821322820646337	1	SPATA9_7809-22
28	0.4971909652181022	0.008327393443071634	2	GLTPD2_7948-129
28	-0.15157921419617715	0.43249774899722915	1	GLTPD2_7948-129
29	0.4952884487695635	0.0086184632519319	2	RNASE6_5646-20
29	-0.10816454564571724	0.576499648259736	1	RNASE6_5646-20
30	0.48894672727443467	0.009651018104163757	2	ADAM22_7933-75
30	-0.06375754181410398	0.7424757481575996	1	ADAM22_7933-75
31	0.48894672727443467	0.009651018104163757	2	GOLM2_8838-10
31	0.006946346968073585	0.9714720358585918	1	GOLM2_8838-10
32	0.4876783829754089	0.009869465948140988	2	GOLM2_10613-33
32	0.09774502519360687	0.6139591915353783	1	GOLM2_10613-33
33	0.4876783829754089	0.009869465948140988	2	FGFBP3_11219-95
33	-0.16274298610915255	0.3989534747839648	1	FGFBP3_11219-95
34	0.4864100386763831	0.010092029569156462	2	LUM_13114-50
34	-0.12056873666013435	0.5332834159277676	1	LUM_13114-50
35	0.4864100386763831	0.010092029569156462	2	EDA2R_3083-71
35	-0.01711778359989562	0.929770572899439	1	EDA2R_3083-71
36	0.4851416943773573	0.010318768673268683	2	MRC2_3041-55
