Rank(ACPA–)	Rho	RA_phenotype
1	-0.5643173653387896	2
1	-0.00859195541062464	1
2	-0.5322190704827369	2
2	-0.2550474942634952	1
3	-0.5238367239044347	2
3	-0.027939525195915152	1
4	-0.519889583413815	2
4	-0.004131263086588605	1
5	-0.49403568676384657	2
5	-0.09014510594753718	1
6	-0.4936599585107701	2
6	0.043566047094934376	1
7	-0.4934952441552852	2
7	-0.0782159903700604	1
8	-0.4903723362963516	2
8	-0.17696502317362175	1
9	-0.4764010780623071	2
9	0.0362005924295204	1
10	-0.4696545161119031	2
10	-0.264297191680636	1
11	-0.46682045701294683	2
11	-0.0574621138407324	1
12	-0.46529247540350105	2
12	-0.14496977740210923	1
13	-0.4625431773523601	2
13	-0.0727400933851907	1
14	-0.46033944865602666	2
14	-0.07840010630230647	1
15	-0.4597466519123792	2
15	0.023333341665018017	1
16	-0.4589990271644712	2
16	0.06746481282219496	1
17	-0.45273130841094644	2
17	-0.13451971116806216	1
18	-0.4518344197938368	2
18	-0.16431930750012688	1
19	-0.45104061057870637	2
19	0.06779027155720392	1
20	-0.4489013303630426	2
20	-0.16943668021941655	1
21	-0.4486405798202421	2
21	-0.11789289637201349	1
22	-0.44692875703439144	2
22	-0.10981739729754661	1
23	-0.4468935760968219	2
23	0.0004227932657617158	1
24	-0.4417155275229562	2
24	-0.20605641160515914	1
25	-0.44154837634946564	2
25	-0.07845441251996596	1
26	-0.4408964235852661	2
26	0.07906847944398489	1
27	-0.43706589039113564	2
27	0.19311513402056413	1
28	-0.4345093428856926	2
28	-0.017277811973277962	1
29	-0.4329125727107992	2
29	0.018402899203894693	1
30	-0.43169884007485393	2
30	-0.04724114521982044	1
31	-0.43065830893447915	2
31	0.038450717955029697	1
32	-0.4305643812771324	2
32	0.09694839142507489	1
33	-0.43028259830509247	2
33	-0.11380285753723075	1
34	-0.4273164467419729	2
34	-0.014650641783404248	1
35	-0.42551224660903597	2
35	-0.2720913529559932	1
36	-0.4238015899481723	2
36	-0.182206637830855	1
37	-0.4231837965012962	2
37	-0.15726967431899802	1
38	-0.42255338661605923	2
38	-0.12310441030960548	1
39	-0.42145339851450553	2
39	-0.1454930096979695	1
40	-0.4182325117056805	2
40	-0.07723007452505964	1
41	-0.41732058159125207	2
41	-0.03666667975931403	1
42	-0.4134869315891136	2
42	-0.04124148978341668	1
43	-0.41085884473905593	2
43	-0.20356895082298368	1
44	-0.41065171791963856	2
44	0.1614009374055866	1
45	-0.4102760072902519	2
45	0.019529607318418858	1
46	-0.4099002966608652	2
46	-0.07469486235220055	1
47	-0.4070545961766573	2
47	-0.11098074928063023	1
48	-0.4062282637003009	2
48	0.09798585214193235	1
49	-0.4047342755067984	2
49	0.06328343909910726	1
50	-0.40417070956271833	2
50	-0.08145542814649148	1
