Rank(ACPA–)	Rho	RA_phenotype
1	0.6310999297122716	2
1	0.09445569693427582	1
2	0.5844178840109768	2
2	0.0428658759010945	1
3	0.5308848041641686	2
3	0.033765385280768424	1
4	0.5252927391865146	2
4	0.07286045807256267	1
5	0.5119996601966949	2
5	0.20705204022324947	1
6	0.5116772099494226	2
6	0.17543448866544656	1
7	0.5072112206471366	2
7	0.08042633671256834	1
8	0.5065286511786372	2
8	0.12957143317027897	1
9	0.505401466419408	2
9	-0.0028169024142878896	1
10	0.5024426064264312	2
10	-0.1381156363720872	1
11	0.4989437158255078	2
11	0.14343400972381568	1
12	0.48722561217683663	2
12	0.19923955158502316	1
13	0.4859816991116674	2
13	-0.0012206004574011786	1
14	0.4809096056149472	2
14	0.29848375800602667	1
15	0.4809096056149472	2
15	-0.07389674000148565	1
16	0.4685111548451869	2
16	0.14746484138797103	1
17	0.46259014558726597	2
17	0.032773039579513934	1
18	0.45928690120325494	2
18	0.00023481898591994665	1
19	0.4552887106653416	2
19	0.26947102405702944	1
20	0.44603128387412666	2
20	0.16079817948226702	1
21	0.4449353128511729	2
21	0.29441325066665597	1
22	0.4439960362777062	2
22	0.18618851592511826	1
23	0.4439592750323661	2
23	0.2317337089778845	1
24	0.44258712141750617	2
24	0.08497257030369743	1
25	0.43995145636266836	2
25	-0.05887602232198523	1
26	0.4384954410805884	2
26	0.25661980994162675	1
27	0.43713336226832006	2
27	0.16268374588969603	1
28	0.4359182577458926	2
28	0.23407361079239525	1
29	0.43549136135923466	2
29	0.08147716322101967	1
30	0.4349054529359463	2
30	0.07755507521641335	1
31	0.4348850535150793	2
31	0.008779345857863923	1
32	0.4339864905296312	2
32	0.15826296730940792	1
33	0.43385184928426584	2
33	0.1380282183001066	1
34	0.4331943556828392	2
34	-0.2914085547580822	1
35	0.43234900676671917	2
35	0.14234079180155282	1
36	0.43234900676671917	2
36	0.1726291696222762	1
37	0.4317854408226391	2
37	0.15432654335914311	1
38	0.4316915131652925	2
38	0.05107743452509547	1
39	0.4316915131652925	2
39	0.14965957238128005	1
40	0.4306785100888367	2
40	0.2270316850766192	1
41	0.43060477761641325	2
41	-0.014459420803060114	1
42	0.43018206350226107	2
42	0.28793437511379383	1
43	0.42962510470366577	2
43	0.16506273877779015	1
44	0.4285180726336472	2
44	0.20295781894944245	1
45	0.42830333410602883	2
45	0.05625470787345605	1
46	0.4268065399891876	2
46	0.10724517850005462	1
47	0.42640460121009244	2
47	0.2106005250731418	1
48	0.426028872957016	2
48	0.164835739609413	1
49	0.42502264949367896	2
49	0.2162543531220606	1
50	0.4237745034385576	2
50	0.22260312413535174	1
61	-0.40417070956271833	2
61	-0.08145542814649148	1
62	-0.4047342755067984	2
62	0.06328343909910726	1
63	-0.4062282637003009	2
63	0.09798585214193235	1
64	-0.4070545961766573	2
64	-0.11098074928063023	1
65	-0.4099002966608652	2
65	-0.07469486235220055	1
66	-0.4102760072902519	2
66	0.019529607318418858	1
67	-0.41065171791963856	2
67	0.1614009374055866	1
68	-0.41085884473905593	2
68	-0.20356895082298368	1
69	-0.4134869315891136	2
69	-0.04124148978341668	1
70	-0.41732058159125207	2
70	-0.03666667975931403	1
71	-0.4182325117056805	2
71	-0.07723007452505964	1
72	-0.42145339851450553	2
72	-0.1454930096979695	1
73	-0.42255338661605923	2
73	-0.12310441030960548	1
74	-0.4231837965012962	2
74	-0.15726967431899802	1
75	-0.4238015899481723	2
75	-0.182206637830855	1
76	-0.42551224660903597	2
76	-0.2720913529559932	1
77	-0.4273164467419729	2
77	-0.014650641783404248	1
78	-0.43028259830509247	2
78	-0.11380285753723075	1
79	-0.4305643812771324	2
79	0.09694839142507489	1
80	-0.43065830893447915	2
80	0.038450717955029697	1
81	-0.43169884007485393	2
81	-0.04724114521982044	1
82	-0.4329125727107992	2
82	0.018402899203894693	1
83	-0.4345093428856926	2
83	-0.017277811973277962	1
84	-0.43706589039113564	2
84	0.19311513402056413	1
85	-0.4408964235852661	2
85	0.07906847944398489	1
86	-0.44154837634946564	2
86	-0.07845441251996596	1
87	-0.4417155275229562	2
87	-0.20605641160515914	1
88	-0.4468935760968219	2
88	0.0004227932657617158	1
89	-0.44692875703439144	2
89	-0.10981739729754661	1
90	-0.4486405798202421	2
90	-0.11789289637201349	1
91	-0.4489013303630426	2
91	-0.16943668021941655	1
92	-0.45104061057870637	2
92	0.06779027155720392	1
93	-0.4518344197938368	2
93	-0.16431930750012688	1
94	-0.45273130841094644	2
94	-0.13451971116806216	1
95	-0.4589990271644712	2
95	0.06746481282219496	1
96	-0.4597466519123792	2
96	0.023333341665018017	1
97	-0.46033944865602666	2
97	-0.07840010630230647	1
98	-0.4625431773523601	2
98	-0.0727400933851907	1
99	-0.46529247540350105	2
99	-0.14496977740210923	1
100	-0.46682045701294683	2
100	-0.0574621138407324	1
101	-0.4696545161119031	2
101	-0.264297191680636	1
102	-0.4764010780623071	2
102	0.0362005924295204	1
103	-0.4903723362963516	2
103	-0.17696502317362175	1
104	-0.4934952441552852	2
104	-0.0782159903700604	1
105	-0.4936599585107701	2
105	0.043566047094934376	1
106	-0.49403568676384657	2
106	-0.09014510594753718	1
107	-0.519889583413815	2
107	-0.004131263086588605	1
108	-0.5238367239044347	2
108	-0.027939525195915152	1
109	-0.5322190704827369	2
109	-0.2550474942634952	1
110	-0.5643173653387896	2
110	-0.00859195541062464	1
