Rank(ACPA–)	Rho	RA_phenotype
1	-0.48303853438279054	2
1	-0.2598292305259349	1
2	-0.46996997824770825	2
2	0.09461235216819973	1
3	-0.44357904847546403	2
3	-0.03195233044338809	1
4	-0.440086345672313	2
4	0.07042980604530852	1
5	-0.4194426364936543	2
5	0.18435623447835922	1
6	-0.4193488014519332	2
6	0.05311561655115873	1
7	-0.4105584250836225	2
7	-0.26002909738216856	1
8	-0.3990427518305707	2
8	-0.08379862286621312	1
9	-0.39633088877430134	2
9	0.14353416168727431	1
10	-0.3956085358964758	2
10	0.25327265746462396	1
11	-0.391479794060744	2
11	0.0795721153795568	1
12	-0.3909351207845956	2
12	0.016468822299015008	1
13	-0.3882894026422241	2
13	0.26656344313350944	1
14	-0.38817456764107044	2
14	0.09918829156728698	1
15	-0.37565691352347763	2
15	0.26945996143374124	1
16	-0.37468332159265366	2
16	0.06831831952163171	1
17	-0.3725251156330666	2
17	0.09458572205494487	1
18	-0.36773952850528674	2
18	-0.09496106222182958	1
19	-0.36664790435579	2
19	0.05935344788676349	1
20	-0.3662381678377479	2
20	0.2218364439593816	1
21	-0.3614864928534689	2
21	-0.14131557283209026	1
22	-0.358262189291448	2
22	0.19001595948538033	1
23	-0.3523505816630139	2
23	0.20362204053495078	1
24	-0.3434684745180935	2
24	-0.06786502095989826	1
25	-0.34184105699024225	2
25	0.14206625316585966	1
26	-0.34137188178163635	2
26	0.0700009411239969	1
27	-0.33789998523795284	2
27	0.12179788415408575	1
28	-0.3371651197741363	2
28	0.1561634851942779	1
29	-0.3361171194452505	2
29	0.3574176739159573	1
30	-0.33358357331877875	2
30	0.29204204718587623	1
31	-0.33014086835616424	2
31	0.08650957719140816	1
32	-0.32821884962487213	2
32	0.15996433925098957	1
33	-0.32599822602152784	2
33	0.24519096401743148	1
34	-0.3258890998976424	2
34	-0.053723081288809635	1
35	-0.3249014454664914	2
35	0.19799193803168022	1
36	-0.3232768821658501	2
36	0.01904851346939862	1
37	-0.32251103839568007	2
37	-0.014357434824782314	1
38	-0.32027401998027477	2
38	0.18255197354561206	1
39	-0.31501901115551784	2
39	0.10838455701061159	1
40	-0.3148165649745437	2
40	-0.020362204053495078	1
41	-0.3117200085977449	2
41	0.3192887058256328	1
42	-0.3103124829719273	2
42	-0.09618091776420486	1
43	-0.31016519617045235	2
43	-0.004599427423284944	1
44	-0.3089194473410678	2
44	0.20230834995085428	1
45	-0.30816873179467397	2
45	0.20230834995085428	1
46	-0.30816873179467397	2
46	0.11194520477336234	1
47	-0.3063857823719886	2
47	0.13569183501068774	1
48	-0.3061981034853901	2
48	0.07047011633260278	1
49	-0.3033829201864132	2
49	0.1175808224539362	1
50	-0.30325638672273747	2
50	0.28253015154890243	1
