Rank(ACPA–)	Rho	RA_phenotype
1	0.44090462434143596	2
1	-0.026836821932256186	1
2	0.4369369446328534	2
2	0.042225768774528966	1
3	0.4358842141249271	2
3	-0.0015483508144373084	1
4	0.4302271096798359	2
4	-0.2137662518356478	1
5	0.4081077389083548	2
5	0.04175659356592309	1
6	0.39437876070007866	2
6	-0.2827249807059017	1
7	0.3867123458361301	2
7	-0.05198461311353121	1
8	0.38059492922108773	2
8	-0.15056538677361583	1
9	0.3772991808196708	2
9	-0.15994933110353893	1
10	0.37725225889692243	2
10	-0.007790501220198986	1
11	0.3722316131628465	2
11	0.23736449413719943	1
12	0.371680600257576	2
12	-0.08473304267422145	1
13	0.3713226771350563	2
13	-0.09561790751387782	1
14	0.370618881310312	2
14	0.06747689053767175	1
15	0.36203257224843244	2
15	0.12508797791787465	1
16	0.36034346226904623	2
16	0.012761565674079866	1
17	0.3576221184133686	2
17	-0.250258056270375	1
18	0.35301572750825083	2
18	-0.06525419251496176	1
19	0.3502252313938593	2
19	0.018392530886649237	1
20	0.3489277872309647	2
20	-0.04312124700575518	1
21	0.34634696040233326	2
21	-0.07535660793388772	1
22	0.3446561082418775	2
22	0.05498733444860883	1
23	0.339026005738607	2
23	0.03659566627125844	1
24	0.3387611464943046	2
24	0.05204129539578664	1
25	0.33791583532053016	2
25	-0.09862525490749158	1
26	0.33499109894459644	2
26	0.0018299549871865638	1
27	0.3322070490306909	2
27	0.29699159933211355	1
28	0.3298301716499318	2
28	-0.06455850870416872	1
29	0.327373410656604	2
29	-0.2818732138107053	1
30	0.32338448578478474	2
30	0.14704640764989466	1
31	0.32298021360428597	2
31	-0.20846432328924125	1
32	0.32185419310363184	2
32	-0.21234869941502008	1
33	0.3216816116297632	2
33	-0.03997372777322075	1
34	0.31897523084344254	2
34	0.022332739929639762	1
35	0.31775526085198486	2
35	0.14272304892050527	1
36	0.31755267612459703	2
36	-0.11307652917557312	1
37	0.31539436892871475	2
37	-0.311250833389139	1
38	0.3152658504574349	2
38	-0.08577327478402663	1
39	0.3127521940566778	2
39	0.050389417404271226	1
40	0.31265835901495664	2
40	-0.32961104458854823	1
41	0.3115615670491996	2
41	-0.09345970155429076	1
42	0.31048236282598696	2
42	0.15370179833928543	1
43	0.3087317684544693	2
43	0.010746632889960195	1
44	0.3066529163448014	2
44	-0.1693801951551116	1
45	0.3048048101734338	2
45	0.025993525793886935	1
46	0.30417233806438493	2
46	-0.046686408193897896	1
47	0.3030075624132163	2
47	-0.02552313134815973	1
48	0.30114036355840423	2
48	-0.05142642733221728	1
49	0.2994040080259653	2
49	0.04532445111352848	1
50	0.2991457056108759	2
50	-0.0417116325465081	1
61	-0.30325638672273747	2
61	0.28253015154890243	1
62	-0.3033829201864132	2
62	0.1175808224539362	1
63	-0.3061981034853901	2
63	0.07047011633260278	1
64	-0.3063857823719886	2
64	0.13569183501068774	1
65	-0.30816873179467397	2
65	0.20230834995085428	1
66	-0.30816873179467397	2
66	0.11194520477336234	1
67	-0.3089194473410678	2
67	0.20230834995085428	1
68	-0.31016519617045235	2
68	-0.004599427423284944	1
69	-0.3103124829719273	2
69	-0.09618091776420486	1
70	-0.3117200085977449	2
70	0.3192887058256328	1
71	-0.3148165649745437	2
71	-0.020362204053495078	1
72	-0.31501901115551784	2
72	0.10838455701061159	1
73	-0.32027401998027477	2
73	0.18255197354561206	1
74	-0.32251103839568007	2
74	-0.014357434824782314	1
75	-0.3232768821658501	2
75	0.01904851346939862	1
76	-0.3249014454664914	2
76	0.19799193803168022	1
77	-0.3258890998976424	2
77	-0.053723081288809635	1
78	-0.32599822602152784	2
78	0.24519096401743148	1
79	-0.32821884962487213	2
79	0.15996433925098957	1
80	-0.33014086835616424	2
80	0.08650957719140816	1
81	-0.33358357331877875	2
81	0.29204204718587623	1
82	-0.3361171194452505	2
82	0.3574176739159573	1
83	-0.3371651197741363	2
83	0.1561634851942779	1
84	-0.33789998523795284	2
84	0.12179788415408575	1
85	-0.34137188178163635	2
85	0.0700009411239969	1
86	-0.34184105699024225	2
86	0.14206625316585966	1
87	-0.3434684745180935	2
87	-0.06786502095989826	1
88	-0.3523505816630139	2
88	0.20362204053495078	1
89	-0.358262189291448	2
89	0.19001595948538033	1
90	-0.3614864928534689	2
90	-0.14131557283209026	1
91	-0.3662381678377479	2
91	0.2218364439593816	1
92	-0.36664790435579	2
92	0.05935344788676349	1
93	-0.36773952850528674	2
93	-0.09496106222182958	1
94	-0.3725251156330666	2
94	0.09458572205494487	1
95	-0.37468332159265366	2
95	0.06831831952163171	1
96	-0.37565691352347763	2
96	0.26945996143374124	1
97	-0.38817456764107044	2
97	0.09918829156728698	1
98	-0.3882894026422241	2
98	0.26656344313350944	1
99	-0.3909351207845956	2
99	0.016468822299015008	1
100	-0.391479794060744	2
100	0.0795721153795568	1
101	-0.3956085358964758	2
101	0.25327265746462396	1
102	-0.39633088877430134	2
102	0.14353416168727431	1
103	-0.3990427518305707	2
103	-0.08379862286621312	1
104	-0.4105584250836225	2
104	-0.26002909738216856	1
105	-0.4193488014519332	2
105	0.05311561655115873	1
106	-0.4194426364936543	2
106	0.18435623447835922	1
107	-0.440086345672313	2
107	0.07042980604530852	1
108	-0.44357904847546403	2
108	-0.03195233044338809	1
109	-0.46996997824770825	2
109	0.09461235216819973	1
110	-0.48303853438279054	2
110	-0.2598292305259349	1
