Rank(ACPA–)	Rho	RA_phenotype
1	-0.45126775653240714	2
1	0.058669472662424976	1
2	-0.4218950078789131	2
2	-0.1081732993064155	1
3	-0.3952589495355568	2
3	-0.01797200787321147	1
4	-0.3783169966368607	2
4	-0.18324513493875746	1
5	-0.3746167730941204	2
5	0.22543023380513807	1
6	-0.36864268220935104	2
6	0.07604875357281767	1
7	-0.35919932836766866	2
7	0.06083897826876155	1
8	-0.35035735872953244	2
8	0.1470270637004393	1
9	-0.3470283607641632	2
9	0.2354853121650699	1
10	-0.34673318495404337	2
10	0.032243964216335394	1
11	-0.34035367349850404	2
11	0.02433482560677923	1
12	-0.3383698703339828	2
12	0.2061764593618005	1
13	-0.3354181122327849	2
13	0.15197423994437648	1
14	-0.33079369120757496	2
14	0.035133208321741785	1
15	-0.3279834450999487	2
15	-0.005952144086626306	1
16	-0.32715318954943085	2
16	0.11140925270447068	1
17	-0.3270209406973918	2
17	0.08627719535274832	1
18	-0.3258893803489579	2
18	0.14100938527116982	1
19	-0.3252006044846938	2
19	-0.24189094659163224	1
20	-0.3214766159161304	2
20	-0.13921787258944593	1
21	-0.3213480652837417	2
21	0.13309205503258364	1
22	-0.3204693829744154	2
22	-0.14160162836398524	1
23	-0.31483453707488807	2
23	0.04310970377304101	1
24	-0.3138013248106948	2
24	0.06778509721954036	1
25	-0.3081635457650579	2
25	0.030982105760650035	1
26	-0.301571286005716	2
26	-0.0579004518723442	1
27	-0.2973044246440458	2
27	-0.17463000266522263	1
28	-0.29254667251871924	2
28	0.08419683431276241	1
29	-0.2912045957556585	2
29	-0.14007764335905015	1
30	-0.2909094060995453	2
30	-0.060789695977750594	1
31	-0.2900730354072246	2
31	-0.18294693675433307	1
32	-0.2900594294110443	2
32	0.23402877253791815	1
33	-0.2869108874364332	2
33	-0.03756017337028317	1
34	-0.2868886053576609	2
34	-0.08432521460532835	1
35	-0.2837264578007911	2
35	-0.1702342626905449	1
36	-0.28067616468762147	2
36	-0.02242166898651463	1
37	-0.28061380348721104	2
37	-0.10373436334497944	1
38	-0.27501836294545207	2
38	0.15139639112329523	1
39	-0.27458845935536025	2
39	0.060275733130258254	1
40	-0.2729392324240966	2
40	-0.12448123601397533	1
41	-0.2707762209076392	2
41	-0.05657426272628305	1
42	-0.26698742043337276	2
42	0.15863555843006605	1
43	-0.26654375653816786	2
43	-0.20827779693331805	1
44	-0.265621492225849	2
44	0.0631010912620757	1
45	-0.2637887823103832	2
45	-0.1865968277254014	1
46	-0.2634936065002634	2
46	0.0695187314195286	1
47	-0.2633952145635568	2
47	-0.12788441615246618	1
48	-0.2624359151050872	2
48	0.3122853072245491	1
49	-0.2620914971646402	2
49	0.060102360935252716	1
50	-0.2620300180764719	2
50	-0.07049755617191608	1
