Rank(ACPA–)	Rho	RA_phenotype
1	0.43213738601536855	2
1	0.3961354146973139	1
2	0.40321015662362947	2
2	-0.225823319278564	1
3	0.3946193719473115	2
3	-0.08962888813939224	1
4	0.39389987557767675	2
4	-0.052129878717687206	1
5	0.37710478568459577	2
5	-0.2514798069345728	1
6	0.375562022409076	2
6	0.01895440058653814	1
7	0.3743356048039507	2
7	0.1887923166847458	1
8	0.37113438525727915	2
8	0.1018799031526425	1
9	0.3627710706372185	2
9	0.06714943134621135	1
10	0.3589506218336348	2
10	-0.10962346924592334	1
11	0.3559987252725029	2
11	0.14053283328696714	1
12	0.3467986476569752	2
12	-0.07454249791948506	1
13	0.3458309050006858	2
13	-0.03907246831444286	1
14	0.33446557009455996	2
14	-0.2520576557556541	1
15	0.3321687260819494	2
15	0.23804002374260183	1
16	0.3306952992708683	2
16	-0.20062911067942021	1
17	0.33020333958733533	2
17	0.16833588081885856	1
18	0.3265274871236482	2
18	0.253675679356149	1
19	0.3241978575253985	2
19	0.112917374225901	1
20	0.3239214493082033	2
20	0.1189212873785273	1
21	0.3193609908037347	2
21	0.07876478048613259	1
22	0.31697990461330405	2
22	0.07463428389444884	1
23	0.315444549081346	2
23	-0.22235622635207633	1
24	0.313885001000355	2
24	0.16453854180626992	1
25	0.3101604815940138	2
25	-0.09911110481149846	1
26	0.31004753547088354	2
26	0.09892771816911504	1
27	0.3099983371948647	2
27	-0.3921299635249531	1
28	0.3091474651321238	2
28	-0.03594219667125558	1
29	0.3065892747777524	2
29	0.07465806768370131	1
30	0.3042278682967941	2
30	-0.08167897840647455	1
31	0.3012761101955962	2
31	-0.18907213425779462	1
32	0.2992098795247577	2
32	-0.3300261638710955	1
33	0.29578003542541287	2
33	-0.07604875357281767	1
34	0.2957447104793174	2
34	-0.043343048751384165	1
35	0.2952742020564938	2
35	-0.1664373072053152	1
36	0.29387508828696773	2
36	-0.1112993156392453	1
37	0.2932746961155694	2
37	-0.3494287086212374	1
38	0.2921256600818828	2
38	0.12828243828004401	1
39	0.2891739019806849	2
39	0.08754852709940636	1
40	0.2889464983066695	2
40	0.12094107041610146	1
41	0.2888616388202099	2
41	0.09559070886813152	1
42	0.285734602000847	2
42	-0.15449808846820381	1
43	0.28533661644912767	2
43	0.12933565747413037	1
44	0.28435269708206173	2
44	0.04802652906252557	1
45	0.2810697508957724	2
45	0.14875334331475046	1
46	0.27874435668978575	2
46	-0.1622681611188997	1
47	0.2767895008821312	2
47	-0.142266379750211	1
48	0.2727680377470198	2
48	0.19249185993882534	1
49	0.27172207845218815	2
49	-0.07396464909840376	1
50	0.2710697856266713	2
50	0.0521219636615314	1
