Rank(ACPA–)	Rho	RA_phenotype
1	0.43213738601536855	2
1	0.3961354146973139	1
2	0.40321015662362947	2
2	-0.225823319278564	1
3	0.3946193719473115	2
3	-0.08962888813939224	1
4	0.39389987557767675	2
4	-0.052129878717687206	1
5	0.37710478568459577	2
5	-0.2514798069345728	1
6	0.375562022409076	2
6	0.01895440058653814	1
7	0.3743356048039507	2
7	0.1887923166847458	1
8	0.37113438525727915	2
8	0.1018799031526425	1
9	0.3627710706372185	2
9	0.06714943134621135	1
10	0.3589506218336348	2
10	-0.10962346924592334	1
11	0.3559987252725029	2
11	0.14053283328696714	1
12	0.3467986476569752	2
12	-0.07454249791948506	1
13	0.3458309050006858	2
13	-0.03907246831444286	1
14	0.33446557009455996	2
14	-0.2520576557556541	1
15	0.3321687260819494	2
15	0.23804002374260183	1
16	0.3306952992708683	2
16	-0.20062911067942021	1
17	0.33020333958733533	2
17	0.16833588081885856	1
18	0.3265274871236482	2
18	0.253675679356149	1
19	0.3241978575253985	2
19	0.112917374225901	1
20	0.3239214493082033	2
20	0.1189212873785273	1
21	0.3193609908037347	2
21	0.07876478048613259	1
22	0.31697990461330405	2
22	0.07463428389444884	1
23	0.315444549081346	2
23	-0.22235622635207633	1
24	0.313885001000355	2
24	0.16453854180626992	1
25	0.3101604815940138	2
25	-0.09911110481149846	1
26	0.31004753547088354	2
26	0.09892771816911504	1
27	0.3099983371948647	2
27	-0.3921299635249531	1
28	0.3091474651321238	2
28	-0.03594219667125558	1
29	0.3065892747777524	2
29	0.07465806768370131	1
30	0.3042278682967941	2
30	-0.08167897840647455	1
31	0.3012761101955962	2
31	-0.18907213425779462	1
32	0.2992098795247577	2
32	-0.3300261638710955	1
33	0.29578003542541287	2
33	-0.07604875357281767	1
34	0.2957447104793174	2
34	-0.043343048751384165	1
35	0.2952742020564938	2
35	-0.1664373072053152	1
36	0.29387508828696773	2
36	-0.1112993156392453	1
37	0.2932746961155694	2
37	-0.3494287086212374	1
38	0.2921256600818828	2
38	0.12828243828004401	1
39	0.2891739019806849	2
39	0.08754852709940636	1
40	0.2889464983066695	2
40	0.12094107041610146	1
41	0.2888616388202099	2
41	0.09559070886813152	1
42	0.285734602000847	2
42	-0.15449808846820381	1
43	0.28533661644912767	2
43	0.12933565747413037	1
44	0.28435269708206173	2
44	0.04802652906252557	1
45	0.2810697508957724	2
45	0.14875334331475046	1
46	0.27874435668978575	2
46	-0.1622681611188997	1
47	0.2767895008821312	2
47	-0.142266379750211	1
48	0.2727680377470198	2
48	0.19249185993882534	1
49	0.27172207845218815	2
49	-0.07396464909840376	1
50	0.2710697856266713	2
50	0.0521219636615314	1
61	-0.2620300180764719	2
61	-0.07049755617191608	1
62	-0.2620914971646402	2
62	0.060102360935252716	1
63	-0.2624359151050872	2
63	0.3122853072245491	1
64	-0.2633952145635568	2
64	-0.12788441615246618	1
65	-0.2634936065002634	2
65	0.0695187314195286	1
66	-0.2637887823103832	2
66	-0.1865968277254014	1
67	-0.265621492225849	2
67	0.0631010912620757	1
68	-0.26654375653816786	2
68	-0.20827779693331805	1
69	-0.26698742043337276	2
69	0.15863555843006605	1
70	-0.2707762209076392	2
70	-0.05657426272628305	1
71	-0.2729392324240966	2
71	-0.12448123601397533	1
72	-0.27458845935536025	2
72	0.060275733130258254	1
73	-0.27501836294545207	2
73	0.15139639112329523	1
74	-0.28061380348721104	2
74	-0.10373436334497944	1
75	-0.28067616468762147	2
75	-0.02242166898651463	1
76	-0.2837264578007911	2
76	-0.1702342626905449	1
77	-0.2868886053576609	2
77	-0.08432521460532835	1
78	-0.2869108874364332	2
78	-0.03756017337028317	1
79	-0.2900594294110443	2
79	0.23402877253791815	1
80	-0.2900730354072246	2
80	-0.18294693675433307	1
81	-0.2909094060995453	2
81	-0.060789695977750594	1
82	-0.2912045957556585	2
82	-0.14007764335905015	1
83	-0.29254667251871924	2
83	0.08419683431276241	1
84	-0.2973044246440458	2
84	-0.17463000266522263	1
85	-0.301571286005716	2
85	-0.0579004518723442	1
86	-0.3081635457650579	2
86	0.030982105760650035	1
87	-0.3138013248106948	2
87	0.06778509721954036	1
88	-0.31483453707488807	2
88	0.04310970377304101	1
89	-0.3204693829744154	2
89	-0.14160162836398524	1
90	-0.3213480652837417	2
90	0.13309205503258364	1
91	-0.3214766159161304	2
91	-0.13921787258944593	1
92	-0.3252006044846938	2
92	-0.24189094659163224	1
93	-0.3258893803489579	2
93	0.14100938527116982	1
94	-0.3270209406973918	2
94	0.08627719535274832	1
95	-0.32715318954943085	2
95	0.11140925270447068	1
96	-0.3279834450999487	2
96	-0.005952144086626306	1
97	-0.33079369120757496	2
97	0.035133208321741785	1
98	-0.3354181122327849	2
98	0.15197423994437648	1
99	-0.3383698703339828	2
99	0.2061764593618005	1
100	-0.34035367349850404	2
100	0.02433482560677923	1
101	-0.34673318495404337	2
101	0.032243964216335394	1
102	-0.3470283607641632	2
102	0.2354853121650699	1
103	-0.35035735872953244	2
103	0.1470270637004393	1
104	-0.35919932836766866	2
104	0.06083897826876155	1
105	-0.36864268220935104	2
105	0.07604875357281767	1
106	-0.3746167730941204	2
106	0.22543023380513807	1
107	-0.3783169966368607	2
107	-0.18324513493875746	1
108	-0.3952589495355568	2
108	-0.01797200787321147	1
109	-0.4218950078789131	2
109	-0.1081732993064155	1
110	-0.45126775653240714	2
110	0.058669472662424976	1
