Rank(ACPA–)	Rho	RA_phenotype
1	-0.5676040941028286	2
1	-0.08886122488789268	1
2	-0.5472329472329472	2
2	-0.3690574985180794	1
3	-0.5446589446589446	2
3	-0.42136463409148844	1
4	-0.5379665379665379	2
4	-0.32222880853586244	1
5	-0.5110381764827574	2
5	-0.24776243301184575	1
6	-0.4947232947232947	2
6	-0.14296722211114163	1
7	-0.4866465033566429	2
7	0.010669195679935942	1
8	-0.4865491094495426	2
8	0.07345269200314898	1
9	-0.46718146718146714	2
9	0.07006520450503853	1
10	-0.46589446589446587	2
10	0.11169077621786334	1
11	-0.45977603676025564	2
11	-0.21633163223062327	1
12	-0.45630068597847323	2
12	0.2163860579592363	1
13	-0.4461033537778694	2
13	-0.011261928773265716	1
14	-0.4404118404118404	2
14	0.04445498199973309	1
15	-0.4373230373230373	2
15	-0.2587454122334845	1
16	-0.43348992946447323	2
16	-0.08594629853281731	1
17	-0.43246026217358374	2
17	-0.20781222252141895	1
18	-0.4324324324324324	2
18	-0.3754371413150792	1
19	-0.43040092759180476	2
19	-0.204967103673436	1
20	-0.42934362934362935	2
20	-0.04742145820983995	1
21	-0.42882882882882883	2
21	-0.10586213046869775	1
22	-0.42831402831402826	2
22	-0.397131172530949	1
23	-0.4272844272844273	2
23	0.012921581434589085	1
24	-0.42352046788530573	2
24	-0.04304773388118104	1
25	-0.41598558551935194	2
25	-0.046710136336692354	1
26	-0.4129231595540034	2
26	-0.31829767111808893	1
27	-0.41065912792623355	2
27	-0.012804552752358117	1
28	-0.4086492060717644	2
28	-0.14333985442223116	1
29	-0.4084180752072483	2
29	-0.0982926257798394	1
30	-0.4061776061776062	2
30	-0.4370405532261617	1
31	-0.40334620334620336	2
31	0.014581234095912454	1
32	-0.39951090886512025	2
32	-0.07932179330122141	1
33	-0.39938220045375905	2
33	-0.0934258108227611	1
34	-0.3979407979407979	2
34	0.1141671606401897	1
35	-0.3979407979407979	2
35	0.19893301719027862	1
36	-0.3945945945945946	2
36	0.08713176471947685	1
37	-0.3934616135311445	2
37	0.018969707781271286	1
38	-0.39186407066064416	2
38	-0.08809580332258223	1
39	-0.3912483912483912	2
39	0.13040901007705988	1
40	-0.3911448621266432	2
40	-0.057972732661529344	1
41	-0.38908552754486425	2
41	-0.3168751116940975	1
42	-0.38610038610038605	2
42	-0.14405121846402882	1
43	-0.3854522246635495	2
43	0.48360898774878486	1
44	-0.38475896964910883	2
44	-0.03272274592269297	1
45	-0.38470944155858383	2
45	0.2158733925907039	1
46	-0.38460056696230804	2
46	-0.16896899538031485	1
47	-0.3836797742676944	2
47	0.015056312981624185	1
48	-0.38336767491044627	2
48	0.31048389061900206	1
49	-0.38277330008613514	2
49	0.024206476509524177	1
50	-0.38275418275418277	2
50	-0.2303360800679504	1
