Rank(ACPA–)	Rho	RA_phenotype
1	0.5737451737451738	2
1	0.05002667307703297	1
2	0.5629343629343629	2
2	-0.0022523857546531433	1
3	0.5616473616473616	2
3	0.1004149377593361	1
4	0.5588159588159588	2
4	-0.09756386716208089	1
5	0.5557057450569431	2
5	0.08299247154306187	1
6	0.5430207875328422	2
6	-0.22061525733734208	1
7	0.5315657389216968	2
7	0.1321951511007343	1
8	0.5138370489213159	2
8	-0.08109069353882632	1
9	0.4957528957528957	2
9	0.05459719020797142	1
10	0.4880622958816159	2
10	0.13490605204185668	1
11	0.4688847425887993	2
11	-0.023946416970522893	1
12	0.4588454865026268	2
12	0.1106171084995382	1
13	0.4538313883544334	2
13	-0.24280888341291873	1
14	0.4517374517374517	2
14	0.08186129223473622	1
15	0.4506081481755109	2
15	-0.1004149377593361	1
16	0.44842010518237074	2
16	0.3399917023339587	1
17	0.44159855938022796	2
17	0.15230924530948378	1
18	0.4375925556551118	2
18	0.33141543572578724	1
19	0.43680823680823677	2
19	-0.07112797119957295	1
20	0.43567797245761336	2
20	-0.27125074096028456	1
21	0.43223066389723913	2
21	0.057258016815656225	1
22	0.4289866307619718	2
22	0.11332881270595994	1
23	0.4272107127679979	2
23	0.1033787788974511	1
24	0.42625482625482625	2
24	0.17888684756692594	1
25	0.42422292384646787	2
25	0.15683717649505835	1
26	0.4202329630942711	2
26	0.29308198522064133	1
27	0.41894587898065927	2
27	-0.21292234736218138	1
28	0.40746460746460744	2
28	0.14237448901781186	1
29	0.4054054054054054	2
29	0.14901309966310533	1
30	0.40260077678080886	2
30	-0.09326455853420512	1
31	0.4023424939150663	2
31	0.26010669828097216	1
32	0.3980176427417345	2
32	-0.237219810828246	1
33	0.3971685971685972	2
33	-0.03135743924125667	1
34	0.3955209481129235	2
34	0.03592175459395377	1
35	0.3954940661878503	2
35	0.1410955665597212	1
36	0.3925606546516162	2
36	0.22590397154712508	1
37	0.39088744530392083	2
37	0.2039134391423989	1
38	0.38949672095087723	2
38	0.1918197984588026	1
39	0.3881595881595881	2
39	-0.015648153663906046	1
40	0.387965729230888	2
40	0.1018991815718849	1
41	0.3855855855855856	2
41	0.03983166387176085	1
42	0.3840906197347712	2
42	0.05098411228628581	1
43	0.38120978120978116	2
43	-0.03319895683758146	1
44	0.3804375804375804	2
44	0.25010374102869865	1
45	0.3803333555723036	2
45	0.03461561265045884	1
46	0.3794079794079794	2
46	-0.2919976289270895	1
47	0.3776061776061776	2
47	-0.06354098760495183	1
48	0.37467018547241143	2
48	0.07527710285288136	1
49	0.37160510025947874	2
49	-0.11475312686864435	1
50	0.3701415701415701	2
50	0.18208760627090675	1
61	-0.38275418275418277	2
61	-0.2303360800679504	1
62	-0.38277330008613514	2
62	0.024206476509524177	1
63	-0.38336767491044627	2
63	0.31048389061900206	1
64	-0.3836797742676944	2
64	0.015056312981624185	1
65	-0.38460056696230804	2
65	-0.16896899538031485	1
66	-0.38470944155858383	2
66	0.2158733925907039	1
67	-0.38475896964910883	2
67	-0.03272274592269297	1
68	-0.3854522246635495	2
68	0.48360898774878486	1
69	-0.38610038610038605	2
69	-0.14405121846402882	1
70	-0.38908552754486425	2
70	-0.3168751116940975	1
71	-0.3911448621266432	2
71	-0.057972732661529344	1
72	-0.3912483912483912	2
72	0.13040901007705988	1
73	-0.39186407066064416	2
73	-0.08809580332258223	1
74	-0.3934616135311445	2
74	0.018969707781271286	1
75	-0.3945945945945946	2
75	0.08713176471947685	1
76	-0.3979407979407979	2
76	0.1141671606401897	1
77	-0.3979407979407979	2
77	0.19893301719027862	1
78	-0.39938220045375905	2
78	-0.0934258108227611	1
79	-0.39951090886512025	2
79	-0.07932179330122141	1
80	-0.40334620334620336	2
80	0.014581234095912454	1
81	-0.4061776061776062	2
81	-0.4370405532261617	1
82	-0.4084180752072483	2
82	-0.0982926257798394	1
83	-0.4086492060717644	2
83	-0.14333985442223116	1
84	-0.41065912792623355	2
84	-0.012804552752358117	1
85	-0.4129231595540034	2
85	-0.31829767111808893	1
86	-0.41598558551935194	2
86	-0.046710136336692354	1
87	-0.42352046788530573	2
87	-0.04304773388118104	1
88	-0.4272844272844273	2
88	0.012921581434589085	1
89	-0.42831402831402826	2
89	-0.397131172530949	1
90	-0.42882882882882883	2
90	-0.10586213046869775	1
91	-0.42934362934362935	2
91	-0.04742145820983995	1
92	-0.43040092759180476	2
92	-0.204967103673436	1
93	-0.4324324324324324	2
93	-0.3754371413150792	1
94	-0.43246026217358374	2
94	-0.20781222252141895	1
95	-0.43348992946447323	2
95	-0.08594629853281731	1
96	-0.4373230373230373	2
96	-0.2587454122334845	1
97	-0.4404118404118404	2
97	0.04445498199973309	1
98	-0.4461033537778694	2
98	-0.011261928773265716	1
99	-0.45630068597847323	2
99	0.2163860579592363	1
100	-0.45977603676025564	2
100	-0.21633163223062327	1
101	-0.46589446589446587	2
101	0.11169077621786334	1
102	-0.46718146718146714	2
102	0.07006520450503853	1
103	-0.4865491094495426	2
103	0.07345269200314898	1
104	-0.4866465033566429	2
104	0.010669195679935942	1
105	-0.4947232947232947	2
105	-0.14296722211114163	1
106	-0.5110381764827574	2
106	-0.24776243301184575	1
107	-0.5379665379665379	2
107	-0.32222880853586244	1
108	-0.5446589446589446	2
108	-0.42136463409148844	1
109	-0.5472329472329472	2
109	-0.3690574985180794	1
110	-0.5676040941028286	2
110	-0.08886122488789268	1
