Rank(ACPA–)	Rho	RA_phenotype
1	-0.44882584872819303	2
1	0.14735420251432238	1
2	-0.4393212933825698	2
2	-0.1560310056585624	1
3	-0.4387504546625439	2
3	-0.014253633839878274	1
4	-0.424633311863564	2
4	-0.19463822228874442	1
5	-0.4177326068000357	2
5	-0.14786213009878524	1
6	-0.4142211074279495	2
6	-0.10285670563765763	1
7	-0.4073090259693521	2
7	-0.1073408271480064	1
8	-0.4052376439602615	2
8	-0.027081904295768722	1
9	-0.4020552757886065	2
9	-0.2577714858273371	1
10	-0.39929634145219817	2
10	-0.11019758305471203	1
11	-0.39913637331801005	2
11	-0.12325259822678802	1
12	-0.397818159299031	2
12	0.06556671566344006	1
13	-0.397422884562329	2
13	-0.23014136484541922	1
14	-0.3903796659062207	2
14	-0.3222417681184788	1
15	-0.38800751179373555	2
15	-0.012828972355623192	1
16	-0.3862077454229904	2
16	-0.14835555211246307	1
17	-0.3861425494166452	2
17	-0.0027410834307458223	1
18	-0.3820670495423865	2
18	0.05123274507454914	1
19	-0.38088756070608226	2
19	-0.08558130703900771	1
20	-0.3791570613912577	2
20	-0.1796154411881484	1
21	-0.375955834649936	2
21	-0.08208151120382619	1
22	-0.3755792197391922	2
22	-0.22827742811251206	1
23	-0.37451964795024767	2
23	-0.22176578281408466	1
24	-0.37424910013011714	2
24	0.3007297603531727	1
25	-0.3737902989131595	2
25	-0.17834464561043695	1
26	-0.3717363533520886	2
26	-0.15733502307911829	1
27	-0.3711888168858779	2
27	-0.2850726767975655	1
28	-0.3707947719099607	2
28	-0.03876104040780169	1
29	-0.37046521840521596	2
29	-0.311746476897592	1
30	-0.3704181393331095	2
30	-0.23427862643374786	1
31	-0.36692163418525037	2
31	-0.16050693718192643	1
32	-0.3657617079805789	2
32	-0.17193015943262532	1
33	-0.36390415750613636	2
33	-0.02105152074812791	1
34	-0.3635616494156202	2
34	-0.12556223156764326	1
35	-0.3626971715076609	2
35	-0.14901344813070014	1
36	-0.36207203475998656	2
36	-0.0789475221884504	1
37	-0.3618026691376395	2
37	-0.03042769084346526	1
38	-0.36167839818839603	2
38	-0.045671447652542004	1
39	-0.36107954567555833	2
39	-0.2640530275796287	1
40	-0.3559040976268841	2
40	-0.04237946850810567	1
41	-0.3538795075755603	2
41	-0.23322413846504725	1
42	-0.3530459617258501	2
42	-0.09234495463422075	1
43	-0.3492325568852322	2
43	-0.06222599839159112	1
44	-0.348557099893329	2
44	0.09517041671549493	1
45	-0.34770971634415565	2
45	-0.07938177615439901	1
46	-0.34711399864044445	2
46	-0.05251915853308995	1
47	-0.3466757336720131	2
47	-0.11284769256364888	1
48	-0.34595325044107444	2
48	-0.08598390075205352	1
49	-0.34574870554935905	2
49	-0.039640404145003444	1
50	-0.3452338581510303	2
50	-0.057846355591206836	1
