Rank(ACPA–)	Rho	RA_phenotype
1	0.5442085460247007	2
1	0.20042802045613453	1
2	0.4302825355247201	2
2	-0.3125006086626162	1
3	0.42745792369414204	2
3	-0.24747855219351744	1
4	0.4127145064461702	2
4	0.15274152556737697	1
5	0.3982120043776008	2
5	-0.1343317802508299	1
6	0.39381643816998746	2
6	0.2623765059909901	1
7	0.3913970459904292	2
7	0.07018709741568055	1
8	0.38394784395032144	2
8	0.10098151358867608	1
9	0.3794395225743155	2
9	0.21533951431939177	1
10	0.3791874267947205	2
10	-0.31302828821819884	1
11	0.3745610976784723	2
11	-0.25071320761651644	1
12	0.3633091994450441	2
12	0.3646388681079053	1
13	0.3613620068586161	2
13	0.25372856436676977	1
14	0.35128755799622113	2
14	0.1444002751316899	1
15	0.3497054847028526	2
15	0.04758520835774747	1
16	0.34752140888878374	2
16	0.09736861069908884	1
17	0.3471773637387702	2
17	0.08656815106636333	1
18	0.34501162482746234	2
18	-0.07653942487748935	1
19	0.341873217736315	2
19	0.16107293929742605	1
20	0.3416528262761027	2
20	0.014034347165418608	1
21	0.34042877040133646	2
21	0.0749494224982292	1
22	0.34005213782448535	2
22	-0.005537291486828813	1
23	0.3389852209003451	2
23	0.16063627778622203	1
24	0.33650542274952944	2
24	0.016227213910015265	1
25	0.3356267050464843	2
25	0.038923384716590674	1
26	0.3356111136240812	2
26	-0.05450168479399014	1
27	0.3342614119553988	2
27	-0.25503040239659125	1
28	0.3339632721020092	2
28	-0.11179361556246475	1
29	0.3303693465357947	2
29	0.24753337686170387	1
30	0.3229927384204821	2
30	0.13937193269239107	1
31	0.31999645310716135	2
31	0.17619684292834145	1
32	0.31933734609767184	2
32	0.2855112501464848	1
33	0.3186311600160759	2
33	-0.08251112562056796	1
34	0.31842790703383	2
34	0.12444518775586032	1
35	0.31758052348465665	2
35	-0.06608180648669834	1
36	0.3160740638416817	2
36	0.18531751868618485	1
37	0.3150383728371364	2
37	0.14308455508493192	1
38	0.31309051652601316	2
38	0.01798347518611498	1
39	0.3126991969306703	2
39	0.1287212779078238	1
40	0.31221376100655834	2
40	-0.19066976344267939	1
41	0.31208716899328715	2
41	0.2141334376098636	1
42	0.3106131476358975	2
42	0.2367199650792092	1
43	0.30979482687837095	2
43	-0.048026409331307335	1
44	0.3091176123703013	2
44	0.11901512339151005	1
45	0.3085091595132012	2
45	0.12619948115153765	1
46	0.30515223143011333	2
46	0.09095412452127724	1
47	0.3042249639515193	2
47	0.2406802933384009	1
48	0.30336331060408056	2
48	0.21994453448304477	1
49	0.3017393161855357	2
49	0.03772143575624117	1
50	0.3015743897780478	2
50	0.011513180319149018	1
