Rank(ACPA–)	Rho	RA_phenotype
1	0.5442085460247007	2
1	0.20042802045613453	1
2	0.4302825355247201	2
2	-0.3125006086626162	1
3	0.42745792369414204	2
3	-0.24747855219351744	1
4	0.4127145064461702	2
4	0.15274152556737697	1
5	0.3982120043776008	2
5	-0.1343317802508299	1
6	0.39381643816998746	2
6	0.2623765059909901	1
7	0.3913970459904292	2
7	0.07018709741568055	1
8	0.38394784395032144	2
8	0.10098151358867608	1
9	0.3794395225743155	2
9	0.21533951431939177	1
10	0.3791874267947205	2
10	-0.31302828821819884	1
11	0.3745610976784723	2
11	-0.25071320761651644	1
12	0.3633091994450441	2
12	0.3646388681079053	1
13	0.3613620068586161	2
13	0.25372856436676977	1
14	0.35128755799622113	2
14	0.1444002751316899	1
15	0.3497054847028526	2
15	0.04758520835774747	1
16	0.34752140888878374	2
16	0.09736861069908884	1
17	0.3471773637387702	2
17	0.08656815106636333	1
18	0.34501162482746234	2
18	-0.07653942487748935	1
19	0.341873217736315	2
19	0.16107293929742605	1
20	0.3416528262761027	2
20	0.014034347165418608	1
21	0.34042877040133646	2
21	0.0749494224982292	1
22	0.34005213782448535	2
22	-0.005537291486828813	1
23	0.3389852209003451	2
23	0.16063627778622203	1
24	0.33650542274952944	2
24	0.016227213910015265	1
25	0.3356267050464843	2
25	0.038923384716590674	1
26	0.3356111136240812	2
26	-0.05450168479399014	1
27	0.3342614119553988	2
27	-0.25503040239659125	1
28	0.3339632721020092	2
28	-0.11179361556246475	1
29	0.3303693465357947	2
29	0.24753337686170387	1
30	0.3229927384204821	2
30	0.13937193269239107	1
31	0.31999645310716135	2
31	0.17619684292834145	1
32	0.31933734609767184	2
32	0.2855112501464848	1
33	0.3186311600160759	2
33	-0.08251112562056796	1
34	0.31842790703383	2
34	0.12444518775586032	1
35	0.31758052348465665	2
35	-0.06608180648669834	1
36	0.3160740638416817	2
36	0.18531751868618485	1
37	0.3150383728371364	2
37	0.14308455508493192	1
38	0.31309051652601316	2
38	0.01798347518611498	1
39	0.3126991969306703	2
39	0.1287212779078238	1
40	0.31221376100655834	2
40	-0.19066976344267939	1
41	0.31208716899328715	2
41	0.2141334376098636	1
42	0.3106131476358975	2
42	0.2367199650792092	1
43	0.30979482687837095	2
43	-0.048026409331307335	1
44	0.3091176123703013	2
44	0.11901512339151005	1
45	0.3085091595132012	2
45	0.12619948115153765	1
46	0.30515223143011333	2
46	0.09095412452127724	1
47	0.3042249639515193	2
47	0.2406802933384009	1
48	0.30336331060408056	2
48	0.21994453448304477	1
49	0.3017393161855357	2
49	0.03772143575624117	1
50	0.3015743897780478	2
50	0.011513180319149018	1
61	-0.3452338581510303	2
61	-0.057846355591206836	1
62	-0.34574870554935905	2
62	-0.039640404145003444	1
63	-0.34595325044107444	2
63	-0.08598390075205352	1
64	-0.3466757336720131	2
64	-0.11284769256364888	1
65	-0.34711399864044445	2
65	-0.05251915853308995	1
66	-0.34770971634415565	2
66	-0.07938177615439901	1
67	-0.348557099893329	2
67	0.09517041671549493	1
68	-0.3492325568852322	2
68	-0.06222599839159112	1
69	-0.3530459617258501	2
69	-0.09234495463422075	1
70	-0.3538795075755603	2
70	-0.23322413846504725	1
71	-0.3559040976268841	2
71	-0.04237946850810567	1
72	-0.36107954567555833	2
72	-0.2640530275796287	1
73	-0.36167839818839603	2
73	-0.045671447652542004	1
74	-0.3618026691376395	2
74	-0.03042769084346526	1
75	-0.36207203475998656	2
75	-0.0789475221884504	1
76	-0.3626971715076609	2
76	-0.14901344813070014	1
77	-0.3635616494156202	2
77	-0.12556223156764326	1
78	-0.36390415750613636	2
78	-0.02105152074812791	1
79	-0.3657617079805789	2
79	-0.17193015943262532	1
80	-0.36692163418525037	2
80	-0.16050693718192643	1
81	-0.3704181393331095	2
81	-0.23427862643374786	1
82	-0.37046521840521596	2
82	-0.311746476897592	1
83	-0.3707947719099607	2
83	-0.03876104040780169	1
84	-0.3711888168858779	2
84	-0.2850726767975655	1
85	-0.3717363533520886	2
85	-0.15733502307911829	1
86	-0.3737902989131595	2
86	-0.17834464561043695	1
87	-0.37424910013011714	2
87	0.3007297603531727	1
88	-0.37451964795024767	2
88	-0.22176578281408466	1
89	-0.3755792197391922	2
89	-0.22827742811251206	1
90	-0.375955834649936	2
90	-0.08208151120382619	1
91	-0.3791570613912577	2
91	-0.1796154411881484	1
92	-0.38088756070608226	2
92	-0.08558130703900771	1
93	-0.3820670495423865	2
93	0.05123274507454914	1
94	-0.3861425494166452	2
94	-0.0027410834307458223	1
95	-0.3862077454229904	2
95	-0.14835555211246307	1
96	-0.38800751179373555	2
96	-0.012828972355623192	1
97	-0.3903796659062207	2
97	-0.3222417681184788	1
98	-0.397422884562329	2
98	-0.23014136484541922	1
99	-0.397818159299031	2
99	0.06556671566344006	1
100	-0.39913637331801005	2
100	-0.12325259822678802	1
101	-0.39929634145219817	2
101	-0.11019758305471203	1
102	-0.4020552757886065	2
102	-0.2577714858273371	1
103	-0.4052376439602615	2
103	-0.027081904295768722	1
104	-0.4073090259693521	2
104	-0.1073408271480064	1
105	-0.4142211074279495	2
105	-0.10285670563765763	1
106	-0.4177326068000357	2
106	-0.14786213009878524	1
107	-0.424633311863564	2
107	-0.19463822228874442	1
108	-0.4387504546625439	2
108	-0.014253633839878274	1
109	-0.4393212933825698	2
109	-0.1560310056585624	1
110	-0.44882584872819303	2
110	0.14735420251432238	1
