Rank(ACPA–)	Rho	RA_phenotype
1	-0.527319083196277	2
1	-0.3453326778413725	1
2	-0.5016301702646924	2
2	0.02307463716590364	1
3	-0.48902136993226586	2
3	0.014147748808254767	1
4	-0.4608667678204888	2
4	-0.033383723065092394	1
5	-0.45787229194830326	2
5	-0.4271289019473453	1
6	-0.45470143120073886	2
6	-0.1938012038119036	1
7	-0.4512823666754956	2
7	0.10742029418485222	1
8	-0.4477255375560971	2
8	-0.03820490832440472	1
9	-0.4420179882104811	2
9	-0.09784146826116633	1
10	-0.43631043886486515	2
10	-0.1818454402713549	1
11	-0.4275816917299402	2
11	0.01948177892432404	1
12	-0.42426116802412034	2
12	-0.09776910922137008	1
13	-0.4209017211960004	2
13	-0.1500907112744471	1
14	-0.4172852743794786	2
14	-0.3247417207574401	1
15	-0.41284606933288837	2
15	-0.19300921218433031	1
16	-0.41202059972389193	2
16	-0.13017238333518447	1
17	-0.4005908368732219	2
17	0.07348713171831747	1
18	-0.39889428204360494	2
18	-0.3086162724386978	1
19	-0.39445507699701476	2
19	-0.3961898610004827	1
20	-0.38985800786864483	2
20	0.025686167116783926	1
21	-0.3741615682126024	2
21	-0.24709148500718894	1
22	-0.37390155327505925	2
22	0.02779223409338439	1
23	-0.37289322391357665	2
23	-0.007938682249226954	1
24	-0.3717951544824155	2
24	-0.12518912589386094	1
25	-0.3716248796145508	2
25	0.013396526295570484	1
26	-0.3703565353155251	2
26	-0.4564742293305499	1
27	-0.3690881910164993	2
27	-0.14562520250925695	1
28	-0.36597319124632605	2
28	-0.37113339515136007	1
29	-0.36528315811942197	2
29	0.0575625357256951	1
30	-0.36470465332172874	2
30	-0.24280983089621982	1
31	-0.36401481382039624	2
31	-0.20268448117557566	1
32	-0.35640474802624156	2
32	-0.03994149506642311	1
33	-0.35328781200035286	2
33	0.11239581329198226	1
34	-0.35196554297965144	2
34	-0.08980634294437992	1
35	-0.35196554297965144	2
35	-0.21384825308855107	1
36	-0.35106787063230754	2
36	0.24337022770286382	1
37	-0.3494288543815999	2
37	-0.3525271086297344	1
38	-0.3449896493350097	2
38	-0.22550819264210317	1
39	-0.343087132886471	2
39	0.07541748136765605	1
40	-0.34118461643793235	2
40	0.03919724360555808	1
41	-0.34055044428841946	2
41	0.2237991690714525	1
42	-0.3392820999893937	2
42	-0.3168030385082131	1
43	-0.3314055328010491	2
43	-0.38676267582952567	1
44	-0.33077126383875044	2
44	-0.2907542373779372	1
45	-0.33045412935760116	2
45	0.06910836781256743	1
46	-0.3240619684010845	2
46	-0.12801125126878463	1
47	-0.32157436388541993	2
47	-0.2014936971770368	1
48	-0.3215252798030329	2
48	0.25754272449686	1
49	-0.3215252798030329	2
49	0.05011910438185522	1
50	-0.3212572294042706	2
50	0.08239427519586728	1
