Rank(ACPA–)	Rho	RA_phenotype
1	0.5777308282062386	2
1	0.2507195790983401	1
2	0.5126458785354808	2
2	0.43019424009829577	1
3	0.49980394229134306	2
3	0.09774502519360687	1
4	0.49211758802199906	2
4	0.15259034254871762	1
5	0.4724582513870996	2
5	-0.01959862180277904	1
6	0.45522700228862306	2
6	0.16474794707698945	1
7	0.4507169147095076	2
7	-0.2179953361699838	1
8	0.44138381606096827	2
8	0.08362484722741553	1
9	0.4347913736557305	2
9	0.3128336973835997	1
10	0.4299687173697363	2
10	0.1548043038599256	1
11	0.4299687173697363	2
11	0.16177057453945348	1
12	0.4293345452202234	2
12	0.1523234656570422	1
13	0.4162711414882764	2
13	0.38408105734213804	1
14	0.4153827579309399	2
14	0.211615498705956	1
15	0.4132893313627646	2
15	0.11205125075582552	1
16	0.41284606933288837	2
16	0.09899763687307046	1
17	0.40967520858532397	2
17	-0.0042179444281759335	1
18	0.4052360035387338	2
18	-0.20243639735528732	1
19	0.4046018313892209	2
19	0.0404376627069998	1
20	0.403967659239708	2
20	0.21087124724509096	1
21	0.4007967984921436	2
21	0.15184599941433363	1
22	0.3976259377445791	2
22	0.22972561758700497	1
23	0.39705237039896035	2
23	0.128275133492174	1
24	0.393684118355527	2
24	0.34881560832512176	1
25	0.3931867326979889	2
25	-0.0855889179994781	1
26	0.38965978711022964	2
26	-0.08088528726972674	1
27	0.3865649985400122	2
27	-0.16675340456030632	1
28	0.3716248796145508	2
28	0.165968075772901	1
29	0.3703565353155251	2
29	-0.15197005660339763	1
30	0.36972236316601215	2
30	0.11377445831979233	1
31	0.3690881910164993	2
31	0.4192616562872985	1
32	0.3643875188405794	2
32	0.39673489062666584	1
33	0.3589414366242931	2
33	0.3590215051512104	1
34	0.3583072644747803	2
34	0.27835004636352007	1
35	0.35640474802624156	2
35	0.25031657467093743	1
36	0.3513850051134569	2
36	0.2890176506359188	1
37	0.3513850051134569	2
37	0.004713592585478503	1
38	0.3507507361511582	2
38	0.047384009675073384	1
39	0.3500630265311127	2
39	0.18707824110850907	1
40	0.348794682232087	2
40	0.33094381626464864	1
41	0.3475263379330612	2
41	-0.16323915374972925	1
42	0.3462579936340354	2
42	0.010171436631822035	1
43	0.33991627213890657	2
43	0.0451512552924783	1
44	0.33991627213890657	2
44	-0.18804753577856345	1
45	0.3393338948297823	2
45	0.22277927061893138	1
46	0.3386479278398808	2
46	-0.0627652065329506	1
47	0.3380137556903679	2
47	0.23297940106218837	1
48	0.33621388430125126	2
48	0.2746287890591949	1
49	0.3348940120936918	2
49	-0.016871777712703734	1
50	0.3348428949428035	2
50	0.2619765142244895	1
