Rank(ACPA–)	Rho	RA_phenotype
1	0.5777308282062386	2
1	0.2507195790983401	1
2	0.5126458785354808	2
2	0.43019424009829577	1
3	0.49980394229134306	2
3	0.09774502519360687	1
4	0.49211758802199906	2
4	0.15259034254871762	1
5	0.4724582513870996	2
5	-0.01959862180277904	1
6	0.45522700228862306	2
6	0.16474794707698945	1
7	0.4507169147095076	2
7	-0.2179953361699838	1
8	0.44138381606096827	2
8	0.08362484722741553	1
9	0.4347913736557305	2
9	0.3128336973835997	1
10	0.4299687173697363	2
10	0.1548043038599256	1
11	0.4299687173697363	2
11	0.16177057453945348	1
12	0.4293345452202234	2
12	0.1523234656570422	1
13	0.4162711414882764	2
13	0.38408105734213804	1
14	0.4153827579309399	2
14	0.211615498705956	1
15	0.4132893313627646	2
15	0.11205125075582552	1
16	0.41284606933288837	2
16	0.09899763687307046	1
17	0.40967520858532397	2
17	-0.0042179444281759335	1
18	0.4052360035387338	2
18	-0.20243639735528732	1
19	0.4046018313892209	2
19	0.0404376627069998	1
20	0.403967659239708	2
20	0.21087124724509096	1
21	0.4007967984921436	2
21	0.15184599941433363	1
22	0.3976259377445791	2
22	0.22972561758700497	1
23	0.39705237039896035	2
23	0.128275133492174	1
24	0.393684118355527	2
24	0.34881560832512176	1
25	0.3931867326979889	2
25	-0.0855889179994781	1
26	0.38965978711022964	2
26	-0.08088528726972674	1
27	0.3865649985400122	2
27	-0.16675340456030632	1
28	0.3716248796145508	2
28	0.165968075772901	1
29	0.3703565353155251	2
29	-0.15197005660339763	1
30	0.36972236316601215	2
30	0.11377445831979233	1
31	0.3690881910164993	2
31	0.4192616562872985	1
32	0.3643875188405794	2
32	0.39673489062666584	1
33	0.3589414366242931	2
33	0.3590215051512104	1
34	0.3583072644747803	2
34	0.27835004636352007	1
35	0.35640474802624156	2
35	0.25031657467093743	1
36	0.3513850051134569	2
36	0.2890176506359188	1
37	0.3513850051134569	2
37	0.004713592585478503	1
38	0.3507507361511582	2
38	0.047384009675073384	1
39	0.3500630265311127	2
39	0.18707824110850907	1
40	0.348794682232087	2
40	0.33094381626464864	1
41	0.3475263379330612	2
41	-0.16323915374972925	1
42	0.3462579936340354	2
42	0.010171436631822035	1
43	0.33991627213890657	2
43	0.0451512552924783	1
44	0.33991627213890657	2
44	-0.18804753577856345	1
45	0.3393338948297823	2
45	0.22277927061893138	1
46	0.3386479278398808	2
46	-0.0627652065329506	1
47	0.3380137556903679	2
47	0.23297940106218837	1
48	0.33621388430125126	2
48	0.2746287890591949	1
49	0.3348940120936918	2
49	-0.016871777712703734	1
50	0.3348428949428035	2
50	0.2619765142244895	1
61	-0.3212572294042706	2
61	0.08239427519586728	1
62	-0.3215252798030329	2
62	0.25754272449686	1
63	-0.3215252798030329	2
63	0.05011910438185522	1
64	-0.32157436388541993	2
64	-0.2014936971770368	1
65	-0.3240619684010845	2
65	-0.12801125126878463	1
66	-0.33045412935760116	2
66	0.06910836781256743	1
67	-0.33077126383875044	2
67	-0.2907542373779372	1
68	-0.3314055328010491	2
68	-0.38676267582952567	1
69	-0.3392820999893937	2
69	-0.3168030385082131	1
70	-0.34055044428841946	2
70	0.2237991690714525	1
71	-0.34118461643793235	2
71	0.03919724360555808	1
72	-0.343087132886471	2
72	0.07541748136765605	1
73	-0.3449896493350097	2
73	-0.22550819264210317	1
74	-0.3494288543815999	2
74	-0.3525271086297344	1
75	-0.35106787063230754	2
75	0.24337022770286382	1
76	-0.35196554297965144	2
76	-0.08980634294437992	1
77	-0.35196554297965144	2
77	-0.21384825308855107	1
78	-0.35328781200035286	2
78	0.11239581329198226	1
79	-0.35640474802624156	2
79	-0.03994149506642311	1
80	-0.36401481382039624	2
80	-0.20268448117557566	1
81	-0.36470465332172874	2
81	-0.24280983089621982	1
82	-0.36528315811942197	2
82	0.0575625357256951	1
83	-0.36597319124632605	2
83	-0.37113339515136007	1
84	-0.3690881910164993	2
84	-0.14562520250925695	1
85	-0.3703565353155251	2
85	-0.4564742293305499	1
86	-0.3716248796145508	2
86	0.013396526295570484	1
87	-0.3717951544824155	2
87	-0.12518912589386094	1
88	-0.37289322391357665	2
88	-0.007938682249226954	1
89	-0.37390155327505925	2
89	0.02779223409338439	1
90	-0.3741615682126024	2
90	-0.24709148500718894	1
91	-0.38985800786864483	2
91	0.025686167116783926	1
92	-0.39445507699701476	2
92	-0.3961898610004827	1
93	-0.39889428204360494	2
93	-0.3086162724386978	1
94	-0.4005908368732219	2
94	0.07348713171831747	1
95	-0.41202059972389193	2
95	-0.13017238333518447	1
96	-0.41284606933288837	2
96	-0.19300921218433031	1
97	-0.4172852743794786	2
97	-0.3247417207574401	1
98	-0.4209017211960004	2
98	-0.1500907112744471	1
99	-0.42426116802412034	2
99	-0.09776910922137008	1
100	-0.4275816917299402	2
100	0.01948177892432404	1
101	-0.43631043886486515	2
101	-0.1818454402713549	1
102	-0.4420179882104811	2
102	-0.09784146826116633	1
103	-0.4477255375560971	2
103	-0.03820490832440472	1
104	-0.4512823666754956	2
104	0.10742029418485222	1
105	-0.45470143120073886	2
105	-0.1938012038119036	1
106	-0.45787229194830326	2
106	-0.4271289019473453	1
107	-0.4608667678204888	2
107	-0.033383723065092394	1
108	-0.48902136993226586	2
108	0.014147748808254767	1
109	-0.5016301702646924	2
109	0.02307463716590364	1
110	-0.527319083196277	2
110	-0.3453326778413725	1
