Rank(ACPA–)	Rho	RA_phenotype
1	-0.6034158242028517	2
1	-0.20889652767778538	1
2	-0.6003103695999005	2
2	-0.1400873755725045	1
3	-0.5899763882765845	2
3	-0.2436506297658506	1
4	-0.5756422326323914	2
4	-0.21826298873373998	1
5	-0.557722303558326	2
5	-0.3274964919550239	1
6	-0.5246105733579395	2
6	-0.2659970073705799	1
7	-0.49123304497487325	2
7	-0.10281211545033005	1
8	-0.4912083372197098	2
8	-0.0308963780442364	1
9	-0.4849455599177913	2
9	-0.10994793350898309	1
10	-0.46597510809682685	2
10	-0.5831653416091324	1
11	-0.46578725278213345	2
11	-0.46523655895560306	1
12	-0.46165443585888005	2
12	-0.5413832490288611	1
13	-0.44946492274265726	2
13	-0.28289762908844235	1
14	-0.440565341903898	2
14	-0.15053310254783325	1
15	-0.4219117807465626	2
15	-0.06309565441335323	1
16	-0.4145966795281987	2
16	-0.26918934702839836	1
17	-0.412220859656458	2
17	-0.10478385465074733	1
18	-0.40557962442291845	2
18	-0.3701236156211882	1
19	-0.3925973450012495	2
19	-0.26543365331331786	1
20	-0.38820300781378453	2
20	0.1410262990012746	1
21	-0.38406251973763744	2
21	-0.03858975292245265	1
22	-0.3793738080231976	2
22	-0.08018406081696974	1
23	-0.3748652804705575	2
23	0.16525052346354416	1
24	-0.37228340203236654	2
24	0.2366258254714458	1
25	-0.3694868049509247	2
25	-0.10008923750689665	1
26	-0.3560797490012237	2
26	0.07952681441683064	1
27	-0.34760302252666286	2
27	-0.04647238662857221	1
28	-0.3429298769726899	2
28	0.08760155590425382	1
29	-0.3311239778758858	2
29	-0.1387324439036786	1
30	-0.32166865500939895	2
30	-0.23914379730775398	1
31	-0.3209508051535693	2
31	-0.04596245772646407	1
32	-0.32001152858010257	2
32	0.1383034210578412	1
33	-0.3154090733701158	2
33	0.11736542859626717	1
34	-0.31481064922210744	2
34	0.45390074977293615	1
35	-0.3136039087191958	2
35	0.028946008208265137	1
36	-0.31334266490848905	2
36	-0.4433596430652588	1
37	-0.31306088193644904	2
37	0.10290600779320705	1
38	-0.30798878843972893	2
38	-0.4845783815882679	1
39	-0.29934744396383534	2
39	0.2699404857714145	1
40	-0.2984081673903686	2
40	-0.06525517829952455	1
41	-0.2858218613059149	2
41	0.24975363205285656	1
42	-0.2770531953832803	2
42	0.18729432555836686	1
43	-0.2718266403612612	2
43	-0.1087273330515819	1
44	-0.2709812914451412	2
44	-0.29932878909191973	1
45	-0.26703632983658104	2
45	-0.06910476435748211	1
46	-0.2637488618294476	2
46	0.09436180459139881	1
47	-0.26337315120006094	2
47	-0.07614669007325814	1
48	-0.2620343607292909	2
48	-0.010422050059348527	1
49	-0.2583010577033408	2
49	0.29885932737753473	1
50	-0.2579253470739541	2
50	-0.1285386173986318	1
